NUMBER,STREET,INTERSECTION,TOWN,CLASSIFIED,REPAIRED,GRADE,
51,LINCOLN,,HYDE PARK,08/20/14,12/08/14,2,
36,CLIFFORD,,HYDE PARK,12/08/14,12/08/14,1,
48,CHESTERFIELD,,HYDE PARK,08/21/14,12/11/14,2,
51,CHESTERFIELD,,HYDE PARK,12/11/14,12/11/14,2,
28,BRADLEE,,HYDE PARK,04/23/14,12/12/14,2,
50,COMO,,HYDE PARK,07/21/14,12/12/14,2,
28,BRADLEE,,HYDE PARK,12/04/14,12/12/14,2,
78-80,ARLINGTON,,HYDE PARK,10/07/14,12/15/14,2,
15,MACDONALD,,HYDE PARK,11/06/14,12/15/14,2,
1457,HYDE PARK,,HYDE PARK,12/01/14,12/16/14,2,
1457,HYDE PARK,,HYDE PARK,12/16/14,12/16/14,1,
24,PLEASANT,,HYDE PARK,12/16/14,12/19/14,,
108,ARLINGTON,,HYDE PARK,10/07/14,12/20/14,2,
189,WOOD,,HYDE PARK,11/13/14,12/20/14,2,
120,ARLINGTON,,HYDE PARK,10/08/14,12/22/14,2,
,TRUMAN,AT WAKEFIELD AVE,HYDE PARK,11/21/14,12/22/14,2,
25,FRIENDSHIP,,HYDE PARK,12/18/14,12/22/14,2,
,GEORGETOWN,AT DEDHAM PARKWAY,HYDE PARK,05/21/14,12/23/14,2,
19-21,SUNCREST,,HYDE PARK,12/23/14,12/23/14,2,
730,TRUMAN,,HYDE PARK,12/26/14,12/28/14,2,
11,SUNNYSIDE,,HYDE PARK,04/07/14,12/30/14,2,
7,OSCEOLA,,HYDE PARK,12/18/14,12/30/14,2,
4,PINE,,KINGSTON,02/19/14,02/19/14,1,
55,SUMMER,,KINGSTON,03/19/14,03/20/14,2,
42,ELM,,KINGSTON,04/24/14,04/24/14,1,
4,BAY,,KINGSTON,06/16/14,08/04/14,2,
95-97,SUMMER,,KINGSTON,09/02/14,09/02/14,2,
178,SUMMER,,KINGSTON,11/13/14,11/13/14,1,
16,PROSPECT,,KINGSTON,12/29/14,12/30/14,2,
31,MAIN,,MARION,03/27/14,03/27/14,1,
9,SCHOOL,,MARION,03/30/14,03/30/14,1,
8,PIE,,MARION,05/06/14,05/06/14,2,
48,SOUTH,,MARION,05/15/14,05/15/14,1,
48,SOUTH,,MARION,04/16/14,05/16/14,1,
48,SOUTH,,MARION,05/16/14,05/16/14,1,
345,FRONT,,MARION,01/13/14,07/21/14,2,
71,LEWIS,,MARION,05/03/14,08/04/14,2,
75,WATER,,MARION,09/30/14,11/14/14,2,
283,FRONT,,MARION,11/21/14,12/16/14,2,
80,MAIN,,MARION,12/19/14,12/26/14,2,
,LEWIS,,MARION,12/15/14,12/29/14,2,
92,DARTMOUTH,,MARLBORO,01/07/14,01/08/14,1,
,CHURCH,AT SHAWMUT AVE,MARLBORO,01/04/14,01/09/14,2,
48,E-MAIN,,MARLBORO,01/13/14,01/13/14,1,
,MACINTOSH,AT STEVEN ST,MARLBORO,01/14/14,01/15/14,2,
187,SOUTH,,MARLBORO,02/01/14,02/01/14,1,
5,LIBBY,,MARLBORO,02/04/14,02/04/14,1,
279,ELM,,MARLBORO,11/26/13,02/06/14,2,
671,BRIGHAM,,MARLBORO,02/14/14,02/14/14,1,
118,CONRAD,,MARLBORO,02/22/14,02/24/14,2,
50,HELEN,,MARLBORO,01/30/14,02/21/14,2,
77,WASHINGTON,,MARLBORO,02/24/14,02/24/14,2,
150,LEOLEIS,,MARLBORO,01/08/14,02/26/14,2,
499,BRIGHAM,,MARLBORO,03/11/14,03/11/14,1,
17,DALTON,,MARLBORO,03/12/14,03/12/14,1,
120,CHESTNUT,,MARLBORO,03/13/14,03/13/14,1,
,MAPLE,,MARLBORO,02/15/14,03/17/14,2,
139,PLEASANT,,MARLBORO,01/29/14,03/19/14,2,
117,MELODY,,MARLBORO,03/28/14,03/28/14,1,
280,ELM,,MARLBORO,03/30/14,03/30/14,1,
,BOLTON,,MARLBORO,01/15/13,04/04/14,2,
45,LAKESIDE,,MARLBORO,04/29/14,05/05/14,2,
77,CHESTNUT,,MARLBORO,05/02/14,05/05/14,2,
170,MORRISSEY,,MARLBORO,05/02/14,05/08/14,2,
38,FAIRMOUNT,,MARLBORO,05/27/14,05/27/14,1,
676,STEVENS,,MARLBORO,05/20/14,05/28/14,2,
21,BRIMSMEAD,,MARLBORO,05/28/14,05/29/14,2,
22,BRIMSMEAD,,MARLBORO,05/30/14,06/02/14,2,
28,DAVIS,,MARLBORO,05/31/14,06/06/14,2,
28,DAVIS,,MARLBORO,06/07/14,06/07/14,1,
64A,CHURCH,,MARLBORO,06/11/14,06/11/14,1,
351,ELM,,MARLBORO,06/19/14,06/20/14,1,
359,ELM,,MARLBORO,06/19/14,06/20/14,1,
498,HOSMER,,MARLBORO,06/23/14,06/23/14,1,
249,CEDAR-HILL,,MARLBORO,06/30/14,06/30/14,1,
18,BRIMSMEAD,,MARLBORO,07/10/14,07/11/14,1,
351,ELM,,MARLBORO,06/22/14,07/14/14,2,
359,ELM,,MARLBORO,07/02/14,07/14/14,2,
125,FRAMINGHAM,,MARLBORO,07/14/14,07/14/14,1,
,MCENNELLY,AT WASHINGTON ST,MARLBORO,07/17/14,07/21/14,2,
,TURNER-RIDGE,,MARLBORO,07/21/14,07/21/14,1,
273,W-MAIN,,MARLBORO,07/21/14,07/21/14,1,
23-24,ROYAL-CREST,,MARLBORO,08/02/14,08/02/14,1,
20,SAWIN,,MARLBORO,06/30/14,08/01/14,2,
18,CHURCH,,MARLBORO,08/02/14,08/02/14,1,
28,HURLEY,,MARLBORO,05/28/14,08/05/14,2,
607,SUDBURY,,MARLBORO,08/22/14,08/22/14,1,
322,CHURCH,,MARLBORO,08/25/14,08/25/14,1,
13,BERGERON,,MARLBORO,08/26/14,08/26/14,1,
618,SUDBURY,,MARLBORO,08/27/14,08/27/14,1,
210,CHURCH,,MARLBORO,06/16/14,08/28/14,1,
261,CHURCH,,MARLBORO,09/12/14,09/12/14,,
201,CHURCH,,MARLBORO,09/24/14,09/24/14,1,
45,RIPLEY,,MARLBORO,10/01/14,10/07/14,2,
,BRIGHAM,AT ELM,MARLBORO,10/06/14,10/08/14,2,
12,TURNER RIDGE,,MARLBORO,10/12/14,10/12/14,1,
293,WEST BOSTON POST,,MARLBORO,10/18/14,10/18/14,1,
62,CHURCH,,MARLBORO,10/18/14,10/18/14,1,
225,ELM,,MARLBORO,10/21/14,10/21/14,2,
40,FITZGERALD,,MARLBORO,10/13/14,11/05/14,2,
330,EAST BOSTON POST,,MARLBORO,10/27/14,11/10/14,2,
313,WEST BOSTON POST,,MARLBORO,11/10/14,11/10/14,1,
498,HOSMER,,MARLBORO,11/12/14,11/13/14,1,
90,HIGHLAND,,MARLBORO,11/13/14,11/13/14,2,
120,CONCORD,,MARLBORO,11/13/14,11/13/14,1,
2302,PARK VIEW,,MARLBORO,11/25/14,11/25/14,1,
26-36,BERLIN,,MARLBORO,08/21/14,12/01/14,2,
65,BRIMSMEAD,,MARLBORO,12/03/14,12/07/14,2,
205,CHURCH,,MARLBORO,12/11/14,12/11/14,2,
100,GRACE,,MARLBORO,10/14/14,12/13/14,2,
46,HOSMER,,MARLBORO,10/29/14,12/13/14,2,
22,CLOVER HILL,,MARLBORO,12/15/14,12/17/14,2,
56,FARMINGTON,,MARLBORO,12/01/14,12/20/14,2,
40,FITZGERALD,,MARLBORO,12/15/14,12/21/14,2,
98,SANDINI,,MARLBORO,04/08/14,12/31/14,2,
,SANDINI,AT TELLER ST,MARLBORO,05/14/14,12/31/14,2,
,TAUNTON,AT 61 ROSEBERRY RD,MATTAPAN,07/26/14,07/29/14,2,
41,SUNCREST,,MATTAPAN,08/04/14,12/05/14,2,
118,BLAKE,,MATTAPAN,08/11/14,12/05/14,2,
12,RIVER,,MATTAPOISETT,02/10/14,02/12/14,2,
8,WINNATUXETT,,MATTAPOISETT,02/15/14,02/25/14,2,
3,WATER,,MATTAPOISETT,03/07/14,03/07/14,1,
12,LEBARON,,MATTAPOISETT,03/10/14,03/18/14,2,
,AUCOOT,AT BOWMAN RD,MATTAPOISETT,03/12/14,04/08/14,2,
77,NORTH,,MATTAPOISETT,04/30/14,04/30/14,1,
,AUCOOT,AT BOWMAN ST,MATTAPOISETT,05/09/14,05/27/14,2,
8,MAIN,,MATTAPOISETT,06/04/14,06/04/14,1,
23,NORTH,,MATTAPOISETT,10/19/14,10/19/14,1,
30,WATER,,MATTAPOISETT,08/26/14,10/20/14,2,
39,RIVER,,MATTAPOISETT,06/10/14,10/28/14,2,
16,RESERVATION,,MATTAPOISETT,10/28/14,10/28/14,1,
5,SHAW,,MATTAPOISETT,09/18/14,10/29/14,2,
44,FAIRHAVEN,,MATTAPOISETT,10/02/14,11/21/14,2,
27-29,ARTHUR,,MAYNARD,02/20/14,02/20/14,1,
10,MCKINLEY,,MAYNARD,02/24/14,02/24/14,1,
11,MCKINLEY,,MAYNARD,04/04/14,04/04/14,2,
14,DOUGLAS,,MAYNARD,04/01/14,04/09/14,2,
,DOUGLAS,AT GARFIELD ST,MAYNARD,04/10/14,04/10/14,1,
25,DOUGLAS,,MAYNARD,04/09/14,04/30/14,2,
10,FOWLER,,MAYNARD,05/20/14,05/20/14,1,
149,MAIN,,MAYNARD,06/18/14,06/18/14,1,
,DOUGLAS,AT GARFIELD ST,MAYNARD,08/05/14,08/05/14,2,
17,NASON,,MAYNARD,08/05/14,08/05/14,2,
100,SUMMER,,MAYNARD,07/17/14,08/05/14,2,
100,SUMMER,,MAYNARD,08/05/14,08/05/14,2,
5-19,RIVER,,MAYNARD,10/24/14,10/24/14,1,
19,GEORGE,,MAYNARD,10/31/14,10/31/14,1,
19,GEORGE,,MAYNARD,10/31/14,10/31/14,1,
42,DURANT,,MAYNARD,10/20/14,11/07/14,2,
7,PINE,,MAYNARD,11/12/14,11/21/14,2,
15,ELM,,MAYNARD,10/28/14,12/02/14,2,
1,WEST,,MAYNARD,10/28/14,12/05/14,2,
18,WALTHAM,,MAYNARD,10/22/14,12/11/14,2,
43,ACTON,,MAYNARD,10/30/14,12/20/14,2,
2,FLORIDA,,MAYNARD,11/13/14,12/20/14,2,
25,LEWIS,,MAYNARD,11/19/14,12/20/14,2,
23,RAILROAD,,MAYNARD,10/21/14,12/23/14,2,
257,MAIN,,MAYNARD,10/23/14,12/26/14,2,
49,RIVER,,MAYNARD,11/05/14,12/26/14,2,
49,RIVER,,MAYNARD,11/05/14,12/26/14,2,
15,DEANE,,MAYNARD,11/07/14,12/30/14,2,
11A-B,DEANE,,MAYNARD,11/10/14,12/30/14,2,
45,FOREST,,MILFORD,01/15/14,01/16/14,2,
98,WEST,,MILFORD,01/25/14,01/25/14,1,
500,FORTUNE,,MILFORD,01/29/14,01/29/14,2,
,FREEDOM,AT PROSPECT ST,MILFORD,01/30/14,01/31/14,2,
140,WEST,,MILFORD,01/10/14,02/01/14,2,
140,WEST,,MILFORD,02/01/14,02/01/14,1,
17,PRINCETON,,MILFORD,02/15/14,02/20/14,2,
29,GRANT,,MILFORD,02/17/14,02/20/14,2,
29,PRINCETON,,MILFORD,02/21/14,02/21/14,1,
10,FOREST,,MILFORD,02/21/14,02/24/14,2,
,GROVE,,MILFORD,03/11/14,03/17/14,2,
140,WEST,,MILFORD,03/17/14,03/17/14,1,
20,WEST,,MILFORD,04/05/14,04/05/14,1,
83,CEDAR,,MILFORD,05/01/14,05/01/14,1,
37,GRANT,,MILFORD,06/24/14,06/24/14,1,
9,DARTMOUTH,,MILFORD,07/07/14,07/17/14,3,
51,SCHOOL,,MILFORD,07/30/14,07/30/14,1,
12,YALE,,MILFORD,08/26/14,08/26/14,1,
12,YALE,,MILFORD,04/04/14,08/26/14,1,
13,YALE,,MILFORD,08/26/14,09/15/14,,
8,YALE,,MILFORD,09/18/14,09/30/14,3,
,YALE,,MILFORD,09/18/14,10/02/14,3,
5,FELLS,,MILFORD,10/06/14,10/06/14,1,
17,VASSAR,,MILFORD,10/18/14,10/18/14,,
60,FOREST,,MILFORD,10/29/14,10/29/14,1,
25,DARTMOUTH,,MILFORD,10/30/14,10/30/14,1,
23,VINE,,MILFORD,11/09/14,11/09/14,1,
49-51,CONGRESS,,MILFORD,09/10/14,11/12/14,2,
25,SIMMONS,,MILFORD,11/13/14,11/13/14,1,
28,TRINITY,,MILFORD,11/17/14,11/17/14,1,
156,WEST,,MILFORD,11/20/14,11/20/14,1,
156,WEST,,MILFORD,12/01/14,12/01/14,1,
36,SCHOOL,,MILFORD,03/03/14,12/23/14,2,
76,HORNE,,MILLBURY,01/14/14,01/14/14,2,
42,MAPLE,,MILLBURY,01/15/14,01/15/14,1,
,HORNE,,MILLBURY,01/14/14,01/16/14,2,
164,W-MAIN,,MILLBURY,02/17/14,02/17/14,1,
75,ELM,,MILLBURY,04/14/14,04/14/14,1,
,CHURCH,AT N-MAIN ST,MILLBURY,08/06/14,08/06/14,1,
,ASHTON,,MILLBURY,11/10/14,11/10/14,1,
170,WEST MAIN,,MILLBURY,11/13/14,12/17/14,2,
130,ELM,,MILLBURY,12/07/14,12/17/14,2,
15,DEERFIELD,,NATICK,12/19/13,01/08/14,2,
,ROUNDWOOD,AT DEERFIELD LN,NATICK,12/20/13,01/08/14,2,
1245,WORCESTER,,NATICK,01/09/14,01/10/14,2,
7,RIVER,,NATICK,01/14/14,01/14/14,1,
16,OVERBROOK,,NATICK,01/14/14,01/14/14,1,
6,RIVER,,NATICK,01/14/14,01/14/14,1,
121,W-CENTRAL,,NATICK,01/23/14,01/23/14,1,
30,PILGRIM,,NATICK,01/24/14,01/29/14,2,
1-5,H-F-BROWN,,NATICK,01/14/14,01/30/14,2,
13,SHERWOOD,,NATICK,01/26/14,01/31/14,2,
18,BEVERLY,,NATICK,02/03/14,02/03/14,1,
18,BEVERLY,,NATICK,02/04/14,02/04/14,1,
1,FRANCIS,,NATICK,02/05/14,02/05/14,1,
4,ABBOT,,NATICK,01/29/14,02/10/14,2,
14,DAVID,,NATICK,02/12/14,02/12/14,1,
29,PINEHURST,,NATICK,02/23/14,02/23/14,1,
51,BORDER,,NATICK,03/13/14,03/13/14,1,
140,MILL,,NATICK,03/20/14,03/20/14,1,
29,JENNINGS-POND,,NATICK,02/21/14,03/21/14,2,
7,RIVER,,NATICK,03/30/14,03/30/14,1,
24,BARNESDALE,,NATICK,04/06/14,04/06/14,1,
28,BARNESDALE,,NATICK,04/08/14,04/08/14,2,
OPP 324,W-CENTRAL,,NATICK,04/01/14,04/11/14,2,
16,BRAEMORE,,NATICK,04/12/14,04/12/14,1,
11,FOREST,,NATICK,04/16/14,04/16/14,1,
54,WASHINGTON,,NATICK,04/21/14,04/21/14,1,
56,WASHINGTON,,NATICK,04/21/14,04/21/14,1,
319,N-MAIN,,NATICK,05/02/14,05/02/14,1,
47,ELIOT,,NATICK,05/09/14,05/09/14,1,
95,WORCESTER,,NATICK,05/12/14,05/12/14,1,
3,SAWIN,,NATICK,05/12/14,05/12/14,1,
16,BURNING-TREE,,NATICK,05/19/14,05/20/14,2,
17,VIRGINIA,,NATICK,05/30/14,06/06/14,2,
8,MERCER,,NATICK,06/12/14,06/12/14,1,
5,CHESTER,,NATICK,06/14/14,06/14/14,1,
10,BROADS,,NATICK,06/16/14,06/16/14,1,
10,BROADS,,NATICK,06/18/14,06/18/14,1,
8,MERCER,,NATICK,06/21/14,06/21/14,1,
,RICH,,NATICK,06/24/14,06/24/14,1,
8,PARKER,,NATICK,06/16/14,06/26/14,2,
14,SURREY,,NATICK,07/10/14,07/10/14,1,
,N-MAIN,AT WASHINGTON ST,NATICK,07/28/14,07/28/14,3,
37,WELLESLEY,,NATICK,07/30/14,07/30/14,1,
538,WORCESTER,,NATICK,07/30/14,07/30/14,1,
5,KELSEY,,NATICK,07/31/14,07/31/14,1,
28,FERN,,NATICK,08/01/14,08/01/14,1,
36,PITTS,,NATICK,08/01/14,08/01/14,1,
33,ELIOT,,NATICK,08/01/14,08/01/14,1,
162,E-CENTRAL,,NATICK,08/04/14,08/04/14,1,
38,HARWOOD,,NATICK,07/21/14,08/07/14,2,
5,NOTTINGHAM,,NATICK,08/01/14,08/01/14,1,
21,MANOR,,NATICK,08/04/14,08/04/14,1,
14,SURREY,,NATICK,08/06/14,08/06/14,1,
16,SURREY,,NATICK,06/27/14,08/07/14,2,
,SPEEN,AT PINEHURST,NATICK,09/03/14,09/03/14,1,
11,FISKE,,NATICK,09/08/14,09/08/14,,
20,PINEHURST,,NATICK,09/08/14,09/08/14,,
18,LONGFELLOW,,NATICK,07/22/14,09/11/14,,
33,BEVERLY,,NATICK,07/21/14,09/12/14,,
61,ELIOT-HILL,,NATICK,09/05/14,09/12/14,,
4,RANGER,,NATICK,09/12/14,09/12/14,,
10,LAKE,,NATICK,09/27/14,09/27/14,1,
8,MERCER,,NATICK,06/28/14,09/30/14,2,
8,MERCER,,NATICK,09/30/14,09/30/14,1,
4,WARING,,NATICK,10/11/14,10/11/14,1,
13,SHERMAN,,NATICK,10/13/14,10/13/14,1,
19,FOREST,,NATICK,10/21/14,10/21/14,1,
6,VIRGINIA,,NATICK,10/27/14,10/27/14,2,
71,ELIOT,,NATICK,11/12/14,11/12/14,1,
,SURREY,,NATICK,11/23/14,11/23/14,2,
11,MICHIGAN,,NATICK,06/09/14,11/28/14,2,
10,DRURY,,NATICK,12/02/14,12/02/14,1,
14,FLORENCE,,NATICK,08/27/14,12/04/14,2,
18,VERMONT,,NATICK,09/22/14,12/04/14,2,
13,KEANE,,NATICK,10/15/14,12/04/14,2,
13,KEANE,,NATICK,11/26/14,12/04/14,2,
7,WHITTIER,,NATICK,06/06/14,12/08/14,2,
,WHITTIER,AT OXFORD ST,NATICK,06/09/14,12/08/14,2,
8,OVERBROOK,,NATICK,06/10/14,12/10/14,2,
17,WORCESTER,,NATICK,06/10/14,12/10/14,2,
,WESTERN,AT CONCORD ST,NATICK,07/03/14,12/10/14,2,
12,OVERBROOK,,NATICK,08/14/14,12/10/14,2,
1,FRANCES,,NATICK,06/02/14,12/11/14,2,
23,WELLESLEY,,NATICK,06/09/14,12/11/14,2,
215,ELIOT,,NATICK,12/04/14,12/13/14,2,
6,FIELDSTONE,,NATICK,12/13/14,12/13/14,1,
,GROVE,AT WINNEMAY ST,NATICK,12/14/14,12/14/14,1,
19,STRATFORD,,NATICK,03/20/14,12/16/14,2,
140,SOUTH MAIN,,NATICK,12/16/14,12/17/14,1,
12,STONEBRIDGE,,NATICK,07/29/14,12/18/14,2,
29,JENNINGS POND,,NATICK,10/16/14,12/18/14,2,
16,VERNON,,NATICK,05/30/14,12/19/14,2,
31,HARWOOD,,NATICK,12/19/14,12/19/14,2,
31,HARWOOD,,NATICK,12/19/14,12/19/14,1,
13,MERCER,,NATICK,06/12/14,12/22/14,2,
6,STRATHMORE,,NATICK,06/12/14,12/22/14,2,
12,MERCER,,NATICK,11/24/14,12/22/14,2,
7,HOME,,NATICK,10/08/14,12/23/14,2,
7,CHESTER,,NATICK,08/28/14,12/26/14,2,
7,FERNDALE,,NATICK,06/06/14,12/27/14,2,
13,STRATFORD,,NATICK,07/23/14,12/27/14,2,
6,WALNUT PARK,,NATICK,08/12/14,12/27/14,2,
215,ELIOT,,NATICK,12/16/14,12/29/14,2,
,PLEASANT,,NATICK,02/09/13,12/30/14,2,
41,FISKE,,NATICK,12/04/14,12/30/14,2,
150,WALNUT,,NATICK,06/12/14,12/31/14,2,
254,NORTH MAIN,,NATICK,09/10/14,12/31/14,2,
123,OAK,,NATICK,09/24/14,12/31/14,2,
252,NORTH MAIN,,NATICK,12/24/14,12/31/14,2,
166,HUNNEWELL,,NEEDHAM,01/14/14,01/28/14,2,
122-126,COGSWELL,,NEEDHAM,01/27/14,01/28/14,1,
149,RICHARDSON,,NEEDHAM,02/12/14,02/14/14,2,
149,RICHARDSON,,NEEDHAM,02/22/14,02/24/14,2,
76,DAMON,,NEEDHAM,12/21/13,03/10/14,2,
140,WHITMAN,,NEEDHAM,03/17/14,03/18/14,2,
,GREAT-PLAIN,,NEEDHAM,03/18/14,03/25/14,2,
,WILSHIRE,AT HARRIS ST,NEEDHAM,04/02/14,04/14/14,2,
471,HUNNEWELL,,NEEDHAM,04/15/14,04/15/14,2,
25,ROSEMARY,,NEEDHAM,04/07/14,04/17/14,2,
171,RESERVOIR,,NEEDHAM,04/28/14,04/28/14,1,
1246-1250,GREAT-PLAIN,,NEEDHAM,05/21/14,05/21/14,2,
4,FAIR-OAKS,,NEEDHAM,05/27/14,05/28/14,1,
403,CHARLES-RIVER,,NEEDHAM,05/12/14,06/03/14,2,
403,CHARLES-RIVER,,NEEDHAM,06/04/14,06/04/14,2,
25,ROSEMARY,,NEEDHAM,06/10/14,06/10/14,2,
716,HIGHLAND,,NEEDHAM,04/21/14,06/11/14,2,
18,EDGEWOOD,,NEEDHAM,06/12/14,06/12/14,1,
,PARISH,,NEEDHAM,10/03/13,06/18/14,2,
,MANNING,AT LINDBERGH AVE,NEEDHAM,06/18/14,06/19/14,2,
20,OAKLAND,,NEEDHAM,06/23/14,06/23/14,1,
,MAY,AT WARREN ST,NEEDHAM,07/13/14,07/13/14,1,
,LINDBERGH,AT MANNING ST,NEEDHAM,06/18/14,07/29/14,2,
36,ROSEMARY,,NEEDHAM,08/04/14,08/04/14,1,
,MANNING,AT JAMES AVE,NEEDHAM,07/31/14,07/31/14,1,
28-30,OAK,,NEEDHAM,04/30/14,08/05/14,2,
313,BROOKLINE,,NEEDHAM,09/04/14,09/04/14,2,
313,BROOKLINE,,NEEDHAM,07/31/14,09/09/14,,
,BROOKLINE,AT MANNING ST,NEEDHAM,09/09/14,09/09/14,,
169,LAUREL,,NEEDHAM,07/25/14,09/15/14,,
1708-1711,CENTRAL,,NEEDHAM,09/25/14,09/29/14,2,
,WEBSTER,,NEEDHAM,10/02/14,10/03/14,2,
179,MANNING,,NEEDHAM,10/10/14,10/15/14,2,
179,MANNING,,NEEDHAM,10/14/14,10/15/14,2,
32,CHESTNUT,,NEEDHAM,10/21/14,10/21/14,2,
15,PLEASANT,,NEEDHAM,10/17/14,10/24/14,2,
634,WEBSTER,,NEEDHAM,12/12/13,10/27/14,2,
,BROOKLINE,,NEEDHAM,10/30/14,10/30/14,2,
160,COUNTRY,,NEEDHAM,12/04/13,12/01/14,3,
160,DAWSON,,NEEDHAM,12/02/14,12/03/14,2,
161,WINDING RIVER,,NEEDHAM,12/05/14,12/05/14,2,
38,RIDGEWAY,,NEEDHAM,12/02/14,12/08/14,2,
71,WASHINGTON,,NEEDHAM,12/09/14,12/11/14,2,
287,HIGH ROCK,,NEEDHAM,12/09/13,12/17/14,3,
531,SOUTH,,NEEDHAM,12/15/14,12/19/14,2,
83,WEBSTER,,NEEDHAM,12/17/14,12/26/14,2,
,KENDRICK,AT HUNTING RD,NEEDHAM,05/21/14,12/27/14,2,
389,MANNING,,NEEDHAM,12/30/14,12/31/14,2,
127,MT-PLEASANT,,NEW BEDFORD,01/05/14,01/07/14,2,
349-351,W-CLINTON,,NEW BEDFORD,01/04/14,01/08/14,2,
70,TRINITY,,NEW BEDFORD,01/08/14,01/09/14,2,
70,LINDEN,,NEW BEDFORD,01/03/14,01/09/14,2,
237,BATES,,NEW BEDFORD,01/09/14,01/09/14,2,
73,LINDEN,,NEW BEDFORD,01/09/14,01/09/14,2,
70,TRINITY,,NEW BEDFORD,01/09/14,01/09/14,2,
43,JOUVETTE,,NEW BEDFORD,01/13/14,01/13/14,2,
84,JOUVETTE,,NEW BEDFORD,01/14/14,01/14/14,1,
915,HATHAWAY,,NEW BEDFORD,01/09/14,01/15/14,2,
34,BULLARD,,NEW BEDFORD,01/17/14,01/17/14,2,
1060,PLEASANT,,NEW BEDFORD,01/17/14,01/17/14,2,
39-41,RYAN,,NEW BEDFORD,01/17/14,01/17/14,2,
321,BELLEVILLE,,NEW BEDFORD,03/16/06,01/20/14,3,
25,BLUEBERRY,,NEW BEDFORD,01/07/14,01/20/14,2,
233,HARWICH,,NEW BEDFORD,01/21/14,01/21/14,1,
367,STATE,,NEW BEDFORD,01/23/14,01/23/14,2,
234,DAVIS,,NEW BEDFORD,01/25/14,01/27/14,2,
570,S-SECOND,,NEW BEDFORD,01/27/14,01/27/14,1,
63,CLIFFORD,,NEW BEDFORD,01/28/14,01/28/14,2,
29-33,ARCH,,NEW BEDFORD,01/28/14,01/28/14,1,
79,KATHERINE,,NEW BEDFORD,01/29/14,01/29/14,1,
499,NASH,,NEW BEDFORD,01/29/14,01/29/14,1,
39,ASHLEY,,NEW BEDFORD,01/30/14,01/30/14,1,
80,KATHERINE,,NEW BEDFORD,01/31/14,01/31/14,1,
109,ASHLEY,,NEW BEDFORD,01/31/14,01/31/14,2,
200,WELD,,NEW BEDFORD,01/31/14,01/31/14,2,
5,BULLARD,,NEW BEDFORD,02/02/14,02/02/14,1,
5,BULLARD,,NEW BEDFORD,02/03/14,02/03/14,1,
11,DAVIS,,NEW BEDFORD,02/03/14,02/03/14,1,
220-222,BATES,,NEW BEDFORD,02/06/14,02/06/14,1,
251-253,CENTRAL,,NEW BEDFORD,02/06/14,02/06/14,1,
3,BULLARD,,NEW BEDFORD,02/06/14,02/06/14,2,
3,BULLARD,,NEW BEDFORD,02/06/14,02/06/14,2,
186,CHESTNUT,,NEW BEDFORD,02/07/14,02/07/14,1,
49-51,MILFORD,,NEW BEDFORD,02/07/14,02/07/14,2,
49-51,MILFORD,,NEW BEDFORD,02/07/14,02/07/14,2,
506,ASHLEY,,NEW BEDFORD,02/07/14,02/08/14,1,
106,LUKE,,NEW BEDFORD,02/09/14,02/09/14,1,
685,SUMMER,,NEW BEDFORD,02/12/14,02/12/14,2,
31,BABBITT,,NEW BEDFORD,02/14/14,02/14/14,2,
52,NORMAN,,NEW BEDFORD,02/17/14,02/17/14,1,
506,ASHLEY,,NEW BEDFORD,02/07/14,02/20/14,2,
12,BIRCHWOOD,,NEW BEDFORD,02/15/14,02/20/14,2,
,COUNTY,AT WING ST,NEW BEDFORD,02/21/14,02/21/14,1,
301,BELLEVILLE,,NEW BEDFORD,02/21/14,02/21/14,1,
955,HILLCREST,,NEW BEDFORD,02/21/14,02/21/14,2,
90,MORTON,,NEW BEDFORD,02/18/14,02/22/14,2,
46,WING,,NEW BEDFORD,02/24/14,02/24/14,1,
366,UNION,,NEW BEDFORD,02/24/14,02/24/14,1,
84,NORMAN,,NEW BEDFORD,02/24/14,02/24/14,1,
969,HILLCREST,,NEW BEDFORD,02/24/14,02/24/14,2,
84,NORMAN,,NEW BEDFORD,02/24/14,02/24/14,2,
159-161,BUTLER,,NEW BEDFORD,02/15/14,02/20/14,2,
,BULLOCK,AT DURFEE,NEW BEDFORD,02/20/14,02/20/14,1,
329,BROOK,,NEW BEDFORD,02/11/14,02/24/14,2,
195,WHITMAN,,NEW BEDFORD,02/24/14,02/24/14,1,
1085,JOYCE,,NEW BEDFORD,02/01/14,03/07/14,2,
166,SOMERSET,,NEW BEDFORD,03/07/14,03/07/14,2,
,MACARTHUR,AT STATE PIER,NEW BEDFORD,03/08/14,03/08/14,1,
103,CLIFFORD,,NEW BEDFORD,03/10/14,03/10/14,1,
143,HAWTHORN,,NEW BEDFORD,03/11/14,03/11/14,1,
135,TALLMAN,,NEW BEDFORD,03/11/14,03/11/14,1,
135,TALLMAN,,NEW BEDFORD,03/11/14,03/11/14,2,
,ROCKDALE,AT COVE,NEW BEDFORD,03/08/14,03/12/14,2,
90,MOSS,,NEW BEDFORD,03/02/14,03/14/14,2,
85,BEDFORD,,NEW BEDFORD,03/15/14,03/15/14,1,
23,PINERIDGE,,NEW BEDFORD,03/19/14,03/19/14,1,
29,WALDO,,NEW BEDFORD,03/20/14,03/20/14,2,
