MATTAPAN,119 RUSKINDALE,,08/04/14,3,
MATTAPAN,21 SUNCREST,,08/04/14,3,
WORCESTER,750 GROVE,,08/04/14,3,
WORCESTER,GROVE,@ DRUMMOND AVENUE,08/04/14,3,
HUDSON,50 MAIN,,08/03/14,3,
HUDSON,50 MAIN,,08/03/14,3,
HUDSON,28 POPE,,08/03/14,3,
DARTMOUTH,45 BIRCHWOOD,,08/01/14,3,
DARTMOUTH,12 CYPRESS,,08/01/14,3,
DARTMOUTH,9 DRIFTWOOD,,08/01/14,3,
DEDHAM,122 HIGH,,08/01/14,3,
FAIRHAVEN,EDDY,,08/01/14,3,
FAIRHAVEN,262 HUTTLESTON,,08/01/14,3,
FAIRHAVEN,266 HUTTLESTON,,08/01/14,3,
FAIRHAVEN,65 MILL,,08/01/14,3,
FAIRHAVEN,67 MILL,,08/01/14,3,
FAIRHAVEN,MILL,,08/01/14,3,
MATTAPAN,47 MATTAKEESET,,08/01/14,3,
WORCESTER,GROVE,@ LANSING AVENUE,08/01/14,3,
CAMBRIDGE,3 GRAY GARDENS EAST,,07/31/14,3,
DEDHAM,54 GAINSVILLE,,07/31/14,3,
FAIRHAVEN,276 HUTTLESTON,,07/31/14,3,
FAIRHAVEN,286 HUTTLESTON,,07/31/14,3,
FAIRHAVEN,316 HUTTLESTON,,07/31/14,3,
FAIRHAVEN,316 HUTTLESTON,,07/31/14,3,
FAIRHAVEN,320 HUTTLESTON,,07/31/14,3,
FAIRHAVEN,8 NONQUITT,,07/31/14,3,
FAIRHAVEN,SAKONET,,07/31/14,3,
FAIRHAVEN,141 WEEDEN,,07/31/14,3,
FAIRHAVEN,WEEDEN,,07/31/14,3,
MILFORD,3 FORTUNE,,07/31/14,3,
NATICK,23 KELSEY,,07/31/14,3,
NATICK,5 WESTFIELD,,07/31/14,3,
FAIRHAVEN,110 WEEDEN,,07/30/14,3,
FAIRHAVEN,14 WEEDEN,,07/30/14,3,
FAIRHAVEN,28 WEEDEN,,07/30/14,3,
FAIRHAVEN,30 WEEDEN,,07/30/14,3,
MARLBORO,480 FARM,,07/30/14,3,
NATICK,60 PILGRIM,,07/30/14,3,
STOW,206 GLEASONDALE,,07/30/14,3,
WORCESTER,12 LENOX,,07/30/14,3,
WORCESTER,1 LONGWOOD,,07/30/14,3,
CAMBRIDGE,54 PEMBERTON,,07/29/14,3,
FAIRHAVEN,326 HUTTLESTON,,07/29/14,3,
FAIRHAVEN,AKIN,,07/29/14,3,
FAIRHAVEN,14 COOLIDGE,,07/29/14,3,
FAIRHAVEN,5 COOLIDGE,,07/29/14,3,
FAIRHAVEN,COOLIDGE,,07/29/14,3,
FAIRHAVEN,33 DARTMOUTH,,07/29/14,3,
FAIRHAVEN,41 DARTMOUTH,,07/29/14,3,
FAIRHAVEN,29 HAMLET,,07/29/14,3,
FAIRHAVEN,322 HUTTLESTON,,07/29/14,3,
FAIRHAVEN,330 HUTTLESTON,,07/29/14,3,
FAIRHAVEN,STONE,@ HUTTLESTON AVENUE,07/29/14,3,
FAIRHAVEN,STUDLEY,,07/29/14,3,
MATTAPAN,24 BELNEL,,07/29/14,3,
NATICK,15 TOURNAMENT,,07/29/14,3,
