TOWN,"STREET
NUMBER",STREET NAME,"INTERSECTING
STREET","DATE
CLASSIFIED","DATE
REPAIRED","LEAK
GRADE",Merged addresses,,unrepaired leaks at the start of the year,29
CAMBRIDGE,7,CENTRE,HANCOCK ST,13-Mar-2015,03-Apr-2015,2,7 CENTRE,,,
DARTMOUTH,133,STACKHOUSE,,13-Mar-2015,13-May-2015,2,133 STACKHOUSE,,,
ACUSHNET,,CONDUIT,@ MYRTLE AVE,13-Mar-2015,14-May-2015,2,CONDUIT,,,
FRAMINGHAM,,WATER,@ PAMELA DR,13-Mar-2015,30-Jun-2015,2,WATER,,,
NEW BEDFORD,1801,ACUSHNET,@ BATES ST,14-Mar-2015,14-Mar-2015,1,1801 ACUSHNET,,,
WESTWOOD,85,FORBES,,14-Mar-2015,14-Mar-2015,1,85 FORBES,,,
WORCESTER,19,BEECHMONT,BANCROFT TOWER ROAD,14-Mar-2015,14-Mar-2015,2,19 BEECHMONT,,,
WORCESTER,21,PEACEDALE,DYBECK ST,14-Mar-2015,14-Mar-2015,1,21 PEACEDALE,,,
WORCESTER,167,KING PHILIP,W. BOYLSTON ST,14-Mar-2015,14-Mar-2015,1,167 KING PHILIP,,,
FAIRHAVEN,8,SARATOGA,SPRINGHILL ST,14-Mar-2015,18-Mar-2015,2,8 SARATOGA,,,
MILFORD,,WATER,@ OLIVER ST,14-Mar-2015,20-Mar-2015,2,WATER,,,
FRAMINGHAM,19,WINTER,MAYHEM ST,15-Mar-2015,15-Mar-2015,1,19 WINTER,,,
WORCESTER,18,WORTH,WARD ST,15-Mar-2015,15-Mar-2015,1,18 WORTH,,,
FAIRHAVEN,17,BROOK,HILL ST,15-Mar-2015,16-Mar-2015,2,17 BROOK,,,
NEW BEDFORD,916,HILLCREST,HOLLY TREE LN,15-Mar-2015,16-Mar-2015,2,916 HILLCREST,,,
NEW BEDFORD,4128,ACUSHNET,,16-Mar-2015,16-Mar-2015,2,4128 ACUSHNET,,,
NEW BEDFORD,1799-1801,ACUSHNET,,16-Mar-2015,16-Mar-2015,2,1799-1801 ACUSHNET,,,
SHREWSBURY,677,SOUTH,ARCH ST,16-Mar-2015,16-Mar-2015,2,677 SOUTH,,,
WORCESTER,,ELLIOTT,@ MERRIFIELD ST,16-Mar-2015,16-Mar-2015,1,ELLIOTT,,,
WORCESTER,,MURRAY,PRESTON ST,16-Mar-2015,16-Mar-2015,1,MURRAY,,,
WORCESTER,257,MOWER,WESTMORLAND DR,16-Mar-2015,17-Mar-2015,3,257 MOWER,,,
DEDHAM,171,GREENSBORO,,16-Mar-2015,18-Mar-2015,2,171 GREENSBORO,,,
WORCESTER,17,BEECHMONT,BANCROFT TOWER RD,16-Mar-2015,24-Mar-2015,2,17 BEECHMONT,,,
FRAMINGHAM,1550,WORCESTER,COUNTRY CLUB LANE,16-Mar-2015,25-Mar-2015,2,1550 WORCESTER,,,
DEDHAM,47,CLOUGH,,17-Mar-2015,17-Mar-2015,1,47 CLOUGH,,,
DEDHAM,200,HIGHLAND,,17-Mar-2015,17-Mar-2015,2,200 HIGHLAND,,,
NATICK,35,DAVIS-BROOK,,17-Mar-2015,17-Mar-2015,1,35 DAVIS-BROOK,,,
NEW BEDFORD,,BELLEVILLE,@ COFFIN AVE,17-Mar-2015,17-Mar-2015,1,BELLEVILLE,,,
NEW BEDFORD,,WING,@ PURCHASE ST,17-Mar-2015,17-Mar-2015,1,WING,,,
WORCESTER,,MURRAY,DALE ST,17-Mar-2015,17-Mar-2015,1,MURRAY,,,
DARTMOUTH,47,ARROWHEAD,ELM ST,17-Mar-2015,18-Mar-2015,2,47 ARROWHEAD,,,
FRAMINGHAM,18,JODIE,,17-Mar-2015,18-Mar-2015,2,18 JODIE,,,
MATTAPOISETT,17,RIVER,APPALOOSA LN,17-Mar-2015,19-Mar-2015,2,17 RIVER,,,
FAIRHAVEN,,WEEDEN,@ MONTAUK AVE,17-Mar-2015,20-Mar-2015,2,WEEDEN,,,
FRAMINGHAM,33,SUMMIT,WELLINGTON AVE,17-Mar-2015,30-Mar-2015,2,33 SUMMIT,,,
HUDSON,58,ONTARIO,@ SARATOGA DR,18-Mar-2015,18-Mar-2015,1,58 ONTARIO,,,
MARLBORO,33,MAPLE,,18-Mar-2015,18-Mar-2015,1,33 MAPLE,,,
MARLBORO,81,APPLEWOOD,RIDGE RD,18-Mar-2015,19-Mar-2015,2,81 APPLEWOOD,,,
CAMBRIDGE,,MAPLE,@ MARIE AVE,18-Mar-2015,12-Aug-2015,2,MAPLE,,,
CAMBRIDGE,60,VASSAR,,19-Mar-2015,19-Mar-2015,1,60 VASSAR,,,
NATICK,7,RIVER,SCHALLER ST,19-Mar-2015,19-Mar-2015,1,7 RIVER,,,
NEW BEDFORD,140,CLARK,,19-Mar-2015,19-Mar-2015,2,140 CLARK,,,
NEW BEDFORD,140,CLARK,,19-Mar-2015,19-Mar-2015,2,140 CLARK,,,
NEEDHAM,54,MARKED TREE,,19-Mar-2015,20-Mar-2015,2,54 MARKED TREE,,,
NEW BEDFORD,399,BELLEVILLE,COFFIN AVE,19-Mar-2015,20-Mar-2015,2,399 BELLEVILLE,,,
WORCESTER,228,PROVIDENCE,DOANE ST,20-Mar-2015,20-Mar-2015,1,228 PROVIDENCE,,,
WORCESTER,9,DOLLY,IDA RD,20-Mar-2015,20-Mar-2015,1,9 DOLLY,,,
MILFORD,7,GOODRICH,COURT ST,20-Mar-2015,23-Mar-2015,2,7 GOODRICH,,,
WORCESTER,18,JUDSON,GROVE ST,20-Mar-2015,23-Mar-2015,2,18 JUDSON,,,
ASHLAND,4,WENZELL,WILLIAMS RD,20-Mar-2015,24-Mar-2015,2,4 WENZELL,,,
HOPKINTON,3,SPRING,SPRING ST,20-Mar-2015,24-Mar-2015,2,3 SPRING,,,
CAMBRIDGE,2294,MASSACHUSETTS,,20-Mar-2015,25-Mar-2015,2,2294 MASSACHUSETTS,,,
MAYNARD,31,THOMPSON,ELMWOOD ST,20-Mar-2015,30-Mar-2015,2,31 THOMPSON,,,
SOMERVILLE,65,CENTRAL,HIGHLAND AVE,20-Mar-2015,03-Apr-2015,2,65 CENTRAL,,,
DARTMOUTH,598,SLOCUM,GOLF ST,20-Mar-2015,21-May-2015,2,598 SLOCUM,,,
FRAMINGHAM,184-186,LOCKLAND,,21-Mar-2015,21-Mar-2015,1,184-186 LOCKLAND,,,
NEW BEDFORD,467,COTTAGE,PARKER ST,21-Mar-2015,21-Mar-2015,1,467 COTTAGE,,,
NEW BEDFORD,467,COTTAGE,,21-Mar-2015,21-Mar-2015,1,467 COTTAGE,,,
WORCESTER,3,LUND,,21-Mar-2015,21-Mar-2015,1,3 LUND,,,
WORCESTER,85 1/2,PROSPECT,,21-Mar-2015,21-Mar-2015,1,85 1/2 PROSPECT,,,
MILFORD,7,GOODRICH,NORTH BOW ST,21-Mar-2015,23-Mar-2015,1,7 GOODRICH,,,
SUTTON,68,PROVIDENCE,BLACKSTONE ST,21-Mar-2015,25-Mar-2015,2,68 PROVIDENCE,,,
NEEDHAM,737,CHARLES RIVER,,22-Mar-2015,22-Mar-2015,1,737 CHARLES RIVER,,,
NEW BEDFORD,13,ARCH,,23-Mar-2015,23-Mar-2015,2,13 ARCH,,,
NEW BEDFORD,396,BROCK,,23-Mar-2015,23-Mar-2015,2,396 BROCK,,,
NORTHBRIDGE,212-218,SANDTRAP,,23-Mar-2015,23-Mar-2015,2,212-218 SANDTRAP,,,
DARTMOUTH,18,COLUMBUS,COVE RD,23-Mar-2015,26-Mar-2015,2,18 COLUMBUS,,,
FAIRHAVEN,2,BAYVIEW,MANHATTAN AVE,23-Mar-2015,27-Apr-2015,2,2 BAYVIEW,,,
DARTMOUTH,,BLISS,@ HEMLOCK ST,23-Mar-2015,01-May-2015,2,BLISS,,,
CAMBRIDGE,15,CENTRE,DANA ST,24-Mar-2015,24-Mar-2015,1,15 CENTRE,,,
DARTMOUTH,12,WEBSTER,,24-Mar-2015,24-Mar-2015,2,12 WEBSTER,,,
WORCESTER,25,OAK,KENDALL ST,24-Mar-2015,24-Mar-2015,1,25 OAK,,,
HUDSON,58,ONTARIO,@ SARATOGA DR,24-Mar-2015,25-Mar-2015,1,58 ONTARIO,,,
HUDSON,41-43,ONTARIO,SARATOGA DR,24-Mar-2015,26-Mar-2015,2,41-43 ONTARIO,,,
CAMBRIDGE,33,KIRKLAND,,24-Mar-2015,27-Mar-2015,2,33 KIRKLAND,,,
FRAMINGHAM,1550,WORCESTER,,25-Mar-2015,25-Mar-2015,1,1550 WORCESTER,,,
MARLBORO,602,BRIGHAM,GUNNAR DR,25-Mar-2015,30-Mar-2015,2,602 BRIGHAM,,,
CAMBRIDGE,33,WINTER,SCIARAPPA ST,26-Mar-2015,26-Mar-2015,1,33 WINTER,,,
MARLBORO,15,FRONT,EAST MAIN ST,26-Mar-2015,26-Mar-2015,1,15 FRONT,,,
NEEDHAM,20-24,MAPLE,,26-Mar-2015,26-Mar-2015,1,20-24 MAPLE,,,
NORTHBRIDGE,1215-1229,PROVIDENCE,NORTHERN ST,26-Mar-2015,26-Mar-2015,1,1215-1229 PROVIDENCE,,,
WESTWOOD,83,WILLARD,ST. DENNIS DR,26-Mar-2015,26-Mar-2015,2,83 WILLARD,,,
WORCESTER,,PARK,@ RUSSELL ST,26-Mar-2015,26-Mar-2015,1,PARK,,,
WORCESTER,228,PROVIDENCE,,26-Mar-2015,26-Mar-2015,1,228 PROVIDENCE,,,
WEST BOYLSTON,184-186,WEST BOYLSTON,SHRINE AVE,26-Mar-2015,13-Apr-2015,2,184-186 WEST BOYLSTON,,,
FRAMINGHAM,223,ARTHUR,ROUTE 126,27-Mar-2015,27-Mar-2015,1,223 ARTHUR,,,
FRAMINGHAM,327,WAVERLY,SECOND ST,27-Mar-2015,27-Mar-2015,1,327 WAVERLY,,,
MARLBORO,46,LIZOTTE,WILLIAMS ST,27-Mar-2015,27-Mar-2015,1,46 LIZOTTE,,,
MILFORD,32,WALDEN,CEDAR ST,27-Mar-2015,27-Mar-2015,1,32 WALDEN,,,
NEEDHAM,129,LINDEN,,27-Mar-2015,27-Mar-2015,2,129 LINDEN,,,
WORCESTER,7,ELLSMERE,ADAMS ST,27-Mar-2015,27-Mar-2015,1,7 ELLSMERE,,,
MILFORD,7,TRINITY,,27-Mar-2015,28-Mar-2015,1,7 TRINITY,,,
HOLDEN,93,WINFIELD,,27-Mar-2015,29-Mar-2015,1,93 WINFIELD,,,
ASHLAND,10,HIGLEY,E. UNION ST,27-Mar-2015,02-Apr-2015,2,10 HIGLEY,,,
ASHLAND,117,MAIN,FRONT ST,28-Mar-2015,28-Mar-2015,1,117 MAIN,,,
CARVER,96,NORTH MAIN,,28-Mar-2015,28-Mar-2015,1,96 NORTH MAIN,,,
FAIRHAVEN,6,TORRINGTON,,29-Mar-2015,30-Mar-2015,2,6 TORRINGTON,,,
CAMBRIDGE,245,HAMPSHIRE,DICKINSON ST,29-Mar-2015,28-May-2015,2,245 HAMPSHIRE,,,
ACUSHNET,10,GARFIELD,,30-Mar-2015,30-Mar-2015,2,10 GARFIELD,,,
CAMBRIDGE,18,FIELD,CHILTON ST,30-Mar-2015,30-Mar-2015,1,18 FIELD,,,
MILLBURY,155,NORTH MAIN,,30-Mar-2015,30-Mar-2015,1,155 NORTH MAIN,,,
NEW BEDFORD,129,CARROLL,,30-Mar-2015,30-Mar-2015,2,129 CARROLL,,,
WESTBOROUGH,180,TURNPIKE,,30-Mar-2015,30-Mar-2015,1,180 TURNPIKE,,,
HUDSON,560,MAIN,,30-Mar-2015,31-Mar-2015,2,560 MAIN,,,
NEW BEDFORD,22,BYRON,,30-Mar-2015,02-Apr-2015,2,22 BYRON,,,
SHREWSBURY,21,TANAGER,,30-Mar-2015,13-Apr-2015,2,21 TANAGER,,,
NEW BEDFORD,98,LAFAYETTE,IRVINGTON ST,30-Mar-2015,05-May-2015,2,98 LAFAYETTE,,,
FAIRHAVEN,,FARMFIELD,@ STETSON AVE,30-Mar-2015,14-May-2015,2,FARMFIELD,,,
MARION,41,MILL,,31-Mar-2015,31-Mar-2015,2,41 MILL,,,
MARLBORO,75,WALKER,,31-Mar-2015,31-Mar-2015,1,75 WALKER,,,
MARLBORO,107,CAMERON,,31-Mar-2015,31-Mar-2015,1,107 CAMERON,,,
MAYNARD,25,LEWIS,,31-Mar-2015,31-Mar-2015,1,25 LEWIS,,,
UPTON,12,STODDARD,,31-Mar-2015,31-Mar-2015,1,12 STODDARD,,,
ASHLAND,108,WAVERLY,ROBERTS RD,31-Mar-2015,01-Apr-2015,2,108 WAVERLY,,,
MARLBORO,40,FITZGERALD,SUNSET CIR,31-Mar-2015,01-Apr-2015,2,40 FITZGERALD,,,
WORCESTER,273,CAMBRIDGE,HACKER ST,31-Mar-2015,06-Apr-2015,2,273 CAMBRIDGE,,,
DEDHAM,443,GREENLODGE,FLINTLOCK LN,31-Mar-2015,10-Apr-2015,2,443 GREENLODGE,,,
DARTMOUTH,18,COLUMBUS,COLE RD,31-Mar-2015,16-Apr-2015,2,18 COLUMBUS,,,
FRAMINGHAM,52,CHECKERBERRY,@ RICKEY DR,31-Mar-2015,27-Apr-2015,2,52 CHECKERBERRY,,,
DARTMOUTH,6,FRANKLIN,,01-Apr-2015,01-Apr-2015,1,6 FRANKLIN,,,
WORCESTER,10,OAK,KENDALL ST,01-Apr-2015,01-Apr-2015,1,10 OAK,,,
ASHLAND,,UNION,COLUMBUS AVE,01-Apr-2015,02-Apr-2015,2,UNION,,,
MARLBORO,85-93,SPRING,FRYE ST,01-Apr-2015,03-Apr-2015,2,85-93 SPRING,,,
ASHLAND,131,WAVERLY,ROBERTS RD,01-Apr-2015,06-Apr-2015,2,131 WAVERLY,,,
ASHLAND,135,WAVERLY,,01-Apr-2015,06-Apr-2015,2,135 WAVERLY,,,
FAIRHAVEN,,MANHATTAN,@ HIGHLAND ST,01-Apr-2015,06-Apr-2015,1,MANHATTAN,,,
DEDHAM,45,COMMERCE,WALNUT ST,01-Apr-2015,19-Sep-2015,2,45 COMMERCE,,,
MAYNARD,4,GARFIELD,,02-Apr-2015,02-Apr-2015,1,4 GARFIELD,,,
NEW BEDFORD,,ROBESON,@ RICHMOND ST,02-Apr-2015,02-Apr-2015,2,ROBESON,,,
ASHLAND,14,COLUMBUS,UNION ST,02-Apr-2015,03-Apr-2015,2,14 COLUMBUS,,,
AUBURN,17,PINEHURST,LINCOLN ST,02-Apr-2015,03-Apr-2015,1,17 PINEHURST,,,
DEDHAM,,BRIDGE,@ FAIRFIELD ST,02-Apr-2015,07-Apr-2015,2,BRIDGE,,,
NATICK,241,WEST CENTRAL,NEWFIELD DR,02-Apr-2015,08-Apr-2015,2,241 WEST CENTRAL,,,
WAYLAND,8,HEARTHSTONE,LANGDON RD,02-Apr-2015,13-Apr-2015,2,8 HEARTHSTONE,,,
HYDE PARK,,PROSPECT,@ FAIRMOUNT AVE,02-Apr-2015,14-Apr-2015,2,PROSPECT,,,
ASHLAND,119,MAIN,,03-Apr-2015,03-Apr-2015,1,119 MAIN,,,
DEDHAM,280,BOSTON PROVIDENCE,,03-Apr-2015,03-Apr-2015,1,280 BOSTON PROVIDENCE,,,
HOLLISTON,17,LOUIS,,03-Apr-2015,03-Apr-2015,1,17 LOUIS,,,
MARLBORO,412,COOK,FARM RD,03-Apr-2015,03-Apr-2015,1,412 COOK,,,
NEW BEDFORD,41,HIGHLAND,,03-Apr-2015,03-Apr-2015,2,41 HIGHLAND,,,
MILFORD,4,NORTH BOW,MAIN ST,03-Apr-2015,06-Apr-2015,2,4 NORTH BOW,,,
SOUTHBORO,14,CHERRY,PLEASANT ST,03-Apr-2015,14-Oct-2015,2,14 CHERRY,,,
MARLBORO,20,ALGOSI,CULHANE DR,04-Apr-2015,26-May-2015,2,20 ALGOSI,,,
WESTWOOD,47,WILLARD,,05-Apr-2015,05-Apr-2015,1,47 WILLARD,,,
HUDSON,15,GLENDALE,,06-Apr-2015,06-Apr-2015,1,15 GLENDALE,,,
MARLBORO,25,PRESTON,ELM ST,06-Apr-2015,06-Apr-2015,1,25 PRESTON,,,
NEEDHAM,26,GOULD,BEECH ST,06-Apr-2015,06-Apr-2015,1,26 GOULD,,,
WORCESTER,9,EDGEWOOD,,06-Apr-2015,06-Apr-2015,1,9 EDGEWOOD,,,
MILLBURY,OPP 219,WHEELOCK,GRAFTON RD,06-Apr-2015,07-Apr-2015,2,OPP 219 WHEELOCK,,,
MARLBORO,20,ALGOSI,@ CULLINANE DR,06-Apr-2015,26-May-2015,2,20 ALGOSI,,,
FRAMINGHAM,105,SECOND,TARALLI TER,06-Apr-2015,05-Oct-2015,2,105 SECOND,,,
FRAMINGHAM,,SECOND,@ BEAVER TERRACE CIR,06-Apr-2015,06-Oct-2015,2,SECOND,,,
NATICK,14,FOREST,,07-Apr-2015,07-Apr-2015,1,14 FOREST,,,
MARLBORO,95,JEAN,RAYMOND RD,07-Apr-2015,13-Apr-2015,2,95 JEAN,,,
WORCESTER,,HOLDEN,@ SMITH LN,07-Apr-2015,10-May-2015,2,HOLDEN,,,
NEW BEDFORD,1502,ACUSHNET,COFFIN AVE,07-Apr-2015,08-Jun-2015,2,1502 ACUSHNET,,,
GRAFTON,20,NORTH MAIN,,08-Apr-2015,08-Apr-2015,1,20 NORTH MAIN,,,
HOLLISTON,16,ADAM WHEELER,GOULDING ST,08-Apr-2015,08-Apr-2015,2,16 ADAM WHEELER,,,
NEW BEDFORD,200,RIVERSIDE,,08-Apr-2015,08-Apr-2015,1,200 RIVERSIDE,,,
DARTMOUTH,9,JOHN WINTHROP,,08-Apr-2015,09-Apr-2015,2,9 JOHN WINTHROP,,,
FRAMINGHAM,52,CHECKERBERRY,RICKY DR,08-Apr-2015,27-Apr-2015,2,52 CHECKERBERRY,,,
SOMERVILLE,10,BOW,WARREN AVE,08-Apr-2015,01-May-2015,2,10 BOW,,,
NEW BEDFORD,211,CAROLINE,,08-Apr-2015,05-May-2015,2,211 CAROLINE,,,
NEEDHAM,77,NEHOIDEN,,09-Apr-2015,09-Apr-2015,1,77 NEHOIDEN,,,
WORCESTER,91,WATERFORD,JUNE ST,09-Apr-2015,09-Apr-2015,1,91 WATERFORD,,,
FRAMINGHAM,770-792,WATER,EDGELL RD,09-Apr-2015,10-Apr-2015,1,770-792 WATER,,,
MAYNARD,19,AMORY,HAZELWOOD RD,09-Apr-2015,10-Apr-2015,2,19 AMORY,,,
WAYLAND,8,HEARTHSTONE,LANGDON RD,09-Apr-2015,13-Apr-2015,2,8 HEARTHSTONE,,,
FRAMINGHAM,10,RICKY,CHECKERBERRY LN,09-Apr-2015,27-Apr-2015,2,10 RICKY,,,
HOPKINTON,8,MESERVE,,09-Apr-2015,01-May-2015,2,8 MESERVE,,,
ASHLAND,45,PROSPECT,,10-Apr-2015,10-Apr-2015,1,45 PROSPECT,,,
MAYNARD,19,AMORY,,10-Apr-2015,10-Apr-2015,1,19 AMORY,,,
NEW BEDFORD,18,TRINITY,,10-Apr-2015,10-Apr-2015,2,18 TRINITY,,,
STOW,22,JOHNSTON,,10-Apr-2015,10-Apr-2015,2,22 JOHNSTON,,,
WORCESTER,,PROVIDENCE,@ DOANE ST,10-Apr-2015,10-Apr-2015,1,PROVIDENCE,,,
WORCESTER,97,CANTERBURY,,12-Apr-2015,12-Apr-2015,1,97 CANTERBURY,,,
HOLLISTON,30,BONNEY,,12-Apr-2015,08-May-2015,2,30 BONNEY,,,
NEW BEDFORD,1105-1107,COUNTY,DAVID CT,13-Apr-2015,13-Apr-2015,2,1105-1107 COUNTY,,,
STOW,55,HARTLEY,,13-Apr-2015,13-Apr-2015,2,55 HARTLEY,,,
WORCESTER,,WEST UPSALA,@ VERNON ST,13-Apr-2015,13-Apr-2015,1,WEST UPSALA,,,
CAMBRIDGE,50,AMES,,13-Apr-2015,15-Apr-2015,2,50 AMES,,,
WESTWOOD,12-16,SOUTHWEST,ROUTE 1,13-Apr-2015,13-May-2015,1,12-16 SOUTHWEST,,,
NEW BEDFORD,,ACUSHNET,@ DOVER ST,13-Apr-2015,20-May-2015,2,ACUSHNET,,,
FAIRHAVEN,7,LONG,,14-Apr-2015,14-Apr-2015,1,7 LONG,,,
GRAFTON,8,SARTELL,,14-Apr-2015,14-Apr-2015,1,8 SARTELL,,,
NEEDHAM,362,WEBSTER,PARK AVE,14-Apr-2015,14-Apr-2015,2,362 WEBSTER,,,
WESTBOROUGH,180,MILK,,14-Apr-2015,14-Apr-2015,1,180 MILK,,,
WORCESTER,,VERNON,@ WEST UPSALA,14-Apr-2015,14-Apr-2015,1,VERNON,,,
NEW BEDFORD,93,SPRING,@ SEVENTH ST,14-Apr-2015,29-Apr-2015,2,93 SPRING,,,
NEW BEDFORD,57,COTTAGE,@ BEDFORD ST,14-Apr-2015,12-May-2015,2,57 COTTAGE,,,
MARLBORO,54,EVELINA,SCHOFIELD ST,14-Apr-2015,24-Oct-2015,2,54 EVELINA,,,
FAIRHAVEN,3,QUINCY,ADAMS ST,14-Apr-2015,16-Nov-2015,3,3 QUINCY,,,
MAYNARD,41,THOMPSON,PARK ST,14-Apr-2015,27-Nov-2015,2,41 THOMPSON,,,
NEW BEDFORD,90,ELM,BROCK AVE,15-Apr-2015,15-Apr-2015,2,90 ELM,,,
NEW BEDFORD,552,KIRBY,,15-Apr-2015,15-Apr-2015,2,552 KIRBY,,,
NEW BEDFORD,34-36,EMMA,,15-Apr-2015,15-Apr-2015,2,34-36 EMMA,,,
SHREWSBURY,6,HILLANDO,,15-Apr-2015,15-Apr-2015,2,6 HILLANDO,,,
WESTBOROUGH,166,MILK,,15-Apr-2015,15-Apr-2015,1,166 MILK,,,
WORCESTER,278,MILLBURY,CANTON ST,15-Apr-2015,15-Apr-2015,1,278 MILLBURY,,,
DARTMOUTH,,STACKHOUSE,ROCKDALE AVE,15-Apr-2015,22-Apr-2015,2,STACKHOUSE,,,
FRAMINGHAM,661,CONCORD,VALENTINE RD,15-Apr-2015,01-May-2015,2,661 CONCORD,,,
NEW BEDFORD,373,BELLEVILLE,DEANE ST,15-Apr-2015,07-May-2015,2,373 BELLEVILLE,,,
MATTAPOISETT,,NORTH,TOWER RD,15-Apr-2015,22-May-2015,2,NORTH,,,
MARION,81,WATER,@ VINE ST,15-Apr-2015,01-Jun-2015,2,81 WATER,,,
DEDHAM,15-17,CURVE,COLBURN ST,16-Apr-2015,16-Apr-2015,1,15-17 CURVE,,,
DEDHAM,19-21,CURVE,,16-Apr-2015,16-Apr-2015,1,19-21 CURVE,,,
NEW BEDFORD,30,CALUMET,,16-Apr-2015,16-Apr-2015,2,30 CALUMET,,,
NEW BEDFORD,203,BELLEVILLE,,16-Apr-2015,16-Apr-2015,1,203 BELLEVILLE,,,
PLYMOUTH,41,SKIPPING STONE,,16-Apr-2015,16-Apr-2015,1,41 SKIPPING STONE,,,
PLYMOUTH,67,OAK,,16-Apr-2015,16-Apr-2015,1,67 OAK,,,
SOMERVILLE,49-51,HOLLAND,WALLACE ST,16-Apr-2015,16-Apr-2015,1,49-51 HOLLAND,,,
WESTBOROUGH,310,TURNPIKE,,16-Apr-2015,16-Apr-2015,1,310 TURNPIKE,,,
NEEDHAM,161,MELROSE,,16-Apr-2015,17-Apr-2015,2,161 MELROSE,,,
GRAFTON,,VINCENT,,17-Apr-2015,17-Apr-2015,1,VINCENT,,,
MARLBORO,31-33,WASHINGTON,,17-Apr-2015,17-Apr-2015,1,31-33 WASHINGTON,,,
WEST BOYLSTON,,KINGS MOUNTAIN,@ MAPLE ST,17-Apr-2015,17-Apr-2015,1,KINGS MOUNTAIN,,,
WORCESTER,38,HARRINGTON,HAMILTON ST,17-Apr-2015,17-Apr-2015,1,38 HARRINGTON,,,
WORCESTER,38,HARRINGTON,,17-Apr-2015,17-Apr-2015,1,38 HARRINGTON,,,
FRAMINGHAM,770-792,WATER,,17-Apr-2015,21-Apr-2015,2,770-792 WATER,,,
NEW BEDFORD,881,TERRY,,17-Apr-2015,19-Jun-2015,2,881 TERRY,,,
CAMBRIDGE,200-212,CHARLES,SIXTH ST,18-Apr-2015,18-Apr-2015,1,200-212 CHARLES,,,
MILLBURY,105-107,WEST MAIN,BURBANK ST,18-Apr-2015,18-Apr-2015,1,105-107 WEST MAIN,,,
FRAMINGHAM,44,MANSFIELD,,20-Apr-2015,20-Apr-2015,1,44 MANSFIELD,,,
CAMBRIDGE,115,INMAN,,20-Apr-2015,24-Apr-2015,2,115 INMAN,,,
FRAMINGHAM,19,DUFFETT,,21-Apr-2015,21-Apr-2015,1,19 DUFFETT,,,
HOLLISTON,152,WASHINGTON,,21-Apr-2015,21-Apr-2015,1,152 WASHINGTON,,,
MARLBORO,101,EDINBORO,CHURCH ST,21-Apr-2015,21-Apr-2015,1,101 EDINBORO,,,
NEW BEDFORD,82,ARMOUR,,21-Apr-2015,21-Apr-2015,1,82 ARMOUR,,,
NEW BEDFORD,373,BELLEVILLE,,21-Apr-2015,21-Apr-2015,2,373 BELLEVILLE,,,
SHREWSBURY,11-17,OAKLAND,,21-Apr-2015,23-Apr-2015,2,11-17 OAKLAND,,,
FRAMINGHAM,5-7,VERNON,OAK ST,21-Apr-2015,29-Apr-2015,2,5-7 VERNON,,,
NEW BEDFORD,,ROCKDALE,,21-Apr-2015,05-May-2015,2,ROCKDALE,,,
WORCESTER,,BEECHMONT,@ BANCROFT TOWER RD,21-Apr-2015,11-May-2015,2,BEECHMONT,,,
WESTBOROUGH,54,EAST MAIN,,21-Apr-2015,05-Aug-2015,2,54 EAST MAIN,,,
WORCESTER,,WESTBOROUGH,,21-Apr-2015,01-Sep-2015,2,WESTBOROUGH,,,
AUBURN,3,CLARENDON,,22-Apr-2015,22-Apr-2015,1,3 CLARENDON,,,
DARTMOUTH,207,ROCKDALE,STACKHOUSE ST,22-Apr-2015,22-Apr-2015,2,207 ROCKDALE,,,
MARLBORO,73-85,MILLHAM,DUDLEY ST,22-Apr-2015,22-Apr-2015,1,73-85 MILLHAM,,,
MILFORD,11,MAIN,,22-Apr-2015,22-Apr-2015,1,11 MAIN,,,
NEW BEDFORD,85,WINSOR,,22-Apr-2015,22-Apr-2015,1,85 WINSOR,,,
FRAMINGHAM,,LYMAN,@ CLAUDETTE CIR,22-Apr-2015,24-Apr-2015,2,LYMAN,,,
WESTBOROUGH,38,EAST MAIN,ON PROSPECT ST,22-Apr-2015,10-Jul-2015,2,38 EAST MAIN,,,
WESTBOROUGH,17-25,WEST MAIN,,22-Apr-2015,10-Jul-2015,2,17-25 WEST MAIN,,,
WESTBOROUGH,40,SOUTH,ON COTTAGE ST,22-Apr-2015,05-Aug-2015,2,40 SOUTH,,,
WESTBOROUGH,35,SOUTH,,22-Apr-2015,06-Aug-2015,2,35 SOUTH,,,
MILFORD,133,PURCHASE,,23-Apr-2015,23-Apr-2015,1,133 PURCHASE,,,
NATICK,179,BODEN,GREENLEAF RD,23-Apr-2015,23-Apr-2015,1,179 BODEN,,,
NEW BEDFORD,81,DAVIS,,23-Apr-2015,23-Apr-2015,2,81 DAVIS,,,
NEW BEDFORD,22-24,FELTON,,23-Apr-2015,23-Apr-2015,2,22-24 FELTON,,,
SHREWSBURY,11-17,OAKLAND,,23-Apr-2015,23-Apr-2015,2,11-17 OAKLAND,,,
NEW BEDFORD,163,HOLLY,,23-Apr-2015,22-May-2015,3,163 HOLLY,,,
SOMERVILLE,212,ELM,BOWERS AVE,23-Apr-2015,12-Nov-2015,2,212 ELM,,,
SOMERVILLE,219,ELM,GROVE ST,23-Apr-2015,08-Dec-2015,2,219 ELM,,,
CAMBRIDGE,115,INMAN,,24-Apr-2015,24-Apr-2015,1,115 INMAN,,,
