TOWN,"STREET
NUMBER",STREET NAME,"INTERSECTING
STREET","DATE
CLASSIFIED","DATE
REPAIRED","LEAK
GRADE",Merged addresses,,unrepaired leaks at the start of the year,29
NEW BEDFORD,210,BROOK,HATHAWAY ST,19-Jan-2015,19-Jan-2015,1,210 BROOK,,,
NEW BEDFORD,8,STEPHEN,ROCKDALE AVE,19-Jan-2015,19-Jan-2015,1,8 STEPHEN,,,
SHREWSBURY,564,LAKE,,19-Jan-2015,19-Jan-2015,1,564 LAKE,,,
SOMERVILLE,OPP 282,BEACON,SACRAMENTO ST,19-Jan-2015,22-Jan-2015,2,OPP 282 BEACON,,,
GRAFTON,12,MILLBURY,,19-Jan-2015,23-Jan-2015,2,12 MILLBURY,,,
DARTMOUTH,117,HATHAWAY,SLOCUM ROAD,19-Jan-2015,19-Feb-2015,2,117 HATHAWAY,,,
AUBURN,26,ALPINE,BAY RIDGE RD,20-Jan-2015,20-Jan-2015,1,26 ALPINE,,,
NEW BEDFORD,163,BELLEVILLE,,20-Jan-2015,20-Jan-2015,2,163 BELLEVILLE,,,
NEW BEDFORD,2711,ACUSHNET,DEWEY ST,20-Jan-2015,22-Jan-2015,2,2711 ACUSHNET,,,
DEDHAM,21,ALPENA,,21-Jan-2015,21-Jan-2015,2,21 ALPENA,,,
HUDSON,57,HIGH,,21-Jan-2015,21-Jan-2015,1,57 HIGH,,,
NEW BEDFORD,,CLARK,@ PURCHASE ST,21-Jan-2015,21-Jan-2015,2,CLARK,,,
NEW BEDFORD,,MAPLE,@ ROUNDS ST,21-Jan-2015,21-Jan-2015,2,MAPLE,,,
NEW BEDFORD,572,ROCKDALE,,21-Jan-2015,21-Jan-2015,2,572 ROCKDALE,,,
WORCESTER,,DORCHESTER,@ PLANE ST,21-Jan-2015,21-Jan-2015,1,DORCHESTER,,,
ACUSHNET,45,PORTER,,21-Jan-2015,22-Jan-2015,2,45 PORTER,,,
FRAMINGHAM,329,SINGLETARY,JODIE RD,21-Jan-2015,23-Jan-2015,2,329 SINGLETARY,,,
NEW BEDFORD,73,BRANSCOMB,CONDUIT ST,21-Jan-2015,23-Feb-2015,2,73 BRANSCOMB,,,
SOMERVILLE,47-49,PARKDALE,LEWIS ST,21-Jan-2015,29-Jun-2015,2,47-49 PARKDALE,,,
CAMBRIDGE,201-203,HOLDEN,,22-Jan-2015,22-Jan-2015,1,201-203 HOLDEN,,,
FAIRHAVEN,,AKIN,@ HUTTLESTON AVE,22-Jan-2015,22-Jan-2015,2,AKIN,,,
HYDE PARK,14,FORESTVALE,,22-Jan-2015,22-Jan-2015,2,14 FORESTVALE,,,
MILFORD,26,TRINITY,,22-Jan-2015,22-Jan-2015,1,26 TRINITY,,,
NEW BEDFORD,189,MERRIMAC,,22-Jan-2015,22-Jan-2015,1,189 MERRIMAC,,,
NEW BEDFORD,189,MERRIMAC,,22-Jan-2015,22-Jan-2015,2,189 MERRIMAC,,,
WORCESTER,91,TARRYTOWN,MOWER/SUSSEX,22-Jan-2015,22-Jan-2015,1,91 TARRYTOWN,,,
HOLLISTON,730,NORFOLK,,22-Jan-2015,23-Jan-2015,2,730 NORFOLK,,,
MARLBORO,344,EAST BOSTON POST,VILLAGE DR,22-Jan-2015,23-Jan-2015,2,344 EAST BOSTON POST,,,
PLYMOUTH,239,WATER,CASWELL LN,23-Jan-2015,23-Jan-2015,1,239 WATER,,,
MILFORD,9,JOHN,FREEDOM ST,23-Jan-2015,30-Jan-2015,2,9 JOHN,,,
FAIRHAVEN,51,HACKER,SEBEC ST,23-Jan-2015,04-Feb-2015,2,51 HACKER,,,
DARTMOUTH,3,TRADEWIND,WILSON ST,23-Jan-2015,12-Feb-2015,2,3 TRADEWIND,,,
NEEDHAM,,STEVENS,@ HARRIS AVE,23-Jan-2015,09-Mar-2015,2,STEVENS,,,
KINGSTON,3,MONTCLAIR,ST. FRANCIS AVE,23-Jan-2015,12-Mar-2015,2,3 MONTCLAIR,,,
HYDE PARK,1717,HYDE PARK,MILTON ST,23-Jan-2015,02-Apr-2015,2,1717 HYDE PARK,,,
CAMBRIDGE,61-63,FAYERWEATHER,,24-Jan-2015,24-Jan-2015,1,61-63 FAYERWEATHER,,,
NORTHBORO,28,WHITNEY,,24-Jan-2015,24-Jan-2015,1,28 WHITNEY,,,
ASHLAND,379,AMERICA,,24-Jan-2015,04-Feb-2015,2,379 AMERICA,,,
WORCESTER,1093,WEST BOYLSTON,,25-Jan-2015,26-Jan-2015,1,1093 WEST BOYLSTON,,,
MILFORD,36,SCHOOL,@ SPRUCE ST,25-Jan-2015,04-Mar-2015,2,36 SCHOOL,,,
NEW BEDFORD,87,PLYMOUTH,ROCKDALE AVE,25-Jan-2015,04-Jun-2015,2,87 PLYMOUTH,,,
SOMERVILLE,,KIDDER,@ HIGHLAND RD,26-Jan-2015,26-Jan-2015,1,KIDDER,,,
WORCESTER,70-72,HAMILTON,ALMONT AVE,26-Jan-2015,26-Jan-2015,1,70-72 HAMILTON,,,
WORCESTER,1093,WEST BOYLSTON,,26-Jan-2015,26-Jan-2015,1,1093 WEST BOYLSTON,,,
WORCESTER,150,GROVE,LANCASTER ST,26-Jan-2015,13-Feb-2015,2,150 GROVE,,,
DARTMOUTH,10,ASHLEY,ROGERS ST,26-Jan-2015,18-Feb-2015,2,10 ASHLEY,,,
WESTWOOD,,PHILLIPS BROOKS,DOWNEY ST,26-Jan-2015,25-Feb-2015,2,PHILLIPS BROOKS,,,
FRAMINGHAM,226,BELKNAP,MILL ST,27-Jan-2015,27-Jan-2015,1,226 BELKNAP,,,
HOLLISTON,48,ADAM WHEELER,,28-Jan-2015,28-Jan-2015,2,48 ADAM WHEELER,,,
WORCESTER,32,IRVING,,28-Jan-2015,28-Jan-2015,1,32 IRVING,,,
DEDHAM,83,AMES,,28-Jan-2015,29-Jan-2015,2,83 AMES,,,
HYDE PARK,28,ARLINGTON,PIERCE ST,29-Jan-2015,29-Jan-2015,1,28 ARLINGTON,,,
MARLBORO,13,VALS,,29-Jan-2015,29-Jan-2015,2,13 VALS,,,
NATICK,13,STRATFORD,,29-Jan-2015,29-Jan-2015,1,13 STRATFORD,,,
DARTMOUTH,26,MIDDLE,BRIDGE ST,29-Jan-2015,04-Feb-2015,2,26 MIDDLE,,,
NEW BEDFORD,982,HILLCREST,RIDGEWOOD RD,29-Jan-2015,18-Feb-2015,2,982 HILLCREST,,,
FRAMINGHAM,151,EDGEWATER,BEXLEY RD,29-Jan-2015,03-Mar-2015,2,151 EDGEWATER,,,
FRAMINGHAM,79,BEACON,,30-Jan-2015,30-Jan-2015,1,79 BEACON,,,
NORTHBRIDGE,46,DELMAR,,30-Jan-2015,30-Jan-2015,1,46 DELMAR,,,
HYDE PARK,309,WOOD,,30-Jan-2015,12-Feb-2015,2,309 WOOD,,,
SOMERVILLE,787,BROADWAY,WARNER ST,30-Jan-2015,24-Mar-2015,2,787 BROADWAY,,,
ASHLAND,108,WAVERLY,,30-Jan-2015,01-Apr-2015,2,108 WAVERLY,,,
ASHLAND,13,METROPOLITAN,,31-Jan-2015,31-Jan-2015,1,13 METROPOLITAN,,,
WORCESTER,121,PLANTATION,CLARENDON ST,31-Jan-2015,09-Mar-2015,2,121 PLANTATION,,,
WORCESTER,38-40,MINTHORNE,CLIVE ST,01-Feb-2015,01-Feb-2015,1,38-40 MINTHORNE,,,
WORCESTER,,MURRAY,@ DALE ST,02-Feb-2015,02-Feb-2015,1,MURRAY,,,
FRAMINGHAM,244,PLEASANT,,03-Feb-2015,03-Feb-2015,1,244 PLEASANT,,,
MILFORD,86,HIGHLAND,,03-Feb-2015,03-Feb-2015,2,86 HIGHLAND,,,
SOMERVILLE,58,DAY,HERBERT ST,03-Feb-2015,03-Feb-2015,1,58 DAY,,,
WORCESTER,7,JUDSON,,03-Feb-2015,03-Feb-2015,1,7 JUDSON,,,
NATICK,35,DAVIS-BROOK,WOODLAND RD,03-Feb-2015,17-Mar-2015,2,35 DAVIS-BROOK,,,
CAMBRIDGE,,WALDEN,@ MASS AVE,04-Feb-2015,04-Feb-2015,1,WALDEN,,,
FRAMINGHAM,72A,SECOND,BEAVER PARK TER,04-Feb-2015,04-Feb-2015,1,72A SECOND,,,
FRAMINGHAM,18,MAIN,GRANITE ST,04-Feb-2015,04-Feb-2015,1,18 MAIN,,,
SOMERVILLE,58,DAY,HERBERT ST,04-Feb-2015,04-Feb-2015,1,58 DAY,,,
WORCESTER,1,NEW BOND,W. BOYLSTON ST,04-Feb-2015,04-Feb-2015,1,1 NEW BOND,,,
NEEDHAM,1480,CENTRAL,MARK TREE RD,04-Feb-2015,18-Feb-2015,2,1480 CENTRAL,,,
CAMBRIDGE,41,WINTHROP,DUNSTER ST,05-Feb-2015,05-Feb-2015,1,41 WINTHROP,,,
SOMERVILLE,,DAY,HERBERT ST,05-Feb-2015,05-Feb-2015,1,DAY,,,
