TOWN,ADDRESS,INTERSECTING STREET,DATE CLASSIFIED,LEAK GRADE,unrepaired leaks at the start of the year,2629
NEEDHAM,WEST,@ ELIOT RD,15-Nov-2000,3,,
ROCHESTER,4 TABER,,13-Sep-2001,3,,
NEW BEDFORD,1129 JOYCE,,31-May-2002,3,,
HYDE PARK,45 COMO,,20-Jun-2005,3,,
WORCESTER,11 HADWEN,,21-Jun-2005,3,,
WESTWOOD,77 PARKER,,27-Jul-2005,3,,
WESTWOOD,251-253 WASHINGTON,,28-Jul-2005,3,,
FRAMINGHAM,71 WILSON,,09-Aug-2005,3,,
FAIRHAVEN,295 MAIN,,28-Oct-2005,3,,
WORCESTER,5 LYFORD,,15-Jul-2008,3,,
FRAMINGHAM,334 SALEM-END,,28-Jan-2010,3,,
FRAMINGHAM,441 SALEM-END,,12-Feb-2010,3,,
WESTWOOD,436 WASHINGTON,,23-Apr-2010,3,,
FRAMINGHAM,324 WINTER,,10-May-2010,3,,
DEDHAM,53 SAVIN,,17-May-2010,3,,
DEDHAM,87 ROSEMARY,,30-Jun-2010,3,,
DEDHAM,62 NEEDHAM,,31-Aug-2010,3,,
FRAMINGHAM,CONCORD,@ ABERDEEN ROAD,17-Sep-2010,3,,
FRAMINGHAM,550 WINTER,,21-Sep-2010,3,,
NEEDHAM,1191 GREENDALE,,07-Oct-2010,3,,
NEEDHAM,1711 CENTRAL,,18-Nov-2010,3,,
FRAMINGHAM,14 WELD,,19-Nov-2010,3,,
NEEDHAM,57 MELROSE,,29-Nov-2010,3,,
NEEDHAM,67 GREEN,,01-Dec-2010,3,,
DARTMOUTH,142 STATE,,04-Mar-2011,3,,
GRAFTON,6 WORCESTER,,21-Mar-2011,3,,
MILFORD,28 WEST,,24-Mar-2011,3,,
FRAMINGHAM,661 COCHITUATE,,28-Mar-2011,3,,
FRAMINGHAM,100 WORCESTER,,04-Apr-2011,3,,
CAMBRIDGE,113 SECOND,,22-Apr-2011,3,,
NEW BEDFORD,198 ALLEN,,01-Jun-2011,3,,
WORCESTER,3 IMPERIAL,,01-Jun-2011,3,,
NATICK,12 OXBOW,,22-Jul-2011,3,,
PLYMOUTH,190 VIKING,,16-Aug-2011,3,,
HOPKINTON,17-19 THAYER HEIGHTS,,21-Sep-2011,3,,
NEEDHAM,1200 GREAT-PLAIN,,14-Oct-2011,3,,
NEEDHAM,1200 GREAT-PLAIN,,14-Oct-2011,3,,
FAIRHAVEN,PRINCE,,28-Oct-2011,3,,
FRAMINGHAM,25 FOSTER,,28-Oct-2011,3,,
SHREWSBURY,495 HARTFORD,,28-Oct-2011,3,,
MARLBORO,81 ESSEX,,30-Dec-2011,3,,
NEEDHAM,100 CABOT,,02-Mar-2012,3,,
GRAFTON,198 WORCESTER,,15-Mar-2012,3,,
NATICK,1245 WORCESTER,,27-Mar-2012,3,,
NEEDHAM,MARKLEE,@ ALFRETON ROAD,28-Mar-2012,3,,
WESTWOOD,75 PROVIDENCE,,20-Apr-2012,3,,
FRAMINGHAM,38 WESTGATE,,24-Apr-2012,3,,
FRAMINGHAM,40 WESTGATE,,24-Apr-2012,3,,
CAMBRIDGE,351 PEARL,,26-Apr-2012,3,,
FRAMINGHAM,35 VAILLENCOURT,,26-Apr-2012,3,,
FRAMINGHAM,8 VIGUE,,01-May-2012,3,,
CAMBRIDGE,36 TREMONT,,04-May-2012,3,,
GRAFTON,143 LORDVALE,,08-May-2012,3,,
FRAMINGHAM,4 ALAN,,11-May-2012,3,,
FRAMINGHAM,15 BRIDLE-PATH,,11-May-2012,3,,
FRAMINGHAM,4 LOMAS,,15-May-2012,3,,
FRAMINGHAM,23 MONTGOMERY,,15-May-2012,3,,
GRAFTON,9 ELIZABETH,,15-May-2012,3,,
GRAFTON,3 WILLIAM,,15-May-2012,3,,
FRAMINGHAM,172 LOCKLAND,,16-May-2012,3,,
FAIRHAVEN,3 HAMLET,,12-Jun-2012,3,,
GRAFTON,5 HARDING,,14-Jun-2012,3,,
FRAMINGHAM,88 DAVIDSON,,22-Jun-2012,3,,
KINGSTON,146 PEMBROKE,,27-Jun-2012,3,,
KINGSTON,2 PINE,,27-Jun-2012,3,,
FRAMINGHAM,23 LOWE,,28-Jun-2012,3,,
FRAMINGHAM,1139 CONCORD,,03-Jul-2012,3,,
FRAMINGHAM,7 MAGNOLIA,,05-Jul-2012,3,,
FRAMINGHAM,586 PLEASANT,,10-Jul-2012,3,,
SOMERVILLE,22 MADISON,,13-Jul-2012,3,,
FRAMINGHAM,11 SURRO,,16-Jul-2012,3,,
SOMERVILLE,18 LAUREL,,17-Jul-2012,3,,
FRAMINGHAM,1094 WORCESTER,,18-Jul-2012,3,,
FRAMINGHAM,14 JUNIPER,,19-Jul-2012,3,,
NEW BEDFORD,123 BEDFORD,,13-Aug-2012,3,,
WORCESTER,7 MARSTON,,14-Aug-2012,3,,
SOMERVILLE,6 IVALOO,,20-Aug-2012,3,,
FRAMINGHAM,19 HARRISON,,30-Aug-2012,3,,
NEW BEDFORD,950 KINGS,,31-Oct-2012,3,,
BOLTON,12 WOOBLEY,,06-Dec-2012,3,,
WESTWOOD,253 WASHINGTON,,06-Mar-2013,3,,
FRAMINGHAM,68 WATER,,25-Mar-2013,3,,
NORTHBRIDGE,2365 PROVIDENCE,,08-Apr-2013,3,,
DARTMOUTH,401 STATE,,11-Apr-2013,3,,
CAMBRIDGE,299 CONCORD,,12-Apr-2013,3,,
WORCESTER,CHANDLER,,26-Apr-2013,3,,
MILLBURY,32 SULLIVAN,,29-Apr-2013,3,,
MILFORD,185 E-MAIN,,08-May-2013,3,,
FRAMINGHAM,332 IRVING,,09-May-2013,3,,
DEDHAM,39 CHICKERING,,13-May-2013,3,,
DEDHAM,CHICKERING,,13-May-2013,3,,
DEDHAM,12-14 CHURCH,,14-May-2013,3,,
WORCESTER,108 ELM,,14-May-2013,3,,
WORCESTER,70 ELM,,14-May-2013,3,,
WORCESTER,76 ELM,,14-May-2013,3,,
DEDHAM,178 COLBURN,,20-May-2013,3,,
DEDHAM,33 CHICKERING,,30-May-2013,3,,
NEW BEDFORD,SUMMER,,03-Jun-2013,3,,
ASHLAND,200 HOMER,,05-Jun-2013,3,,
WORCESTER,25 HUNNEWELL,,13-Jun-2013,3,,
CAMBRIDGE,57 OTIS,,09-Jul-2013,3,,
FAIRHAVEN,41 HACKER,,16-Jul-2013,3,,
SHREWSBURY,9 COLONIAL,,18-Jul-2013,3,,
CAMBRIDGE,90 SIXTH,,24-Jul-2013,3,,
FAIRHAVEN,OPP 3 PLEASANT,,25-Jul-2013,3,,
MARION,746 MILL,,25-Jul-2013,3,,
HYDE PARK,1493 RIVER,,05-Aug-2013,3,,
HUDSON,10 RICE,,20-Aug-2013,3,,
FRAMINGHAM,238 BEACON,,27-Aug-2013,3,,
WORCESTER,MULBERRY,,27-Aug-2013,3,,
FRAMINGHAM,103B BEAVER-TERRACE,,28-Aug-2013,3,,
FRAMINGHAM,73 A&B BEAVER-TERRACE,,28-Aug-2013,3,,
FRAMINGHAM,7 BISHOP,,29-Aug-2013,3,,
WORCESTER,104 MILL,,29-Aug-2013,3,,
HYDE PARK,103 WILLIAM,,30-Aug-2013,3,,
NEW BEDFORD,PENNIMAN,@ MYRTLE STREET,18-Sep-2013,3,,
FRAMINGHAM,75 JOSEPH,,07-Oct-2013,3,,
FRAMINGHAM,18 LAVERDURE,,07-Oct-2013,3,,
FRAMINGHAM,LARIVIERE,,08-Oct-2013,3,,
FRAMINGHAM,4 LINWOOD,,08-Oct-2013,3,,
FRAMINGHAM,1 MARBLE,,09-Oct-2013,3,,
FRAMINGHAM,75 MAYNARD,,09-Oct-2013,3,,
FRAMINGHAM,47 MELLEN,,10-Oct-2013,3,,
FRAMINGHAM,12 NORTH,,10-Oct-2013,3,,
MARLBORO,46 SUMMIT,,10-Oct-2013,3,,
FRAMINGHAM,33 PARKER,,11-Oct-2013,3,,
BOYLSTON,260 SHREWSBURY,,15-Oct-2013,3,,
BOYLSTON,50 SHREWSBURY,,15-Oct-2013,3,,
FRAMINGHAM,16 RUSSELL,,15-Oct-2013,3,,
FRAMINGHAM,700 SALEM-END,,15-Oct-2013,3,,
FRAMINGHAM,33 SUMMER,,17-Oct-2013,3,,
FRAMINGHAM,120 WARREN,,18-Oct-2013,3,,
FRAMINGHAM,140 WARREN,,18-Oct-2013,3,,
SHREWSBURY,HOLDEN,,18-Oct-2013,3,,
DARTMOUTH,TRIPP,,21-Oct-2013,3,,
FRAMINGHAM,60 WILSON,,21-Oct-2013,3,,
WORCESTER,144 BEACON,,21-Oct-2013,3,,
FRAMINGHAM,3 WINTER,,24-Oct-2013,3,,
DARTMOUTH,110 PROSPECT,,29-Oct-2013,3,,
DARTMOUTH,61 PROSPECT,,29-Oct-2013,3,,
DARTMOUTH,80 PROSPECT,,29-Oct-2013,3,,
WORCESTER,19-21 QUEEN,,31-Oct-2013,3,,
DARTMOUTH,626 SLOCUM,,04-Nov-2013,3,,
WORCESTER,40 MAY,,04-Nov-2013,3,,
CAMBRIDGE,75-79 MOUNT AUBURN,,08-Nov-2013,3,,
DARTMOUTH,391 STATE,,08-Nov-2013,3,,
DARTMOUTH,STATE,,13-Nov-2013,3,,
DARTMOUTH,411 STATE,,14-Nov-2013,3,,
HUDSON,429 MAIN,,14-Nov-2013,3,,
FRAMINGHAM,863 CENTRAL,,15-Nov-2013,3,,
SOMERVILLE,401 MEDFORD,,15-Nov-2013,3,,
WORCESTER,125 VERNON,,20-Nov-2013,3,,
HYDE PARK,READVILLE,,22-Nov-2013,3,,
WESTWOOD,PHILLIPS-BROOK,,25-Nov-2013,3,,
WESTWOOD,179 PORTER,,25-Nov-2013,3,,
WESTWOOD,128 FEARING,,26-Nov-2013,3,,
WESTWOOD,FEARING,,26-Nov-2013,3,,
WESTWOOD,6 HAWKTREE,,26-Nov-2013,3,,
WESTWOOD,265 WASHINGTON,,26-Nov-2013,3,,
DOVER,2 DOVER,,27-Nov-2013,3,,
WESTWOOD,27 LORING,,27-Nov-2013,3,,
WESTWOOD,16 WESTBROOK,,27-Nov-2013,3,,
DARTMOUTH,34 COVE,,02-Dec-2013,3,,
HYDE PARK,28 THOMPSON,,03-Dec-2013,3,,
CAMBRIDGE,GARDEN,,05-Dec-2013,3,,
HYDE PARK,1084 TRUMAN,,09-Dec-2013,3,,
HYDE PARK,TRUMAN,,09-Dec-2013,3,,
HYDE PARK,22 WASHINGTON,,10-Dec-2013,3,,
HYDE PARK,315-323 WEST,,10-Dec-2013,3,,
NATICK,PLEASANT,@ MILL LANE,10-Dec-2013,3,,
NEEDHAM,954 WEBSTER,,12-Dec-2013,3,,
NEEDHAM,HIGHLAND,,19-Dec-2013,3,,
CAMBRIDGE,BRATTLE,,14-Jan-2014,3,,
DARTMOUTH,13 MISHAWUM,,21-Jan-2014,3,,
FAIRHAVEN,10 HAMLET,,25-Feb-2014,3,,
FRAMINGHAM,40-47 AGNES,,19-Mar-2014,3,,
ASHLAND,63-67 HIGLEY,,25-Mar-2014,3,,
DARTMOUTH,2 SOL-E-MAR,,25-Mar-2014,3,,
WORCESTER,69 ERNEST,,26-Mar-2014,3,,
NORTHBORO,399 WHITNEY,,28-Mar-2014,3,,
SOMERVILLE,34 BOW,,01-Apr-2014,3,,
HUDSON,FORT-MEADOW,@ CHAMPLAIN DRIVE,03-Apr-2014,3,,
AUBURN,101 SOUTHBRIDGE,,07-Apr-2014,3,,
AUBURN,65 SOUTHBRIDGE,,07-Apr-2014,3,,
FRAMINGHAM,596 WAVERLY,,07-Apr-2014,3,,
HOLDEN,176 RESERVOIR,,07-Apr-2014,3,,
NEW BEDFORD,KEMPTON,@ BUTTONWOOD STREET,07-Apr-2014,3,,
NEW BEDFORD,KEMPTON,@ ILLION STREET,07-Apr-2014,3,,
WORCESTER,14 W-BOYLSTON,,07-Apr-2014,3,,
HYDE PARK,ENNEKING,,08-Apr-2014,3,,
ACUSHNET,177 S-MAIN,,09-Apr-2014,3,,
AUBURN,376 SOUTHBRIDGE,,09-Apr-2014,3,,
HYDE PARK,18-20 RALDNE,,09-Apr-2014,3,,
AUBURN,385 SOUTHBRIDGE,,10-Apr-2014,3,,
HYDE PARK,19-21 SILVIA,,10-Apr-2014,3,,
FRAMINGHAM,492 CONCORD,,11-Apr-2014,3,,
FRAMINGHAM,541 CONCORD,,11-Apr-2014,3,,
HYDE PARK,15 FARRIN,,11-Apr-2014,3,,
HYDE PARK,35 SANFORD,,11-Apr-2014,3,,
HYDE PARK,39 SANFORD,,11-Apr-2014,3,,
HYDE PARK,55 SAFFORD,@ ERNEST AVENUE,11-Apr-2014,3,,
WEST BOYLSTON,20 HARTWELL,,14-Apr-2014,3,,
WORCESTER,HASTINGS,@ W. BOYLSTON STREET,14-Apr-2014,3,,
MILLBURY,29 NORTH MAIN,,15-Apr-2014,3,,
CAMBRIDGE,2512 MASSACHUSETTS,,16-Apr-2014,3,,
HYDE PARK,204 GARFIELD,,16-Apr-2014,3,,
MILLBURY,70 WORCESTER,,16-Apr-2014,3,,
SOMERVILLE,BROADWAY,@ BOSTON AVENUE,17-Apr-2014,3,,
MATTAPAN,94 TAUNTON,,18-Apr-2014,3,,
MILLBURY,WHEELOCK,@ 238 MILLBURY AVENUE,18-Apr-2014,3,,
WORCESTER,172 LINCOLN,,18-Apr-2014,3,,
FRAMINGHAM,980 PLEASANT,,22-Apr-2014,3,,
FRAMINGHAM,160 COCHITUATE,,24-Apr-2014,3,,
WEST BOYLSTON,78 PIERCE,,24-Apr-2014,3,,
HYDE PARK,5 BEECHMONT,,25-Apr-2014,3,,
CAMBRIDGE,2222 MASSACHUSETTS,,28-Apr-2014,3,,
WORCESTER,GRAFTON,@ MASSASOIT ROAD,28-Apr-2014,3,,
WORCESTER,GRAFTON,@ HOUGHTON STREET,28-Apr-2014,3,,
WORCESTER,716 GRAFTON,,29-Apr-2014,3,,
WORCESTER,6 SALFORD,,29-Apr-2014,3,,
WORCESTER,QUINAPOXET,,30-Apr-2014,3,,
WORCESTER,22 ROLLINSON,,30-Apr-2014,3,,
WORCESTER,9 VARNUM,,30-Apr-2014,3,,
WORCESTER,WAYNE,,30-Apr-2014,3,,
WORCESTER,3 WYOLA,,30-Apr-2014,3,,
DEDHAM,36 RIVER,,01-May-2014,3,,
HYDE PARK,51 COMO,,01-May-2014,3,,
HYDE PARK,54 COMO,,01-May-2014,3,,
MILFORD,61 MAIN,,01-May-2014,3,,
WORCESTER,187 ST-NICHOLAS,,01-May-2014,3,,
WORCESTER,142 WILDWOOD,,01-May-2014,3,,
WORCESTER,WILDWOOD,,01-May-2014,3,,
WORCESTER,WOODLAND,,01-May-2014,3,,
HYDE PARK,702-706 TRUMAN,,02-May-2014,3,,
NEW BEDFORD,373 BELLEVILLE,,02-May-2014,3,,
NEW BEDFORD,395 BELLEVILLE,,02-May-2014,3,,
WORCESTER,5 ST-NICHOLAS,,03-May-2014,3,,
MILFORD,203 MAIN,,05-May-2014,3,,
PLYMOUTH,37 PLEASANT,,05-May-2014,3,,
DEDHAM,50 ORCHARD,,06-May-2014,3,,
NEW BEDFORD,99 WILLIS,,06-May-2014,3,,
WEST BOYLSTON,96 TEMPLE,,06-May-2014,3,,
WEST BOYLSTON,250 WORCESTER,,06-May-2014,3,,
WORCESTER,124 MILLBURY,,06-May-2014,3,,
WORCESTER,48 MILLBURY,,06-May-2014,3,,
NATICK,829-881 WORCESTER,,07-May-2014,3,,
NEW BEDFORD,POPLAR,,07-May-2014,3,,
WEST BOYLSTON,111 WORCESTER,,07-May-2014,3,,
FAIRHAVEN,21-22 HAMLET,,08-May-2014,3,,
NATICK,579-603 WORCESTER,,08-May-2014,3,,
NATICK,679 WORCESTER,,08-May-2014,3,,
NEW BEDFORD,66 BIRCHWOOD,,08-May-2014,3,,
NEW BEDFORD,54 GREENBRIER,,08-May-2014,3,,
NEW BEDFORD,895 HILLCREST,,08-May-2014,3,,
NEW BEDFORD,941 HILLCREST,,08-May-2014,3,,
NEW BEDFORD,955 HILLCREST,,08-May-2014,3,,
NEW BEDFORD,18 LONGVIEW,,08-May-2014,3,,
NEW BEDFORD,25 MAXINE,,08-May-2014,3,,
NEW BEDFORD,701 PINE-HILL,,08-May-2014,3,,
NEW BEDFORD,709 PINE-HILL,,08-May-2014,3,,
NEW BEDFORD,821 PINE-HILL,,08-May-2014,3,,
NEW BEDFORD,918 PINE-HILL,,08-May-2014,3,,
WEST BOYLSTON,119 CENTRAL,,08-May-2014,3,,
WEST BOYLSTON,43 WORCESTER,,08-May-2014,3,,
WORCESTER,64 GREEN,,08-May-2014,3,,
WORCESTER,LAKEWOOD,,08-May-2014,3,,
NEW BEDFORD,3660 ACUSHNET,,09-May-2014,3,,
NEW BEDFORD,104 BISMARK,,09-May-2014,3,,
NEW BEDFORD,1067 CHURCHILL,,09-May-2014,3,,
NEW BEDFORD,CHURCHILL,,09-May-2014,3,,
WORCESTER,1052 PLEASANT,,09-May-2014,3,,
FRAMINGHAM,1008 PLEASANT,,10-May-2014,3,,
WORCESTER,4 REGENT,,12-May-2014,3,,
WORCESTER,1 RICH,,12-May-2014,3,,
WORCESTER,80 RICHMOND,,12-May-2014,3,,
WORCESTER,16 WABASH,,12-May-2014,3,,
WORCESTER,20 WABASH,,12-May-2014,3,,
WORCESTER,26 WABASH,,12-May-2014,3,,
NEW BEDFORD,NEAR 59 TARKILN,,13-May-2014,3,,
PLYMOUTH,215 CARVER,,13-May-2014,3,,
WEST BOYLSTON,6 CHURCH,,13-May-2014,3,,
WORCESTER,106 KENBERMA,,13-May-2014,3,,
WORCESTER,385 PLEASANT,,13-May-2014,3,,
WORCESTER,72 PLEASANT,,13-May-2014,3,,
WORCESTER,PLEASANT,@ WINSLOW STREET,13-May-2014,3,,
CAMBRIDGE,42 MAPLE,,14-May-2014,3,,
CAMBRIDGE,2294 MASSACHUSETTS,,14-May-2014,3,,
NEW BEDFORD,1117 CHAFFEE,,14-May-2014,3,,
NEW BEDFORD,DEWEY,,14-May-2014,3,,
NEW BEDFORD,1129 JOYCE,,14-May-2014,3,,
NEW BEDFORD,902 TERRY,,14-May-2014,3,,
NEW BEDFORD,1101 VICTORIA,,14-May-2014,3,,
WORCESTER,60 LOXWOOD,,14-May-2014,3,,
DEDHAM,36 BELKNAP,,15-May-2014,3,,
NEW BEDFORD,119 LOWELL,,15-May-2014,3,,
NEW BEDFORD,53 MARY,,15-May-2014,3,,
NEW BEDFORD,69 MARY,,15-May-2014,3,,
NEW BEDFORD,332 PRESCOTT,,15-May-2014,3,,
NEW BEDFORD,551 TARKILN-HILL,,15-May-2014,3,,
NEW BEDFORD,TARKILN-HILL,,15-May-2014,3,,
NEW BEDFORD,TARKILN-HILL,,15-May-2014,3,,
NEW BEDFORD,TARKILN-HILL,,15-May-2014,3,,
NEW BEDFORD,WORCESTER,,15-May-2014,3,,
NEW BEDFORD,769 NEW-PLAINVILLE,,16-May-2014,3,,
WEST BOYLSTON,5 BOWEN,,16-May-2014,3,,
NEW BEDFORD,28 EDNA,,19-May-2014,3,,
NEW BEDFORD,118 IRVINGTON,,19-May-2014,3,,
NEW BEDFORD,IRVINGTON,,19-May-2014,3,,
NEW BEDFORD,IRVINGTON,,19-May-2014,3,,
NEW BEDFORD,41 MAYWOOD,,19-May-2014,3,,
NEW BEDFORD,239 PRINCETON,,19-May-2014,3,,
NEW BEDFORD,366 CONDUIT,,20-May-2014,3,,
NEW BEDFORD,45 ETHEL,,20-May-2014,3,,
NEW BEDFORD,963 HOMESTEAD,,20-May-2014,3,,
NEW BEDFORD,997 LLOYD,,20-May-2014,3,,
NEW BEDFORD,LLOYD,,20-May-2014,3,,
NEW BEDFORD,975 STRATFORD,,20-May-2014,3,,
NEW BEDFORD,981 STRATFORD,,20-May-2014,3,,
NORTHBRIDGE,2208 PROVIDENCE,,20-May-2014,3,,
HYDE PARK,RIVER,@ WOOD AVENUE,21-May-2014,3,,
NEW BEDFORD,878 BELLEVILLE,,21-May-2014,3,,
NEW BEDFORD,900 BELLEVILLE,,21-May-2014,3,,
NEW BEDFORD,906 BELLEVILLE,,21-May-2014,3,,
NEW BEDFORD,BELLEVILLE,,21-May-2014,3,,
NEW BEDFORD,5 BREWSTER,,21-May-2014,3,,
NEW BEDFORD,59 BREWSTER,,21-May-2014,3,,
NEW BEDFORD,BROOKLAWN,,21-May-2014,3,,
NEW BEDFORD,57 SYLVIA,,21-May-2014,3,,
NEW BEDFORD,WOOD,,21-May-2014,3,,
SOMERVILLE,19-21 WOODS,,21-May-2014,3,,
SOMERVILLE,59-61 WOODS,,21-May-2014,3,,
SOMERVILLE,9-11 WOODS,,21-May-2014,3,,
WORCESTER,115 CHANDLER,,21-May-2014,3,,
WORCESTER,CHANDLER,@ QUEEN STREET,21-May-2014,3,,
NEW BEDFORD,744 BELLEVILLE,,22-May-2014,3,,
NEW BEDFORD,786 BELLEVILLE,,22-May-2014,3,,
NEW BEDFORD,BELLEVILLE,@ HOWARD STREET,22-May-2014,3,,
NEW BEDFORD,210-212 BRANSCOMB,,22-May-2014,3,,
NEW BEDFORD,73 BRANSCOMB,,22-May-2014,3,,
NEW BEDFORD,BRANSCOMB,,22-May-2014,3,,
NEW BEDFORD,31-37 COVELL,,22-May-2014,3,,
NEW BEDFORD,88 COVELL,,22-May-2014,3,,
NEW BEDFORD,313 HERSOM,,22-May-2014,3,,
NEW BEDFORD,9 HOLDEN,,22-May-2014,3,,
NEW BEDFORD,313 TARKILN-HILL,,22-May-2014,3,,
NEW BEDFORD,TARKILN-HILL,,22-May-2014,3,,
NEW BEDFORD,TARKILN-HILL,@ CONDUIT STREET,22-May-2014,3,,
NEW BEDFORD,TARKILN-HILL,,22-May-2014,3,,
ASHLAND,217 E-UNION,,23-May-2014,3,,
ASHLAND,10 HIGLEY,,23-May-2014,3,,
ASHLAND,18 HIGLEY,,23-May-2014,3,,
ASHLAND,63 HIGLEY,,23-May-2014,3,,
ASHLAND,166 POND,,23-May-2014,3,,
ASHLAND,51-69 POND,,23-May-2014,3,,
ASHLAND,74 SUMMER,,23-May-2014,3,,
CAMBRIDGE,CONCORD,@ HURON AVENUE,23-May-2014,3,,
HYDE PARK,695 TRUMAN,,23-May-2014,3,,
NEW BEDFORD,107 CENTRAL,,23-May-2014,3,,
NEW BEDFORD,173 CENTRAL,,23-May-2014,3,,
NEW BEDFORD,CENTRAL,,23-May-2014,3,,
NEW BEDFORD,CENTRAL,,23-May-2014,3,,
NEW BEDFORD,250 CHURCH,,23-May-2014,3,,
NEW BEDFORD,CLIFFORD,@ 506 ASHLEY BOULEVARD,23-May-2014,3,,
NEW BEDFORD,149 QUERY,,23-May-2014,3,,
NEW BEDFORD,237 QUERY,,23-May-2014,3,,
NEW BEDFORD,SHAW,,23-May-2014,3,,
WORCESTER,414 CHANDLER,,23-May-2014,3,,
WORCESTER,124 RUSSELL,,23-May-2014,3,,
WORCESTER,128 RUSSELL,,23-May-2014,3,,
WORCESTER,7 ST-ELMO,,23-May-2014,3,,
DARTMOUTH,37 SUFFOLK,,27-May-2014,3,,
DARTMOUTH,48 SUFFOLK,,27-May-2014,3,,
NEW BEDFORD,496 ASHLEY,,27-May-2014,3,,
NEW BEDFORD,ASHLEY,,27-May-2014,3,,
NEW BEDFORD,103 BELLEVILLE,,27-May-2014,3,,
NEW BEDFORD,EUGENIA,,27-May-2014,3,,
NEW BEDFORD,141 HATCH,,27-May-2014,3,,
NEW BEDFORD,HATCH,,27-May-2014,3,,
NEW BEDFORD,95 HATCH,,27-May-2014,3,,
NEW BEDFORD,198 WHITMAN,,27-May-2014,3,,
NEW BEDFORD,201-203 WHITMAN,,27-May-2014,3,,
WORCESTER,CAMBRIDGE,@ SOUTHBRIDGE STREET,27-May-2014,3,,
WORCESTER,26 DERBY,,27-May-2014,3,,
ASHLAND,10 BIRCH-HILL,,28-May-2014,3,,
ASHLAND,CEDAR-HILL,,28-May-2014,3,,
ASHLAND,14 COLUMBUS,,28-May-2014,3,,
ASHLAND,FRUIT,,28-May-2014,3,,
ASHLAND,FRUIT,,28-May-2014,3,,
NEW BEDFORD,404 NASH,,28-May-2014,3,,
NEW BEDFORD,140 PITMAN,,28-May-2014,3,,
SOMERVILLE,15A ELM,,28-May-2014,3,,
SOMERVILLE,20 ELM,,28-May-2014,3,,
WORCESTER,16 JONES,,28-May-2014,3,,
WORCESTER,JONES,@ 32 HEYWOOD STREET,28-May-2014,3,,
WORCESTER,84 LOXWOOD,,28-May-2014,3,,
WORCESTER,39 RIDGEWOOD,,28-May-2014,3,,
WORCESTER,43 RIDGEWOOD,,28-May-2014,3,,
WORCESTER,45 RIDGEWOOD,,28-May-2014,3,,
WORCESTER,42 ROWENA,,28-May-2014,3,,
DARTMOUTH,70 HATHAWAY,,29-May-2014,3,,
DARTMOUTH,88 HATHAWAY,,29-May-2014,3,,
NEW BEDFORD,70 EARLE,,29-May-2014,3,,
NEW BEDFORD,80 EARLE,,29-May-2014,3,,
NEW BEDFORD,HATHAWAY,,29-May-2014,3,,
NEW BEDFORD,43-45 MADEIRA,,29-May-2014,3,,
WORCESTER,248 LINCOLN,,29-May-2014,3,,
NEW BEDFORD,349 BELLEVILLE,,30-May-2014,3,,
NEW BEDFORD,BULLARD,,30-May-2014,3,,
WEST BOYLSTON,173 LANCASTER,,30-May-2014,3,,
WEST BOYLSTON,243 LANCASTER,,30-May-2014,3,,
WORCESTER,112 GROVE,,30-May-2014,3,,
DARTMOUTH,54 BRYANT,,02-Jun-2014,3,,
DARTMOUTH,598 SLOCUM,,02-Jun-2014,3,,
NATICK,SPEEN,@ FRANCES AVENUE,02-Jun-2014,3,,
NEW BEDFORD,5 ROCKDALE,,02-Jun-2014,3,,
NEW BEDFORD,SAWYER,,02-Jun-2014,3,,
ASHLAND,10 MULHALL,,03-Jun-2014,3,,
DARTMOUTH,16 DELANO,,03-Jun-2014,3,,
DARTMOUTH,25 DELANO,,03-Jun-2014,3,,
DARTMOUTH,8 DELANO,,03-Jun-2014,3,,
DARTMOUTH,131 ELM,,03-Jun-2014,3,,
DARTMOUTH,137 ELM,,03-Jun-2014,3,,
DARTMOUTH,165-189 ELM,,03-Jun-2014,3,,
DARTMOUTH,18 ELM,,03-Jun-2014,3,,
DARTMOUTH,263 ELM,,03-Jun-2014,3,,
DARTMOUTH,7 ELM,,03-Jun-2014,3,,
NEW BEDFORD,COUNTY,,03-Jun-2014,3,,
NEW BEDFORD,MYRTLE,,03-Jun-2014,3,,
NEW BEDFORD,689 SUMMER,,03-Jun-2014,3,,
SOMERVILLE,276 SUMMER,,03-Jun-2014,3,,
SOMERVILLE,SUMMER,,03-Jun-2014,3,,
NEW BEDFORD,120 EASTON,,04-Jun-2014,3,,
NEW BEDFORD,228 HIGHLAND,,04-Jun-2014,3,,
NEW BEDFORD,HIGHLAND,@ SAWYER STREET,04-Jun-2014,3,,
NEW BEDFORD,SHAWMUT,,04-Jun-2014,3,,
NEW BEDFORD,SHAWMUT,,04-Jun-2014,3,,
NEW BEDFORD,87 SUTTON,,04-Jun-2014,3,,
NEW BEDFORD,TOPHAM,@ HIGHLAND STREET,04-Jun-2014,3,,
SOMERVILLE,50-52 SPENCER,,04-Jun-2014,3,,
ASHLAND,84 PINEHILL,,05-Jun-2014,3,,
ASHLAND,108 WAVERLY,,05-Jun-2014,3,,
ASHLAND,114 WAVERLY,,05-Jun-2014,3,,
ASHLAND,WAVERLY,,05-Jun-2014,3,,
ASHLAND,WINTER,,05-Jun-2014,3,,
NEW BEDFORD,1 MIDDLE,,05-Jun-2014,3,,
SOMERVILLE,17 BOW-STREET,,05-Jun-2014,3,,
WORCESTER,BECKMAN,,05-Jun-2014,3,,
WORCESTER,42 SEMINOLE,,05-Jun-2014,3,,
