ADDRESS,TOWN,INTERSECTION,ZIP,LAT,LNG,ADDRESS_TYPES,CLASSIFIED,GRADE
WOOD,HOPKINTON,@ WHISPER WAY,,,,,12/15/14,3
2 COOLIDGE,HUDSON,,,,,,12/15/14,3
1062 HIGHLAND,NEEDHAM,,,,,,12/15/14,3
200 HIGHLAND,NEEDHAM,,,,,,12/15/14,3
716 HIGHLAND,NEEDHAM,,,,,,12/15/14,3
760 HIGHLAND,NEEDHAM,,,,,,12/15/14,3
HIGHLAND,NEEDHAM,,,,,,12/15/14,3
43 HORACE,NEEDHAM,,,,,,12/15/14,3
35 LYMAN,WESTBOROUGH,,,,,,12/15/14,3
AIRPORT,WORCESTER,,,,,,12/15/14,3
BANCROFT TOWER,WORCESTER,,,,,,12/15/14,3
165 CANTERBURY,WORCESTER,,,,,,12/15/14,3
CORRINE,WORCESTER,@ GRAFTON ST,,,,,12/15/14,3
138 ENDICOTT,WORCESTER,,,,,,12/15/14,3
586 GRAFTON,WORCESTER,,,,,,12/15/14,3
590 GRAFTON,WORCESTER,,,,,,12/15/14,3
634 GRAFTON,WORCESTER,,,,,,12/15/14,3
636 GRAFTON,WORCESTER,,,,,,12/15/14,3
981 GRAFTON,WORCESTER,,,,,,12/15/14,3
994-1000 GRAFTON,WORCESTER,,,,,,12/15/14,3
GRAFTON,WORCESTER,,,,,,12/15/14,3
HAMILTON,WORCESTER,@ ALMONT AVE,,,,,12/15/14,3
HOLDEN,WORCESTER,,,,,,12/15/14,3
5 RANDOLPH,WORCESTER,,,,,,12/15/14,3
SUNDERLAND,WORCESTER,,,,,,12/15/14,3
18 WESTBOROUGH,WORCESTER,,,,,,12/15/14,3
WESTBOROUGH,WORCESTER,@ ROUTE 20,,,,,12/15/14,3
45 FRANCIS,CAMBRIDGE,,,,,,12/12/14,3
106 HANCOCK,CAMBRIDGE,,,,,,12/12/14,3
20 HOLDEN,CAMBRIDGE,,,,,,12/12/14,3
1493 RIVER,HYDE PARK,,,,,,12/12/14,2
1608 RIVER,HYDE PARK,,,,,,12/12/14,3
970 RIVER,HYDE PARK,,,,,,12/12/14,3
4 FARNUM,WORCESTER,,,,,,12/12/14,3
11 FIRGLADE,WORCESTER,,,,,,12/12/14,3
102-108 GROVE,WORCESTER,,,,,,12/12/14,3
150 GROVE,WORCESTER,,,,,,12/12/14,3
691 GROVE,WORCESTER,,,,,,12/12/14,3
730 GROVE,WORCESTER,,,,,,12/12/14,3
GROVE,WORCESTER,,,,,,12/12/14,3
GROVE,WORCESTER,,,,,,12/12/14,3
OPP 41 HOOPER,WORCESTER,,,,,,12/12/14,3
LAUREL,WORCESTER,,,,,,12/12/14,3
LAUREL,WORCESTER,,,,,,12/12/14,3
MASSASOIT,WORCESTER,@ BRIERWAY DR,,,,,12/12/14,3
214 WEATHERSTONE,WORCESTER,,,,,,12/12/14,3
209 BROADWAY,CAMBRIDGE,,,,,,12/11/14,3
232 BROADWAY,CAMBRIDGE,,,,,,12/11/14,3
235-237 BROADWAY,CAMBRIDGE,,,,,,12/11/14,3
BROADWAY,CAMBRIDGE,,,,,,12/11/14,3
BROADWAY,CAMBRIDGE,,,,,,12/11/14,3
HOLDEN,SHREWSBURY,,,,,,12/11/14,3
HOLDEN,SHREWSBURY,,,,,,12/11/14,3
55 HARTLEY,STOW,,,,,,12/11/14,3
HARLEM,WORCESTER,@ PERRY AVE,,,,,12/11/14,3
19 HAYNES,WORCESTER,,,,,,12/11/14,3
10 KENDIG,WORCESTER,,,,,,12/11/14,3
23 KING,WORCESTER,,,,,,12/11/14,3
100 LAMARTINE,WORCESTER,,,,,,12/11/14,3
LAMARTINE,WORCESTER,,,,,,12/11/14,3
17 LANTERN,WORCESTER,,,,,,12/11/14,3
1-3 LAUREL BROOK,WORCESTER,,,,,,12/11/14,3
26 LAURIER,WORCESTER,,,,,,12/11/14,3
617 LINCOLN,WORCESTER,,,,,,12/11/14,3
108 LONGFELLOW,WORCESTER,,,,,,12/11/14,3
70 LONGFELLOW,WORCESTER,,,,,,12/11/14,3
98 LONGFELLOW,WORCESTER,,,,,,12/11/14,3
31 MAIN,WORCESTER,@ DOWNING ST,,,,,12/11/14,3
TYLER PRENTICE,WORCESTER,,,,,,12/11/14,3
297 BROADWAY,CAMBRIDGE,,,,,,12/10/14,3
BROADWAY,CAMBRIDGE,,,,,,12/10/14,3
BROADWAY,CAMBRIDGE,,,,,,12/10/14,3
518 PLEASANT,FRAMINGHAM,,,,,,12/10/14,3
85-93 SPRING,MARLBORO,,,,,,12/10/14,3
47 ELM,SHREWSBURY,,,,,,12/10/14,3
125 ENDICOTT,WORCESTER,,,,,,12/10/14,3
FOX,WORCESTER,,,,,,12/10/14,3
36 HANCOCK HILL,WORCESTER,,,,,,12/10/14,3
5 HANCOCK HILL,WORCESTER,,,,,,12/10/14,3
144 HEYWOOD,WORCESTER,,,,,,12/10/14,3
HIGH,WORCESTER,,,,,,12/10/14,3
OPP 82 IDALLA,WORCESTER,,,,,,12/10/14,3
1 JACKSON,WORCESTER,,,,,,12/10/14,3
106 KENBERMA,WORCESTER,,,,,,12/10/14,3
136 KENBERMA,WORCESTER,,,,,,12/10/14,3
80 KENBERMA,WORCESTER,,,,,,12/10/14,3
82 KENBERMA,WORCESTER,,,,,,12/10/14,3
94-96 KENBERMA,WORCESTER,,,,,,12/10/14,3
LANCASTER,WORCESTER,,,,,,12/10/14,3
552 MILL,WORCESTER,,,,,,12/10/14,3
1000 MASSACHUSETTS,CAMBRIDGE,,,,,,12/9/14,3
MASSACHUSETTS,CAMBRIDGE,,,,,,12/9/14,3
MASSACHUSETTS,CAMBRIDGE,,,,,,12/9/14,3
MASSACHUSETTS,CAMBRIDGE,,,,,,12/9/14,3
MASSACHUSETTS,CAMBRIDGE,,,,,,12/9/14,3
102-104 PEARL,CAMBRIDGE,,,,,,12/9/14,3
144 PROSPECT,CAMBRIDGE,,,,,,12/9/14,3
CLARKE,MARLBORO,,,,,,12/9/14,3
674 CONCORD,MARLBORO,,,,,,12/9/14,3
53 EVELINA,MARLBORO,,,,,,12/9/14,3
123 FELTON,MARLBORO,,,,,,12/9/14,3
HUDSON,MARLBORO,,,,,,12/9/14,3
24 MAPLEWOOD,MARLBORO,,,,,,12/9/14,3
18 SANDINI,MARLBORO,,,,,,12/9/14,3
123 WEST BOSTON POST,MARLBORO,,,,,,12/9/14,3
46 HOUSATONIC,WORCESTER,,,,,,12/9/14,3
27 IVERNIA,WORCESTER,,,,,,12/9/14,3
IVERNIA,WORCESTER,,,,,,12/9/14,3
OPP 33 JEFFERSON,WORCESTER,,,,,,12/9/14,3
443 LAKE,WORCESTER,,,,,,12/9/14,3
LAKE,WORCESTER,,,,,,12/9/14,3
LAKE,WORCESTER,,,,,,12/9/14,3
LAKE,WORCESTER,,,,,,12/9/14,3
245 HAMPSHIRE,CAMBRIDGE,,,,,,12/8/14,3
HAMPSHIRE,CAMBRIDGE,,,,,,12/8/14,3
HAMPSHIRE,CAMBRIDGE,,,,,,12/8/14,3
55-57 ARSENAL,FRAMINGHAM,,,,,,12/8/14,3
5 AUBURN,FRAMINGHAM,,,,,,12/8/14,3
77 BARBER,FRAMINGHAM,,,,,,12/8/14,3
CURRIER,FRAMINGHAM,,,,,,12/8/14,3
EDWARDS,FRAMINGHAM,,,,,,12/8/14,3
15 FAIRBANKS,FRAMINGHAM,,,,,,12/8/14,3
7 FAIRFIELD,FRAMINGHAM,,,,,,12/8/14,3
23 FOSTER,FRAMINGHAM,,,,,,12/8/14,3
14 GORDON,FRAMINGHAM,,,,,,12/8/14,3
5 HASTINGS,FRAMINGHAM,,,,,,12/8/14,3
6 HASTINGS,FRAMINGHAM,,,,,,12/8/14,3
60 HASTINGS,FRAMINGHAM,,,,,,12/8/14,3
8 HASTINGS,FRAMINGHAM,,,,,,12/8/14,3
214 WATER,FRAMINGHAM,,,,,,12/8/14,3
51 LINCOLN,HYDE PARK,,,,,,12/8/14,3
14 LODGEHILL,HYDE PARK,,,,,,12/8/14,3
17 LODGEHILL,HYDE PARK,,,,,,12/8/14,3
5 LODGEHILL,HYDE PARK,,,,,,12/8/14,3
7-9 LODGEHILL,HYDE PARK,,,,,,12/8/14,3
LODGEHILL,HYDE PARK,,,,,,12/8/14,3
57 BLANCHETTE,MARLBORO,,,,,,12/8/14,3
134 ELM,MARLBORO,,,,,,12/8/14,3
FAIRHAVEN,MATTAPOISETT,,,,,,12/8/14,3
1 PERCIVAL,MAYNARD,,,,,,12/8/14,3
538 HARTFORD,SHREWSBURY,,,,,,12/8/14,3
FENWICK,WORCESTER,,,,,,12/8/14,3
121 ILLINOIS,WORCESTER,,,,,,12/8/14,3
ILLINOIS,WORCESTER,,,,,,12/8/14,3
2B KNOX,WORCESTER,,,,,,12/8/14,3
60 LOXWOOD,WORCESTER,,,,,,12/8/14,3
69 LOXWOOD,WORCESTER,,,,,,12/8/14,3
101-103 LUDLOW,WORCESTER,,,,,,12/8/14,3
31 LUDLOW,WORCESTER,,,,,,12/8/14,3
OPP 44 LUDLOW,WORCESTER,,,,,,12/8/14,3
LUDLOW,WORCESTER,,,,,,12/8/14,3
LYMAN,WORCESTER,,,,,,12/8/14,3
1480-1482 CAMBRIDGE,CAMBRIDGE,,,,,,12/5/14,3
50 FRESH POND,CAMBRIDGE,,,,,,12/5/14,3
66 FRESH POND,CAMBRIDGE,,,,,,12/5/14,3
81 FRESH POND,CAMBRIDGE,,,,,,12/5/14,3
87 FRESH POND,CAMBRIDGE,,,,,,12/5/14,3
99 FRESH POND,CAMBRIDGE,,,,,,12/5/14,3
8 CATON,HYDE PARK,,,,,,12/5/14,3
3 FORTUNE,MILFORD,,,,,,12/5/14,3
16 HENDERSON,NEEDHAM,,,,,,12/5/14,3
362 MANNING,NEEDHAM,,,,,,12/5/14,3
52 MAYO,NEEDHAM,,,,,,12/5/14,3
233 NEHOIDEN,NEEDHAM,,,,,,12/5/14,3
65 YALE,NEEDHAM,,,,,,12/5/14,3
134 SOUTH SECOND,NEW BEDFORD,,,,,,12/5/14,3
ELIZABETH,WORCESTER,,,,,,12/5/14,3
ELLIOTT,WORCESTER,,,,,,12/5/14,3
116 FARRAR,WORCESTER,,,,,,12/5/14,3
98 HEYWOOD,WORCESTER,,,,,,12/5/14,3
123 JUNE,WORCESTER,,,,,,12/5/14,3
126 JUNE,WORCESTER,,,,,,12/5/14,3
182 JUNE,WORCESTER,,,,,,12/5/14,3
244 JUNE,WORCESTER,,,,,,12/5/14,3
250 JUNE,WORCESTER,,,,,,12/5/14,3
253 JUNE,WORCESTER,,,,,,12/5/14,3
370 JUNE,WORCESTER,,,,,,12/5/14,3
90 KENBERMA,WORCESTER,,,,,,12/5/14,3
MASSASOIT,WORCESTER,,,,,,12/5/14,3
35 MERRIFIELD,WORCESTER,,,,,,12/5/14,3
PROVIDENCE,WORCESTER,@ DOANNE ST,,,,,12/5/14,3
16 WABASH,WORCESTER,,,,,,12/5/14,3
20 WABASH,WORCESTER,,,,,,12/5/14,3
1663 CAMBRIDGE,CAMBRIDGE,,,,,,12/4/14,3
CAMBRIDGE,CAMBRIDGE,,,,,,12/4/14,3
266 MASSACHUSETTS,CAMBRIDGE,,,,,,12/4/14,3
84 MASSACHUSETTS,CAMBRIDGE,,,,,,12/4/14,3
410 MEMORIAL,CAMBRIDGE,,,,,,12/4/14,3
4 LAWTON,HYDE PARK,,,,,,12/4/14,3
5 LAWTON,HYDE PARK,,,,,,12/4/14,3
4 LEWISTON,HYDE PARK,,,,,,12/4/14,3
61 LEXINGTON,HYDE PARK,,,,,,12/4/14,3
165 PACKARD,MEDFORD,,,,,,12/4/14,3
247 MANNING,NEEDHAM,,,,,,12/4/14,3
52 MANNING,NEEDHAM,,,,,,12/4/14,3
MANNING,NEEDHAM,,,,,,12/4/14,3
454 WEBSTER,NEEDHAM,,,,,,12/4/14,3
59 WEBSTER,NEEDHAM,,,,,,12/4/14,3
95 WEBSTER,NEEDHAM,,,,,,12/4/14,3
337 WEST,NEEDHAM,,,,,,12/4/14,3
97 EPWORTH,WORCESTER,,,,,,12/4/14,3
1 GUILD,WORCESTER,,,,,,12/4/14,3
6 GUILD,WORCESTER,,,,,,12/4/14,3
5 HAVELOCK,WORCESTER,,,,,,12/4/14,3
67 HENSHAW,WORCESTER,,,,,,12/4/14,3
91 HOUGHTON,WORCESTER,,,,,,12/4/14,3
24 MARION,WORCESTER,,,,,,12/4/14,3
25 MARION,WORCESTER,,,,,,12/4/14,3
25 MARION,WORCESTER,,,,,,12/4/14,3
21 MERRICK,WORCESTER,,,,,,12/4/14,3
36 MORELAND,WORCESTER,,,,,,12/4/14,3
52 MORELAND,WORCESTER,,,,,,12/4/14,3
PARK TERRACE,WORCESTER,@ HEYWOOD ST,,,,,12/4/14,3
PROVIDENCE,WORCESTER,@ UNION PL,,,,,12/4/14,3
SOUTHBRIDGE,WORCESTER,,,,,,12/4/14,3
81 SUMMER,WORCESTER,,,,,,12/4/14,3
781 MAIN,CAMBRIDGE,,,,,,12/3/14,3
875 MAIN,CAMBRIDGE,,,,,,12/3/14,3
165 FOREST,MARLBORO,,,,,,12/3/14,3
219 FOREST,MARLBORO,,,,,,12/3/14,3
14 ELLICOTT,NEEDHAM,,,,,,12/3/14,3
1200 GREAT PLAIN,NEEDHAM,,,,,,12/3/14,3
1306 GREAT PLAIN,NEEDHAM,,,,,,12/3/14,3
GREAT PLAIN,NEEDHAM,,,,,,12/3/14,3
203 LINDBERGH,NEEDHAM,,,,,,12/3/14,3
17 ROSEMARY,NEEDHAM,,,,,,12/3/14,3
31 ROSEMARY,NEEDHAM,,,,,,12/3/14,3
57 ROSEMARY,NEEDHAM,,,,,,12/3/14,3
65 ROSEMARY,NEEDHAM,,,,,,12/3/14,3
9-11 TILLOTSON,NEEDHAM,,,,,,12/3/14,3
44 WASHINGTON,SHREWSBURY,,,,,,12/3/14,3
25 DUXBURY,WORCESTER,,,,,,12/3/14,3
66 EUNICE,WORCESTER,,,,,,12/3/14,3
10 GOLDTHWAITE,WORCESTER,,,,,,12/3/14,3
22 GOLDTHWAITE,WORCESTER,,,,,,12/3/14,3
GOLDTHWAITE,WORCESTER,,,,,,12/3/14,3
GREEN HILL,WORCESTER,,,,,,12/3/14,3
347 GREENWOOD,WORCESTER,,,,,,12/3/14,3
348 GREENWOOD,WORCESTER,,,,,,12/3/14,3
15 MERTON,WORCESTER,,,,,,12/3/14,3
41 MINTHORNE,WORCESTER,,,,,,12/3/14,3
22 MOTT,WORCESTER,,,,,,12/3/14,3
799 CONCORD,CAMBRIDGE,,,,,,12/2/14,3
367 HARVARD,CAMBRIDGE,,,,,,12/2/14,3
MASSACHUSETTS,CAMBRIDGE,,,,,,12/2/14,3
FRANKLIN,DARTMOUTH,@ CHESTNUT ST,,,,,12/2/14,3
107 ROUNDTOP,FRAMINGHAM,,,,,,12/2/14,3
17 JOYCE,HYDE PARK,,,,,,12/2/14,3
451 BOLTON,MARLBORO,,,,,,12/2/14,3
286 EAST BOSTON POST,MARLBORO,,,,,,12/2/14,3
496 EAST BOSTON POST,MARLBORO,,,,,,12/2/14,3
349 BELLEVILLE,NEW BEDFORD,,,,,,12/2/14,3
399 WHITNEY,NORTHBORO,,,,,,12/2/14,3
21 GENERAL,SHREWSBURY,,,,,,12/2/14,3
32 EAGLE,WORCESTER,,,,,,12/2/14,3
61 EAGLE,WORCESTER,,,,,,12/2/14,3
87 EAGLE,WORCESTER,,,,,,12/2/14,3
OPP 46 EAGLE,WORCESTER,,,,,,12/2/14,3
29 FALMOUTH,WORCESTER,,,,,,12/2/14,3
19 FIRGLADE,WORCESTER,,,,,,12/2/14,3
90 HOLDEN,WORCESTER,,,,,,12/2/14,3
MAIN,WORCESTER,,,,,,12/2/14,3
11 MATTSON,WORCESTER,,,,,,12/2/14,3
7 MATTSON,WORCESTER,,,,,,12/2/14,3
5 MILLBROOK,WORCESTER,,,,,,12/2/14,3
3 MOSS,WORCESTER,,,,,,12/2/14,3
359 SHREWSBURY,WORCESTER,,,,,,12/2/14,3
151 WEST BOYLSTON,WORCESTER,,,,,,12/2/14,3
2 WILLARD,WORCESTER,,,,,,12/2/14,3
28 HURON,CAMBRIDGE,,,,,,12/1/14,3
19 MEADOW,DARTMOUTH,,,,,,12/1/14,3
HYDE PARK,HYDE PARK,,,,,,12/1/14,3
MEADOW,MARLBORO,,,,,,12/1/14,3
81 RAFFAELE,MARLBORO,,,,,,12/1/14,3
UNION,MARLBORO,,,,,,12/1/14,3
87 ASHLEY,NEW BEDFORD,,,,,,12/1/14,3
1079 BRALEY,NEW BEDFORD,,,,,,12/1/14,3
10 CHURCH,NORTHBORO,,,,,,12/1/14,3
ALMONT,WORCESTER,@ HAMILTON ST,,,,,12/1/14,3
5-7 FRONGILLO-FARMS,WORCESTER,,,,,,12/1/14,3
1432 MAIN,WORCESTER,,,,,,12/1/14,3
1442 MAIN,WORCESTER,,,,,,12/1/14,3
1477 MAIN,WORCESTER,,,,,,12/1/14,3
1511 MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
MAIN,WORCESTER,,,,,,12/1/14,3
310 PLANTATION,WORCESTER,,,,,,12/1/14,3
18 EXPLORERS,HOLDEN,,,,,,11/28/14,3
176 RESERVOIR,HOLDEN,,,,,,11/28/14,3
562 SHREWSBURY,HOLDEN,,,,,,11/28/14,3
41 WINFIELD,HOLDEN,,,,,,11/28/14,3
81 WINFIELD,HOLDEN,,,,,,11/28/14,3
93 WINFIELD,HOLDEN,,,,,,11/28/14,3
WINFIELD,HOLDEN,,,,,,11/28/14,3
42 BOUDREAU,MARLBORO,,,,,,11/28/14,3
35 EVELINA,MARLBORO,,,,,,11/28/14,3
242 HUDSON,MARLBORO,,,,,,11/28/14,3
10 PETERS,MARLBORO,,,,,,11/28/14,3
20 PORTER,MARLBORO,,,,,,11/28/14,3
98 SANDINI,MARLBORO,,,,,,11/28/14,3
41 SCHOFIELD,MARLBORO,,,,,,11/28/14,3
49 WARREN,MARLBORO,,,,,,11/28/14,3
31 COMMONWEALTH,WORCESTER,,,,,,11/28/14,3
ENID,WORCESTER,@ BENHAM ST,,,,,11/28/14,3
93 STANDISH,WORCESTER,,,,,,11/28/14,3
339 HOLDEN,HOLDEN,,,,,,11/26/14,3
81 HOLDEN,HOLDEN,,,,,,11/26/14,3
1779 MAIN,HOLDEN,,,,,,11/26/14,3
MAIN,HOLDEN,,,,,,11/26/14,3
39 OAK,HOLDEN,,,,,,11/26/14,3
59 PAUGUS,HOLDEN,,,,,,11/26/14,3
90 WOODRIDGE,HOLDEN,,,,,,11/26/14,3
WOODRIDGE,HOLDEN,,,,,,11/26/14,3
21 LINCOLN,MARLBORO,,,,,,11/26/14,3
52 CHANDLER,MARLBORO,,,,,,11/26/14,3
2 HAYDEN,MARLBORO,,,,,,11/26/14,3
33 HAYES MEMORIAL,MARLBORO,,,,,,11/26/14,3
84 HIGHLAND,MARLBORO,,,,,,11/26/14,3
131 LEOLEIS,MARLBORO,,,,,,11/26/14,3
5 LINCOLN,MARLBORO,,,,,,11/26/14,3
71 RICE,MARLBORO,,,,,,11/26/14,3
168 RIDGE,MARLBORO,,,,,,11/26/14,3
16 MAINE,NATICK,,,,,,11/26/14,3
8 MAINE,NATICK,,,,,,11/26/14,3
20 OVERBROOK,NATICK,,,,,,11/26/14,3
OVERBROOK,NATICK,,,,,,11/26/14,3
102 1/2 SPEEN,NATICK,,,,,,11/26/14,3
19 SPEEN,NATICK,,,,,,11/26/14,3
92 SPEEN,NATICK,,,,,,11/26/14,3
6 STRATHMORE,NATICK,,,,,,11/26/14,3
15 DUSTIN,WORCESTER,,,,,,11/26/14,3
39 DUSTIN,WORCESTER,,,,,,11/26/14,3
52 HOUSATONIC,WORCESTER,,,,,,11/26/14,3
64 HOUSATONIC,WORCESTER,,,,,,11/26/14,3
68 HOUSATONIC,WORCESTER,,,,,,11/26/14,3
1 IONIC,WORCESTER,,,,,,11/26/14,3
443-445 LAKE,WORCESTER,,,,,,11/26/14,3
LAKE,WORCESTER,,,,,,11/26/14,3
85 LOCUST,WORCESTER,,,,,,11/26/14,3
25 ROBERTS,CAMBRIDGE,,,,,,11/25/14,3
90 MIDDLE,FAIRHAVEN,,,,,,11/25/14,3
16 RUSSELL,FRAMINGHAM,,,,,,11/25/14,3
115 SALEM END,FRAMINGHAM,,,,,,11/25/14,3
21 SALEM END,FRAMINGHAM,,,,,,11/25/14,3
334 SALEM END,FRAMINGHAM,,,,,,11/25/14,3
441 SALEM END,FRAMINGHAM,,,,,,11/25/14,3
57 SALEM END,FRAMINGHAM,,,,,,11/25/14,3
600 SALEM END,FRAMINGHAM,,,,,,11/25/14,3
329 SINGLETARY,FRAMINGHAM,,,,,,11/25/14,3
1171 HYDE PARK,HYDE PARK,,,,,,11/25/14,3
262 KINGS GRANT,MARLBORO,,,,,,11/25/14,3
48 PAQUIN,MARLBORO,,,,,,11/25/14,3
565-571 BOSTON,SHREWSBURY,,,,,,11/25/14,3
NEWTON,WEST BOYLSTON,,,,,,11/25/14,3
504 PROSPECT,WEST BOYLSTON,,,,,,11/25/14,3
516 PROSPECT,WEST BOYLSTON,,,,,,11/25/14,3
184 WEST BOYLSTON,WEST BOYLSTON,,,,,,11/25/14,3
339 WEST BOYLSTON,WEST BOYLSTON,,,,,,11/25/14,3
65 WEST BOYLSTON,WEST BOYLSTON,,,,,,11/25/14,3
65 WEST BOYLSTON,WEST BOYLSTON,,,,,,11/25/14,3
21-23 CROWN,WORCESTER,,,,,,11/25/14,3
3 DOUGLAS,WORCESTER,,,,,,11/25/14,3
33 DOUGLAS,WORCESTER,,,,,,11/25/14,3
22 IONIC,WORCESTER,,,,,,11/25/14,3
1426 CAMBRIDGE,CAMBRIDGE,,,,,,11/24/14,3
40 GARDEN,CAMBRIDGE,,,,,,11/24/14,3
GARDEN,CAMBRIDGE,,,,,,11/24/14,3
GARDEN,CAMBRIDGE,,,,,,11/24/14,3
GARDEN,CAMBRIDGE,,,,,,11/24/14,3
106 HANCOCK,CAMBRIDGE,,,,,,11/24/14,3
110 IRVING,CAMBRIDGE,,,,,,11/24/14,3
72 KIRKLAND,CAMBRIDGE,,,,,,11/24/14,3
37 PURCHASE,CARVER,,,,,,11/24/14,3
1 WENHAM,CARVER,,,,,,11/24/14,3
17 WENHAM SHORES,CARVER,,,,,,11/24/14,3
20 ADAMS,MARLBORO,,,,,,11/24/14,3
137 BEACH,MARLBORO,,,,,,11/24/14,3
175 BEACH,MARLBORO,,,,,,11/24/14,3
BOLTON,MARLBORO,,,,,,11/24/14,3
BOLTON,MARLBORO,,,,,,11/24/14,3
294 DICENZO,MARLBORO,,,,,,11/24/14,3
389 HOSMER,MARLBORO,,,,,,11/24/14,3
133 KOSMAS,MARLBORO,,,,,,11/24/14,3
59 NEIL,MARLBORO,,,,,,11/24/14,3
43 SUDBURY,MAYNARD,,,,,,11/24/14,3
8 SUDBURY,MAYNARD,,,,,,11/24/14,3
5 TOURNAMENT,NATICK,,,,,,11/24/14,3
DOVER,NATICK,,,,,,11/24/14,3
ELIOT,NATICK,,,,,,11/24/14,3
7 HOME,NATICK,,,,,,11/24/14,3
39 OLMSTED,PLYMOUTH,,,,,,11/24/14,3
POLLACK,PLYMOUTH,,,,,,11/24/14,3
53 RUSSELL,PLYMOUTH,,,,,,11/24/14,3
11 NEWTON,WEST BOYLSTON,,,,,,11/24/14,3
51 NEWTON,WEST BOYLSTON,,,,,,11/24/14,3
7 NEWTON,WEST BOYLSTON,,,,,,11/24/14,3
114 WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
185 WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
24 WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
27 WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
35 WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
WORCESTER,WEST BOYLSTON,,,,,,11/24/14,3
16 LENOX,WORCESTER,,,,,,11/24/14,3
114 MOUNT AUBURN,CAMBRIDGE,,,,,,11/21/14,3
MOUNT AUBURN,CAMBRIDGE,,,,,,11/21/14,3
79 DUNSTER,FRAMINGHAM,,,,,,11/21/14,3
109 EDGEWATER,FRAMINGHAM,,,,,,11/21/14,3
115 EDGEWATER,FRAMINGHAM,,,,,,11/21/14,3
WATER,FRAMINGHAM,,,,,,11/21/14,3
197 WINTER,FRAMINGHAM,,,,,,11/21/14,3
312 WINTER,FRAMINGHAM,,,,,,11/21/14,3
324 WINTER,FRAMINGHAM,,,,,,11/21/14,3
495 WINTER,FRAMINGHAM,,,,,,11/21/14,3
511 WINTER,FRAMINGHAM,,,,,,11/21/14,3
555 WINTER,FRAMINGHAM,,,,,,11/21/14,3
WINTER,FRAMINGHAM,,,,,,11/21/14,3
WINTER,FRAMINGHAM,,,,,,11/21/14,3
WINTER,FRAMINGHAM,@ RUSSELL RD,,,,,11/21/14,3
804 HYDE PARK,HYDE PARK,,,,,,11/21/14,2
1286 HYDE PARK,HYDE PARK,,,,,,11/21/14,3
62 WEST CENTRAL,NATICK,,,,,,11/21/14,3
5 LASCALA,PLYMOUTH,,,,,,11/21/14,3
119 CENTRAL,WEST BOYLSTON,,,,,,11/21/14,3
17 EVANS,WEST BOYLSTON,,,,,,11/21/14,3
21 EVANS,WEST BOYLSTON,,,,,,11/21/14,3
20 HARTWELL,WEST BOYLSTON,,,,,,11/21/14,3
235 LANCASTER,WEST BOYLSTON,,,,,,11/21/14,3
237 LANCASTER,WEST BOYLSTON,,,,,,11/21/14,3
304 LANCASTER,WEST BOYLSTON,,,,,,11/21/14,3
LANCASTER,WEST BOYLSTON,,,,,,11/21/14,3
41 PROSPECT,WEST BOYLSTON,,,,,,11/21/14,3
142 HIGHLAND,WORCESTER,,,,,,11/21/14,3
2 CORNELL,WORCESTER,,,,,,11/21/14,3
14 CREST,WORCESTER,,,,,,11/21/14,3
48 CREST,WORCESTER,,,,,,11/21/14,3
8 CREST,WORCESTER,,,,,,11/21/14,3
24 CRESWELL,WORCESTER,,,,,,11/21/14,3
19 CROWN,WORCESTER,,,,,,11/21/14,3
21-23 CROWN,WORCESTER,,,,,,11/21/14,3
13 CROYDON,WORCESTER,,,,,,11/21/14,3
20 CRYSTAL,WORCESTER,,,,,,11/21/14,3
34 CRYSTAL,WORCESTER,,,,,,11/21/14,3
3 CUTTING,WORCESTER,,,,,,11/21/14,3
HIGHLAND,WORCESTER,,,,,,11/21/14,3
11 SEVER,WORCESTER,,,,,,11/21/14,3
333 FAUNCE CORNER,DARTMOUTH,,,,,,11/20/14,3
153 FRANKLIN,FRAMINGHAM,,,,,,11/20/14,3
72 MAIN,FRAMINGHAM,,,,,,11/20/14,3
79 MAIN,FRAMINGHAM,,,,,,11/20/14,3
35 NEWTON,FRAMINGHAM,,,,,,11/20/14,3
214 UNION,FRAMINGHAM,,,,,,11/20/14,3
UNION,FRAMINGHAM,,,,,,11/20/14,3
766 HYDE PARK,HYDE PARK,,,,,,11/20/14,3
778 HYDE PARK,HYDE PARK,,,,,,11/20/14,3
400 NICKERSON,MARLBORO,,,,,,11/20/14,3
97 RAFFAELE,MARLBORO,,,,,,11/20/14,3
11 SHERMAN,MAYNARD,,,,,,11/20/14,3
24 BOWEN,WEST BOYLSTON,,,,,,11/20/14,3
5 BOWEN,WEST BOYLSTON,,,,,,11/20/14,3
