ADDRESS,TOWN,INTERSECTION,ZIP,LAT,LNG,ADDRESS_TYPES,CLASSIFIED,GRADE
141 PLEASANT,FAIRHAVEN,,,,,,9/8/14,3
144 PLEASANT,FAIRHAVEN,,,,,,9/8/14,3
WOOD,HOPKINTON,@ SPRING STREET,,,,,9/8/14,3
43-45 ONTARIO,HUDSON,,,,,,9/8/14,3
49 ONTARIO,HUDSON,,,,,,9/8/14,3
28 SENECA,HUDSON,,,,,,9/8/14,3
2422 ACUSHNET,NEW BEDFORD,,,,,,9/8/14,3
3098 ACUSHNET,NEW BEDFORD,,,,,,9/8/14,3
14 WARREN,PLYMOUTH,,,,,,9/8/14,3
22 WARD,WORCESTER,,,,,,9/8/14,3
78 1/2 WARD,WORCESTER,,,,,,9/8/14,3
WARD,WORCESTER,,,,,,9/8/14,3
507 MAIN,ASHLAND,,,,,,9/5/14,3
WEBSTER,CAMBRIDGE,,,,,,9/5/14,3
23 MASSACHUSETTS,DEDHAM,,,,,,9/5/14,3
39 MASSACHUSETTS,DEDHAM,,,,,,9/5/14,3
ADAMS,FAIRHAVEN,,,,,,9/5/14,3
31 BROOK,HUDSON,,,,,,9/5/14,3
183 HOSMER,HUDSON,,,,,,9/5/14,3
HOSMER,HUDSON,,,,,,9/5/14,3
23 INDIAN-RIDGE,NATICK,,,,,,9/5/14,3
28 VINAL,SOMERVILLE,,,,,,9/5/14,3
OPP 540 GROVE,WORCESTER,,,,,,9/5/14,3
23 WILSON,WORCESTER,,,,,,9/5/14,3
40 NORTON,DARTMOUTH,,,,,,9/4/14,3
31 ARCADIA,DEDHAM,,,,,,9/4/14,3
123 HIGHLAND,DEDHAM,,,,,,9/4/14,3
HIGHLAND,DEDHAM,,,,,,9/4/14,3
43 MANNING,DEDHAM,,,,,,9/4/14,3
12 MASSACHUSETTS,DEDHAM,,,,,,9/4/14,3
19 MASSACHUSETTS,DEDHAM,,,,,,9/4/14,3
161 RIVER,HUDSON,,,,,,9/4/14,3
165 RIVER,HUDSON,,,,,,9/4/14,3
304 RIVER,HUDSON,,,,,,9/4/14,3
377 RIVER,HUDSON,,,,,,9/4/14,3
4 SHAWMUT,HUDSON,,,,,,9/4/14,3
76 SCHOOL,MILFORD,,,,,,9/4/14,3
STONEYBROOK,MILFORD,,,,,,9/4/14,3
11 W-MAPLE,MILFORD,,,,,,9/4/14,3
8 BUNKER,NATICK,,,,,,9/4/14,3
41 FISKE,NATICK,,,,,,9/4/14,3
2 HOPEWELL-FRMS,NATICK,,,,,,9/4/14,3
20 PINEHURST,NATICK,,,,,,9/4/14,3
PINEHURST,NATICK,,,,,,9/4/14,3
17 SPEEN,NATICK,,,,,,9/4/14,3
41 SPEEN,NATICK,,,,,,9/4/14,3
A,NEEDHAM,,,,,,9/4/14,3
OPP 11 GOULD,NEEDHAM,,,,,,9/4/14,3
65 BEACON,SOMERVILLE,,,,,,9/4/14,3
9 HAROLD,SOMERVILLE,,,,,,9/4/14,3
47-49 PARKDALE,SOMERVILLE,,,,,,9/4/14,3
WASHINGTON,SOMERVILLE,,,,,,9/4/14,3
WASHINGTON,SOMERVILLE,,,,,,9/4/14,3
KIMBALL,WORCESTER,,,,,,9/4/14,3
LAMARTINE,WORCESTER,@ 133 LAFAYETTE STREET,,,,,9/4/14,3
LAMARTINE,WORCESTER,@ LODI STREET,,,,,9/4/14,3
138 SOUTHBRIDGE,WORCESTER,,,,,,9/4/14,3
165 SOUTHBRIDGE,WORCESTER,,,,,,9/4/14,3
229 SOUTHBRIDGE,WORCESTER,,,,,,9/4/14,3
SOUTHBRIDGE,WORCESTER,,,,,,9/4/14,3
11 LINDALE,DEDHAM,,,,,,9/3/14,3
8 ADAMS,FAIRHAVEN,,,,,,9/3/14,3
97 CENTRE,FAIRHAVEN,,,,,,9/3/14,3
12 SUMMER,FAIRHAVEN,,,,,,9/3/14,3
