ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
915 HIGH,DEDHAM,,12/13/14,2
WASHINGTON,DEDHAM,AT STAR LN,12/16/14,2
EASTERN,DEDHAM,,12/17/14,2
25 STIVALETTA,DEDHAM,,12/18/14,2
19 WILLARD,DEDHAM,,12/20/14,2
90 SUNSET,DEDHAM,,12/22/14,2
OPP 249 MILTON,DEDHAM,,12/23/14,2
VILLAGE,DEDHAM,AT ALLINDALE WAY,12/26/14,2
88 SPRAGUE,DEDHAM,,12/27/14,2
BRIDGE,DEDHAM,,12/27/14,2
92 CURVE,DEDHAM,,12/27/14,1
UPLAND,DEDHAM,AT SPRAGUE ST,12/29/14,2
40-46 BAY,FAIRHAVEN,,1/7/14,2
10 KANE,FAIRHAVEN,,1/11/14,1
60 HATHAWAY,FAIRHAVEN,,1/13/14,1
17 HASTE,FAIRHAVEN,,1/17/14,2
55 JERUSALEM,FAIRHAVEN,,1/21/14,2
22 EVERGREEN,FAIRHAVEN,,2/7/14,2
539 SCONTICUT-NECK,FAIRHAVEN,,2/14/14,2
13 SPRINGHILL,FAIRHAVEN,,2/25/14,2
HUTTLESTON,FAIRHAVEN,AT ARSENE ST,2/25/14,2
518 SCONTICUT-NECK,FAIRHAVEN,,3/21/14,2
145 PLEASANT,FAIRHAVEN,,4/22/14,1
17 COE,FAIRHAVEN,,4/23/14,2
14-34 BERDON,FAIRHAVEN,,5/7/14,1
155 HUTTLESTON,FAIRHAVEN,,5/12/14,1
5 STEPHEN,FAIRHAVEN,,5/14/14,2
CHURCH,FAIRHAVEN,AT PLEASANT ST,5/21/14,2
2 BAY-VIEW,FAIRHAVEN,,5/27/14,2
TURNER,FAIRHAVEN,AT FARMFIELD ST,5/28/14,2
68 HEDGE,FAIRHAVEN,,6/16/14,1
54 WASHINGTON,FAIRHAVEN,,6/17/14,1
2 DAY,FAIRHAVEN,,6/26/14,2
28 SMITH,FAIRHAVEN,,6/27/14,2
EDDY,FAIRHAVEN,,7/8/14,2
30 LINDEN,FAIRHAVEN,,7/15/14,1
276 HUTTLESTON,FAIRHAVEN,,7/31/14,1
GREEN,FAIRHAVEN,AT PHOENIX ST,8/5/14,2
GREEN,FAIRHAVEN,AT 9 PHOENIX ST,8/5/14,2
44 GROVE,FAIRHAVEN,,8/4/14,2
16 RESERVATION,FAIRHAVEN,,8/26/14,2
