ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
19-21 SILVIA,HYDE PARK,,10-Apr-14,3
492 CONCORD,FRAMINGHAM,,11-Apr-14,3
541 CONCORD,FRAMINGHAM,,11-Apr-14,3
15 FARRIN,HYDE PARK,,11-Apr-14,3
35 SANFORD,HYDE PARK,,11-Apr-14,3
39 SANFORD,HYDE PARK,,11-Apr-14,3
55 SAFFORD,HYDE PARK,@ ERNEST AVENUE,11-Apr-14,3
20 HARTWELL,WEST BOYLSTON,,14-Apr-14,3
HASTINGS,WORCESTER,@ W. BOYLSTON STREET,14-Apr-14,3
29 NORTH MAIN,MILLBURY,,15-Apr-14,3
2512 MASSACHUSETTS,CAMBRIDGE,,16-Apr-14,3
204 GARFIELD,HYDE PARK,,16-Apr-14,3
70 WORCESTER,MILLBURY,,16-Apr-14,3
BROADWAY,SOMERVILLE,@ BOSTON AVENUE,17-Apr-14,3
94 TAUNTON,MATTAPAN,,18-Apr-14,3
WHEELOCK,MILLBURY,@ 238 MILLBURY AVENUE,18-Apr-14,3
172 LINCOLN,WORCESTER,,18-Apr-14,3
980 PLEASANT,FRAMINGHAM,,22-Apr-14,3
160 COCHITUATE,FRAMINGHAM,,24-Apr-14,3
78 PIERCE,WEST BOYLSTON,,24-Apr-14,3
5 BEECHMONT,HYDE PARK,,25-Apr-14,3
2222 MASSACHUSETTS,CAMBRIDGE,,28-Apr-14,3
GRAFTON,WORCESTER,@ MASSASOIT ROAD,28-Apr-14,3
GRAFTON,WORCESTER,@ HOUGHTON STREET,28-Apr-14,3
716 GRAFTON,WORCESTER,,29-Apr-14,3
6 SALFORD,WORCESTER,,29-Apr-14,3
QUINAPOXET,WORCESTER,,30-Apr-14,3
22 ROLLINSON,WORCESTER,,30-Apr-14,3
9 VARNUM,WORCESTER,,30-Apr-14,3
WAYNE,WORCESTER,,30-Apr-14,3
3 WYOLA,WORCESTER,,30-Apr-14,3
36 RIVER,DEDHAM,,1-May-14,3
51 COMO,HYDE PARK,,1-May-14,3
54 COMO,HYDE PARK,,1-May-14,3
61 MAIN,MILFORD,,1-May-14,3
187 ST-NICHOLAS,WORCESTER,,1-May-14,3
142 WILDWOOD,WORCESTER,,1-May-14,3
WILDWOOD,WORCESTER,,1-May-14,3
WOODLAND,WORCESTER,,1-May-14,3
702-706 TRUMAN,HYDE PARK,,2-May-14,3
373 BELLEVILLE,NEW BEDFORD,,2-May-14,3
395 BELLEVILLE,NEW BEDFORD,,2-May-14,3
5 ST-NICHOLAS,WORCESTER,,3-May-14,3
203 MAIN,MILFORD,,5-May-14,3
37 PLEASANT,PLYMOUTH,,5-May-14,3
50 ORCHARD,DEDHAM,,6-May-14,3
99 WILLIS,NEW BEDFORD,,6-May-14,3
96 TEMPLE,WEST BOYLSTON,,6-May-14,3
250 WORCESTER,WEST BOYLSTON,,6-May-14,3
124 MILLBURY,WORCESTER,,6-May-14,3
48 MILLBURY,WORCESTER,,6-May-14,3
829-881 WORCESTER,NATICK,,7-May-14,3
POPLAR,NEW BEDFORD,,7-May-14,3
111 WORCESTER,WEST BOYLSTON,,7-May-14,3
21-22 HAMLET,FAIRHAVEN,,8-May-14,3
579-603 WORCESTER,NATICK,,8-May-14,3
679 WORCESTER,NATICK,,8-May-14,3
66 BIRCHWOOD,NEW BEDFORD,,8-May-14,3
54 GREENBRIER,NEW BEDFORD,,8-May-14,3
895 HILLCREST,NEW BEDFORD,,8-May-14,3
941 HILLCREST,NEW BEDFORD,,8-May-14,3
955 HILLCREST,NEW BEDFORD,,8-May-14,3
18 LONGVIEW,NEW BEDFORD,,8-May-14,3
25 MAXINE,NEW BEDFORD,,8-May-14,3
701 PINE-HILL,NEW BEDFORD,,8-May-14,3
709 PINE-HILL,NEW BEDFORD,,8-May-14,3
821 PINE-HILL,NEW BEDFORD,,8-May-14,3
918 PINE-HILL,NEW BEDFORD,,8-May-14,3
119 CENTRAL,WEST BOYLSTON,,8-May-14,3
43 WORCESTER,WEST BOYLSTON,,8-May-14,3
64 GREEN,WORCESTER,,8-May-14,3
LAKEWOOD,WORCESTER,,8-May-14,3
3660 ACUSHNET,NEW BEDFORD,,9-May-14,3
104 BISMARK,NEW BEDFORD,,9-May-14,3
1067 CHURCHILL,NEW BEDFORD,,9-May-14,3
CHURCHILL,NEW BEDFORD,,9-May-14,3
1052 PLEASANT,WORCESTER,,9-May-14,3
1008 PLEASANT,FRAMINGHAM,,10-May-14,3
4 REGENT,WORCESTER,,12-May-14,3
1 RICH,WORCESTER,,12-May-14,3
80 RICHMOND,WORCESTER,,12-May-14,3
16 WABASH,WORCESTER,,12-May-14,3
20 WABASH,WORCESTER,,12-May-14,3
26 WABASH,WORCESTER,,12-May-14,3
NEAR 59 TARKILN,NEW BEDFORD,,13-May-14,3
215 CARVER,PLYMOUTH,,13-May-14,3
6 CHURCH,WEST BOYLSTON,,13-May-14,3
106 KENBERMA,WORCESTER,,13-May-14,3
385 PLEASANT,WORCESTER,,13-May-14,3
72 PLEASANT,WORCESTER,,13-May-14,3
PLEASANT,WORCESTER,@ WINSLOW STREET,13-May-14,3
42 MAPLE,CAMBRIDGE,,14-May-14,3
2294 MASSACHUSETTS,CAMBRIDGE,,14-May-14,3
1117 CHAFFEE,NEW BEDFORD,,14-May-14,3
DEWEY,NEW BEDFORD,,14-May-14,3
1129 JOYCE,NEW BEDFORD,,14-May-14,3
902 TERRY,NEW BEDFORD,,14-May-14,3
1101 VICTORIA,NEW BEDFORD,,14-May-14,3
60 LOXWOOD,WORCESTER,,14-May-14,3
36 BELKNAP,DEDHAM,,15-May-14,3
119 LOWELL,NEW BEDFORD,,15-May-14,3
53 MARY,NEW BEDFORD,,15-May-14,3
69 MARY,NEW BEDFORD,,15-May-14,3
332 PRESCOTT,NEW BEDFORD,,15-May-14,3
551 TARKILN-HILL,NEW BEDFORD,,15-May-14,3
TARKILN-HILL,NEW BEDFORD,,15-May-14,3
TARKILN-HILL,NEW BEDFORD,,15-May-14,3
TARKILN-HILL,NEW BEDFORD,,15-May-14,3
WORCESTER,NEW BEDFORD,,15-May-14,3
769 NEW-PLAINVILLE,NEW BEDFORD,,16-May-14,3
5 BOWEN,WEST BOYLSTON,,16-May-14,3
28 EDNA,NEW BEDFORD,,19-May-14,3
118 IRVINGTON,NEW BEDFORD,,19-May-14,3
IRVINGTON,NEW BEDFORD,,19-May-14,3
IRVINGTON,NEW BEDFORD,,19-May-14,3
41 MAYWOOD,NEW BEDFORD,,19-May-14,3
239 PRINCETON,NEW BEDFORD,,19-May-14,3
366 CONDUIT,NEW BEDFORD,,20-May-14,3
45 ETHEL,NEW BEDFORD,,20-May-14,3
963 HOMESTEAD,NEW BEDFORD,,20-May-14,3
997 LLOYD,NEW BEDFORD,,20-May-14,3
LLOYD,NEW BEDFORD,,20-May-14,3
975 STRATFORD,NEW BEDFORD,,20-May-14,3
981 STRATFORD,NEW BEDFORD,,20-May-14,3
2208 PROVIDENCE,NORTHBRIDGE,,20-May-14,3
RIVER,HYDE PARK,@ WOOD AVENUE,21-May-14,3
878 BELLEVILLE,NEW BEDFORD,,21-May-14,3
900 BELLEVILLE,NEW BEDFORD,,21-May-14,3
906 BELLEVILLE,NEW BEDFORD,,21-May-14,3
BELLEVILLE,NEW BEDFORD,,21-May-14,3
5 BREWSTER,NEW BEDFORD,,21-May-14,3
59 BREWSTER,NEW BEDFORD,,21-May-14,3
BROOKLAWN,NEW BEDFORD,,21-May-14,3
57 SYLVIA,NEW BEDFORD,,21-May-14,3
WOOD,NEW BEDFORD,,21-May-14,3
19-21 WOODS,SOMERVILLE,,21-May-14,3
59-61 WOODS,SOMERVILLE,,21-May-14,3
9-11 WOODS,SOMERVILLE,,21-May-14,3
115 CHANDLER,WORCESTER,,21-May-14,3
CHANDLER,WORCESTER,@ QUEEN STREET,21-May-14,3
744 BELLEVILLE,NEW BEDFORD,,22-May-14,3
786 BELLEVILLE,NEW BEDFORD,,22-May-14,3
BELLEVILLE,NEW BEDFORD,@ HOWARD STREET,22-May-14,3
210-212 BRANSCOMB,NEW BEDFORD,,22-May-14,3
73 BRANSCOMB,NEW BEDFORD,,22-May-14,3
BRANSCOMB,NEW BEDFORD,,22-May-14,3
31-37 COVELL,NEW BEDFORD,,22-May-14,3
88 COVELL,NEW BEDFORD,,22-May-14,3
313 HERSOM,NEW BEDFORD,,22-May-14,3
9 HOLDEN,NEW BEDFORD,,22-May-14,3
313 TARKILN-HILL,NEW BEDFORD,,22-May-14,3
TARKILN-HILL,NEW BEDFORD,,22-May-14,3
TARKILN-HILL,NEW BEDFORD,@ CONDUIT STREET,22-May-14,3
TARKILN-HILL,NEW BEDFORD,,22-May-14,3
217 E-UNION,ASHLAND,,23-May-14,3
10 HIGLEY,ASHLAND,,23-May-14,3
18 HIGLEY,ASHLAND,,23-May-14,3
63 HIGLEY,ASHLAND,,23-May-14,3
166 POND,ASHLAND,,23-May-14,3
51-69 POND,ASHLAND,,23-May-14,3
74 SUMMER,ASHLAND,,23-May-14,3
CONCORD,CAMBRIDGE,@ HURON AVENUE,23-May-14,3
695 TRUMAN,HYDE PARK,,23-May-14,3
107 CENTRAL,NEW BEDFORD,,23-May-14,3
173 CENTRAL,NEW BEDFORD,,23-May-14,3
CENTRAL,NEW BEDFORD,,23-May-14,3
CENTRAL,NEW BEDFORD,,23-May-14,3
250 CHURCH,NEW BEDFORD,,23-May-14,3
