ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
3770 ACUSHNET,NEW BEDFORD,,26-Aug-14,3
4 BECKMAN,WORCESTER,,26-Aug-14,3
101 BEECHING,WORCESTER,,26-Aug-14,3
97 BEECHING,WORCESTER,,26-Aug-14,3
99 BEECHING,WORCESTER,,26-Aug-14,3
BEECHMONT,WORCESTER,,26-Aug-14,3
28 BELLINGHAM,WORCESTER,,26-Aug-14,3
8 BENEDICT,WORCESTER,,26-Aug-14,3
9 BENEDICT,WORCESTER,,26-Aug-14,3
233 BEVERLY,WORCESTER,,26-Aug-14,3
70 BEVERLY,WORCESTER,,26-Aug-14,3
133-135 UNCATENA,WORCESTER,,26-Aug-14,3
3 UNCATENA,WORCESTER,,26-Aug-14,3
51 UNCATENA,WORCESTER,,26-Aug-14,3
35 BUENA-VISTA,CAMBRIDGE,,27-Aug-14,3
7 AKIN,DARTMOUTH,,27-Aug-14,3
AKIN,DARTMOUTH,@ PROSPECT STREET,27-Aug-14,3
28 BREWSTER,DARTMOUTH,,27-Aug-14,3
11 MIDDLE,DARTMOUTH,,27-Aug-14,3
33 MIDDLE,DARTMOUTH,,27-Aug-14,3
38 MIDDLE,DARTMOUTH,,27-Aug-14,3
20 STILLMAN,DARTMOUTH,,27-Aug-14,3
39 HAZELNUT,DEDHAM,,27-Aug-14,3
34 MANNING,DEDHAM,,27-Aug-14,3
40 MARLBORO,DEDHAM,,27-Aug-14,3
29 CALUMET,FAIRHAVEN,,27-Aug-14,3
3 CALUMET,FAIRHAVEN,,27-Aug-14,3
JERUSALEM,FAIRHAVEN,@ SCONTICUT NECK ROAD,27-Aug-14,3
JERUSALEM,FAIRHAVEN,@ 440 SCONTICUT NECK,27-Aug-14,3
JERUSALEM,FAIRHAVEN,,27-Aug-14,3
74 BROAD,HUDSON,,27-Aug-14,3
10 SUMMER,HUDSON,,27-Aug-14,3
2620 ACUSHNET,NEW BEDFORD,,27-Aug-14,3
2746 ACUSHNET,NEW BEDFORD,,27-Aug-14,3
28 SIAS,SHREWSBURY,,27-Aug-14,3
SIAS,SHREWSBURY,,27-Aug-14,3
1212 BROADWAY,SOMERVILLE,,27-Aug-14,3
29 CHETWYND,SOMERVILLE,,27-Aug-14,3
93 OSSIPEE,SOMERVILLE,,27-Aug-14,3
198 COBURN,WORCESTER,,27-Aug-14,3
AVON HILL,CAMBRIDGE,@ BATES STREET,28-Aug-14,3
DANA,CAMBRIDGE,,28-Aug-14,3
128-130 HIGH,DEDHAM,,28-Aug-14,3
34 ELIZABETH,FAIRHAVEN,,28-Aug-14,3
77 HOUGHTON,HUDSON,,28-Aug-14,3
MAIN,HUDSON,,28-Aug-14,3
12 WINTER,HUDSON,,28-Aug-14,3
DEPOT,MATTAPOISETT,,28-Aug-14,3
HAMMOND,MATTAPOISETT,,28-Aug-14,3
HAMMOND,MATTAPOISETT,,28-Aug-14,3
29 MAIN,MATTAPOISETT,,28-Aug-14,3
20 WATER,NATICK,,28-Aug-14,3
2008 ACUSHNET,NEW BEDFORD,,28-Aug-14,3
2043 ACUSHNET,NEW BEDFORD,,28-Aug-14,3
2095 ACUSHNET,NEW BEDFORD,,28-Aug-14,3
2416 ACUSHNET,NEW BEDFORD,,28-Aug-14,3
HOLLAND,SOMERVILLE,,28-Aug-14,3
49 MOORE,SOMERVILLE,,28-Aug-14,3
116 BELMONT,WORCESTER,,28-Aug-14,3
146 BELMONT,WORCESTER,,28-Aug-14,3
374 BELMONT,WORCESTER,,28-Aug-14,3
378 BELMONT,WORCESTER,,28-Aug-14,3
BELMONT,WORCESTER,,28-Aug-14,3
229 BEVERLY,WORCESTER,,28-Aug-14,3
OPP 80 BEVERLY,WORCESTER,,28-Aug-14,3
209 VERNON,WORCESTER,,28-Aug-14,3
VERNON,WORCESTER,,28-Aug-14,3
125 WARNER,WORCESTER,,28-Aug-14,3
11 MAYFAIR,DEDHAM,,29-Aug-14,3
19 TEMPLE,FAIRHAVEN,,29-Aug-14,3
1 TRIPP,FAIRHAVEN,,29-Aug-14,3
22 TRIPP,FAIRHAVEN,,29-Aug-14,3
204 WASHINGTON,FAIRHAVEN,,29-Aug-14,3
WASHINGTON,FAIRHAVEN,,29-Aug-14,3
439 MAIN,HUDSON,,29-Aug-14,3
CAMP,MILFORD,,29-Aug-14,3
8 CORNELL,MILFORD,,29-Aug-14,3
21 RUSSELL,SOMERVILLE,,29-Aug-14,3
45 RUSSELL,SOMERVILLE,,29-Aug-14,3
BEECHMONT,WORCESTER,@ 1 BANCROFT TOWER,29-Aug-14,3
UPSALA,WORCESTER,,29-Aug-14,3
137 BRIDGE,FAIRHAVEN,,2-Sep-14,3
15 HOMESTEAD,FAIRHAVEN,,2-Sep-14,3
122 SPRING,FAIRHAVEN,,2-Sep-14,3
89 SPRING,FAIRHAVEN,,2-Sep-14,3
SPRING,FAIRHAVEN,,2-Sep-14,3
53 OLD-BOLTON,HUDSON,,2-Sep-14,3
286 BEACON,SOMERVILLE,,2-Sep-14,3
BEACON,SOMERVILLE,,2-Sep-14,3
278 BEACON,SOMERVILLE,,2-Sep-14,3
EAGLE,WORCESTER,@ NEPTUNE ROAD,2-Sep-14,3
36 ROMOLA,WORCESTER,,2-Sep-14,3
79 VENUS,WORCESTER,,2-Sep-14,3
81 VENUS,WORCESTER,,2-Sep-14,3
7 W-BOYLSTON,WORCESTER,,2-Sep-14,3
8 ADAMS,FAIRHAVEN,,3-Sep-14,3
97 CENTRE,FAIRHAVEN,,3-Sep-14,3
MILL,NATICK,@ SPEEN STREET,3-Sep-14,3
255 BEACON,SOMERVILLE,,3-Sep-14,3
50-52 BEACON,SOMERVILLE,,3-Sep-14,3
7 INDIAN LAKE,WORCESTER,,3-Sep-14,3
UPLAND,WORCESTER,,3-Sep-14,3
40 NORTON,DARTMOUTH,,4-Sep-14,3
123 HIGHLAND,DEDHAM,,4-Sep-14,3
HIGHLAND,DEDHAM,,4-Sep-14,3
12 MASSACHUSETTS,DEDHAM,,4-Sep-14,3
19 MASSACHUSETTS,DEDHAM,,4-Sep-14,3
165 RIVER,HUDSON,,4-Sep-14,3
304 RIVER,HUDSON,,4-Sep-14,3
377 RIVER,HUDSON,,4-Sep-14,3
4 SHAWMUT,HUDSON,,4-Sep-14,3
76 SCHOOL,MILFORD,,4-Sep-14,3
STONEYBROOK,MILFORD,,4-Sep-14,3
11 W-MAPLE,MILFORD,,4-Sep-14,3
A,NEEDHAM,,4-Sep-14,3
OPP 11 GOULD,NEEDHAM,,4-Sep-14,3
65 BEACON,SOMERVILLE,,4-Sep-14,3
47-49 PARKDALE,SOMERVILLE,,4-Sep-14,3
WASHINGTON,SOMERVILLE,,4-Sep-14,3
WASHINGTON,SOMERVILLE,,4-Sep-14,3
LAMARTINE,WORCESTER,@ 133 LAFAYETTE STREET,4-Sep-14,3
LAMARTINE,WORCESTER,@ LODI STREET,4-Sep-14,3
165 SOUTHBRIDGE,WORCESTER,,4-Sep-14,3
229 SOUTHBRIDGE,WORCESTER,,4-Sep-14,3
SOUTHBRIDGE,WORCESTER,,4-Sep-14,3
WEBSTER,CAMBRIDGE,,5-Sep-14,3
23 MASSACHUSETTS,DEDHAM,,5-Sep-14,3
39 MASSACHUSETTS,DEDHAM,,5-Sep-14,3
31 BROOK,HUDSON,,5-Sep-14,3
HOSMER,HUDSON,,5-Sep-14,3
23 INDIAN-RIDGE,NATICK,,5-Sep-14,3
23 WILSON,WORCESTER,,5-Sep-14,3
7 WESTLAND,ACUSHNET,,8-Sep-14,3
132-134 MILTON,DEDHAM,,8-Sep-14,3
150 MILTON,DEDHAM,,8-Sep-14,3
138 CHESTNUT,FAIRHAVEN,,8-Sep-14,3
140 CHESTNUT,FAIRHAVEN,,8-Sep-14,3
150 CHESTNUT,FAIRHAVEN,,8-Sep-14,3
120 PLEASANT,FAIRHAVEN,,8-Sep-14,3
132 PLEASANT,FAIRHAVEN,,8-Sep-14,3
WOOD,HOPKINTON,@ SPRING STREET,8-Sep-14,3
43-45 ONTARIO,HUDSON,,8-Sep-14,3
49 ONTARIO,HUDSON,,8-Sep-14,3
28 SENECA,HUDSON,,8-Sep-14,3
2422 ACUSHNET,NEW BEDFORD,,8-Sep-14,3
3098 ACUSHNET,NEW BEDFORD,,8-Sep-14,3
22 WARD,WORCESTER,,8-Sep-14,3
78 1/2 WARD,WORCESTER,,8-Sep-14,3
WARD,WORCESTER,,8-Sep-14,3
OPP 116 BISHOP-ALLEN,CAMBRIDGE,,9-Sep-14,3
160-168 MILTON,DEDHAM,,9-Sep-14,3
190 MILTON,DEDHAM,,9-Sep-14,3
8 SYLVIA,DEDHAM,,9-Sep-14,3
150 GREEN,FAIRHAVEN,,9-Sep-14,3
35 SEAVIEW,FAIRHAVEN,,9-Sep-14,3
353 WOOD,HOPKINTON,,9-Sep-14,3
181 COX,HUDSON,,9-Sep-14,3
4A ROTHERHAM,HUDSON,,9-Sep-14,3
WEST,WORCESTER,,9-Sep-14,3
70 SOL-E-MAR,DARTMOUTH,,10-Sep-14,3
26 SWIFT,DARTMOUTH,,10-Sep-14,3
10-12 N-STONE-ML,DEDHAM,,10-Sep-14,3
ATLAS,FAIRHAVEN,@ CHURCH STREET,10-Sep-14,3
99 CHURCH,FAIRHAVEN,,10-Sep-14,3
34 FELTON,HUDSON,,10-Sep-14,3
53 LINCOLN,HUDSON,,10-Sep-14,3
22 MANNING,HUDSON,,10-Sep-14,3
35 MANNING,HUDSON,,10-Sep-14,3
59-64 MANNING,HUDSON,,10-Sep-14,3
90 MANNING,HUDSON,,10-Sep-14,3
SECOND,HUDSON,,10-Sep-14,3
4 BEACON,MATTAPOISETT,,10-Sep-14,3
9 CAPTAINS,MATTAPOISETT,,10-Sep-14,3
CHURCH,MATTAPOISETT,,10-Sep-14,3
11 HILLSIDE,MATTAPOISETT,,10-Sep-14,3
11 MARTIN,MATTAPOISETT,,10-Sep-14,3
4 SHERWOOD,MATTAPOISETT,,10-Sep-14,3
6 SHERWOOD,MATTAPOISETT,,10-Sep-14,3
71 CONGRESS,MILFORD,,10-Sep-14,3
CONGRESS,MILFORD,,10-Sep-14,3
1 LUBY,MILFORD,,10-Sep-14,3
82 UNION,NATICK,,10-Sep-14,3
10 CHURCH,NORTHBORO,,10-Sep-14,3
60-62 VINAL,SOMERVILLE,,10-Sep-14,3
15 WEBSTER,SOMERVILLE,,10-Sep-14,3
6 MILTON,WORCESTER,,10-Sep-14,3
267 WEBSTER,WORCESTER,,10-Sep-14,3
187 MONROE,DEDHAM,,11-Sep-14,3
MONROE,DEDHAM,,11-Sep-14,3
26 MORELAND,DEDHAM,,11-Sep-14,3
LINCOLN,HUDSON,@ APSLEY STREET,11-Sep-14,3
26 DARTMOUTH,MILFORD,,11-Sep-14,3
29 FRUIT,MILFORD,,11-Sep-14,3
56 HARTFORD,NATICK,,11-Sep-14,3
69 BREWSTER,NEEDHAM,,11-Sep-14,3
102 STANDISH,NEEDHAM,,11-Sep-14,3
70 STANDISH,NEEDHAM,,11-Sep-14,3
88 STANDISH,NEEDHAM,,11-Sep-14,3
40 WESTWOOD,WORCESTER,,11-Sep-14,3
44 WESTWOOD,WORCESTER,,11-Sep-14,3
32 CHESTNUT,FAIRHAVEN,,12-Sep-14,3
48 HIGH,HUDSON,,12-Sep-14,3
15 MASON,HUDSON,,12-Sep-14,3
88 PROSPECT,SOMERVILLE,,12-Sep-14,3
CRESCENT,WORCESTER,,12-Sep-14,3
162 PRESCOTT,WORCESTER,,12-Sep-14,3
17 WINTHROP,WORCESTER,,12-Sep-14,3
JADE,DEDHAM,@ EASTERN AVENUE,15-Sep-14,3
176 MONROE,DEDHAM,,15-Sep-14,3
15 COE,FAIRHAVEN,,15-Sep-14,3
16 COTTAGE,FAIRHAVEN,,15-Sep-14,3
11 LAUREL,FAIRHAVEN,,15-Sep-14,3
34 LAUREL,FAIRHAVEN,,15-Sep-14,3
38 LAUREL,FAIRHAVEN,,15-Sep-14,3
WINTER,FRAMINGHAM,@ SALEM END DRIVE,15-Sep-14,3
24 PEARL,MILFORD,,15-Sep-14,3
37 PEARL,MILFORD,,15-Sep-14,3
57 PEARL,MILFORD,,15-Sep-14,3
106 ACUSHNET,NEW BEDFORD,,15-Sep-14,3
ACUSHNET,NEW BEDFORD,,15-Sep-14,3
ACUSHNET,NEW BEDFORD,@ NYE STREET,15-Sep-14,3
ACUSHNET,NEW BEDFORD,,15-Sep-14,3
430 MCGRATH,SOMERVILLE,,15-Sep-14,3
WASHINGTON,SOMERVILLE,,15-Sep-14,3
219 BEVERLY,WORCESTER,,15-Sep-14,3
19 FAIRMONT,WORCESTER,,15-Sep-14,3
34 HOOPER,WORCESTER,,15-Sep-14,3
HOOPER,WORCESTER,,15-Sep-14,3
PAINE,WORCESTER,@ 12 VINTON STREET,15-Sep-14,3
NEAR 76 CHESTNUT,ASHLAND,,16-Sep-14,3
7 BRYANT,CAMBRIDGE,,16-Sep-14,3
16 FAYERWEATHER,CAMBRIDGE,,16-Sep-14,3
57-58 CARNEGIE,DARTMOUTH,,16-Sep-14,3
9-11 CLEVELAND,DARTMOUTH,,16-Sep-14,3
9 PLEASANT,DARTMOUTH,,16-Sep-14,3
37 RICHFIELD,DARTMOUTH,,16-Sep-14,3
81 PACELLA,DEDHAM,,16-Sep-14,3
27 CHURCH,FAIRHAVEN,,16-Sep-14,3
CHURCH,FAIRHAVEN,,16-Sep-14,3
DOANE,FAIRHAVEN,@ 4 GREEN STREET,16-Sep-14,3
26 FARMFIELD,FAIRHAVEN,,16-Sep-14,3
102 GREEN,FAIRHAVEN,,16-Sep-14,3
83 GREEN,FAIRHAVEN,,16-Sep-14,3
GREEN,FAIRHAVEN,,16-Sep-14,3
GREEN,FAIRHAVEN,,16-Sep-14,3
GREEN,FAIRHAVEN,@ PHOENIX STREET,16-Sep-14,3
44 HARVARD,MILFORD,,16-Sep-14,3
46 HARVARD,MILFORD,,16-Sep-14,3
276 MAIN,MILFORD,,16-Sep-14,3
49 1/2 MAIN,MILFORD,,16-Sep-14,3
MAIN,MILFORD,,16-Sep-14,3
7 PAULA,MILFORD,,16-Sep-14,3
13 SHERWOOD,MILFORD,,16-Sep-14,3
ACUSHNET,NEW BEDFORD,@ BULLARD STREET,16-Sep-14,3
ACUSHNET,NEW BEDFORD,@ PHILLIPS AVENUE,16-Sep-14,3
36-38 PRINCETON,SOMERVILLE,,16-Sep-14,3
4 PRINCETON,SOMERVILLE,,16-Sep-14,3
41 CLOVER,WORCESTER,,16-Sep-14,3
45 CLOVER,WORCESTER,,16-Sep-14,3
57 CLOVER,WORCESTER,,16-Sep-14,3
89 CLOVER,WORCESTER,,16-Sep-14,3
133 W-BOYLSTON,WORCESTER,,16-Sep-14,3
81 W-BOYLSTON,WORCESTER,,16-Sep-14,3
W-BOYLSTON,WORCESTER,,16-Sep-14,3
12 BAKER,FAIRHAVEN,,17-Sep-14,3
12 BAKER,FAIRHAVEN,,17-Sep-14,3
7 BAKER,FAIRHAVEN,,17-Sep-14,3
43 CEDAR,FAIRHAVEN,,17-Sep-14,3
55 CEDAR,FAIRHAVEN,,17-Sep-14,3
6 ELLIS,FAIRHAVEN,,17-Sep-14,3
121 FARMFIELD,FAIRHAVEN,,17-Sep-14,3
14 HARBOR-VIEW,FAIRHAVEN,,17-Sep-14,3
8 TURNER,FAIRHAVEN,,17-Sep-14,3
39 EAST-ST,MILFORD,,17-Sep-14,3
43 PURCHASE,MILFORD,,17-Sep-14,3
PURCHASE,MILFORD,,17-Sep-14,3
PURCHASE,MILFORD,,17-Sep-14,3
283 BROOKLINE,NEEDHAM,,17-Sep-14,3
293 BROOKLINE,NEEDHAM,,17-Sep-14,3
461 GROVE,NEEDHAM,,17-Sep-14,3
529 GROVE,NEEDHAM,,17-Sep-14,3
541 GROVE,NEEDHAM,,17-Sep-14,3
GROVE,NEEDHAM,,17-Sep-14,3
1801 ACUSHNET,NEW BEDFORD,,17-Sep-14,3
ACUSHNET,NEW BEDFORD,,17-Sep-14,3
ACUSHNET,NEW BEDFORD,,17-Sep-14,3
ACUSHNET,NEW BEDFORD,,17-Sep-14,3
ACUSHNET,NEW BEDFORD,,17-Sep-14,3
ACUSHNET,NEW BEDFORD,,17-Sep-14,3
25 HAWTHORNE,SOMERVILLE,,17-Sep-14,3
26 HAWTHORNE,SOMERVILLE,,17-Sep-14,3
62 PUTNAM,SOMERVILLE,,17-Sep-14,3
4 WILLIAM,UPTON,,17-Sep-14,3
445 PLEASANT,FRAMINGHAM,,18-Sep-14,3
518 PLEASANT,FRAMINGHAM,,18-Sep-14,3
10 GOSNOLD,MATTAPOISETT,,18-Sep-14,3
12 HOMESTEAD,MATTAPOISETT,,18-Sep-14,3
HOMESTEAD,MATTAPOISETT,,18-Sep-14,3
7 INDUSTRIAL,MATTAPOISETT,,18-Sep-14,3
55 NORTH,MATTAPOISETT,,18-Sep-14,3
69 NORTH,MATTAPOISETT,,18-Sep-14,3
71 NORTH,MATTAPOISETT,,18-Sep-14,3
76 NORTH,MATTAPOISETT,,18-Sep-14,3
83-85 NORTH,MATTAPOISETT,,18-Sep-14,3
13 PROSPECT,MATTAPOISETT,,18-Sep-14,3
7 PROSPECT,MATTAPOISETT,,18-Sep-14,3
12 RIVER,MATTAPOISETT,,18-Sep-14,3
7 UPLAND,MATTAPOISETT,,18-Sep-14,3
5 WINNATUXETT,MATTAPOISETT,,18-Sep-14,3
WINNATUXETT,MATTAPOISETT,,18-Sep-14,3
20 YALE,MILFORD,,18-Sep-14,3
ACUSHNET,NEW BEDFORD,,18-Sep-14,3
383 BELLEVILLE,NEW BEDFORD,,18-Sep-14,3
16 BERKELEY,SOMERVILLE,,18-Sep-14,3
58 BERKELEY,SOMERVILLE,,18-Sep-14,3
27 SCHOOL,SOMERVILLE,,18-Sep-14,3
44 W-BOYLSTON,WORCESTER,,18-Sep-14,3
57-59 W-BOYLSTON,WORCESTER,,18-Sep-14,3
138-140 QUINCY,DEDHAM,,19-Sep-14,3
85-87 QUINCY,DEDHAM,,19-Sep-14,3
4 FORT,FAIRHAVEN,,19-Sep-14,3
59 UNION,FAIRHAVEN,,19-Sep-14,3
UNION,FAIRHAVEN,,19-Sep-14,3
11 KNIGHT,FRAMINGHAM,,19-Sep-14,3
980 PLEASANT,FRAMINGHAM,,19-Sep-14,3
995 PLEASANT,FRAMINGHAM,,19-Sep-14,3
12 CEDAR,HOPKINTON,,19-Sep-14,3
SCHOOL,SOMERVILLE,,19-Sep-14,3
GOLD,WORCESTER,,19-Sep-14,3
GUNNARSON,WORCESTER,,19-Sep-14,3
PLANTATION,WORCESTER,@ AITCHISON STREET,19-Sep-14,3
20 RIVER,DEDHAM,,22-Sep-14,3
64 MAIN,FAIRHAVEN,,22-Sep-14,3
WALNUT,FAIRHAVEN,,22-Sep-14,3
15 ALLEN,MARION,,22-Sep-14,3
22 ALLEN,MARION,,22-Sep-14,3
33 ALLEN,MARION,,22-Sep-14,3
9 ALLEN,MARION,,22-Sep-14,3
140 WEST,MILFORD,,22-Sep-14,3
BODEN,NATICK,@ TAMARACK ROAD,22-Sep-14,3
GLEN,NATICK,@ MILL STREET,22-Sep-14,3
15 WASHINGTON,NATICK,,22-Sep-14,3
COGGESHALL,NEW BEDFORD,,22-Sep-14,3
70 ELM,WORCESTER,,22-Sep-14,3
OLGA,WORCESTER,@ ADOLPH STREET,22-Sep-14,3
79 SYLVAN,WORCESTER,,22-Sep-14,3
60 RIVERSIDE,DEDHAM,,23-Sep-14,3
26 RUSTCRAFT,DEDHAM,,23-Sep-14,3
BRIDGE,FAIRHAVEN,@ MAIN STREET,23-Sep-14,3
85 MIDDLE,FAIRHAVEN,,23-Sep-14,3
40 ALLEN,MARION,,23-Sep-14,3
43 ALLEN,MARION,,23-Sep-14,3
15 VINE,MARION,,23-Sep-14,3
WATER,MARION,,23-Sep-14,3
13 MURIEL,MILFORD,,23-Sep-14,3
22 WATER,MILFORD,,23-Sep-14,3
WATER,MILFORD,,23-Sep-14,3
5 BENEDICT,WORCESTER,,23-Sep-14,3
9 BIRMINGHAM,WORCESTER,,23-Sep-14,3
36 BLAINE,WORCESTER,,23-Sep-14,3
15 BOXFORD,WORCESTER,,23-Sep-14,3
BOYD,WORCESTER,,23-Sep-14,3
36 BOYLSTON,WORCESTER,,23-Sep-14,3
7 DOROTHY,WORCESTER,,23-Sep-14,3
54 ELM,WORCESTER,,23-Sep-14,3
5-7 FRONGILLO-FARM,WORCESTER,,23-Sep-14,3
197 STAFFORD,WORCESTER,,23-Sep-14,3
55 SAWYER,DEDHAM,,24-Sep-14,3
21 SHIRETOWN,DEDHAM,,24-Sep-14,3
188 FRONT,MARION,,24-Sep-14,3
365 FRONT,MARION,,24-Sep-14,3
QUINSIGAMOND,WORCESTER,@ OLDE MILLBURY STREET,24-Sep-14,3
6 SHORT,DEDHAM,,25-Sep-14,3
5 SIDNEY,DEDHAM,,25-Sep-14,3
10 BEVERLY,GRAFTON,,25-Sep-14,3
6 SHORE,GRAFTON,,25-Sep-14,3
51 MILL,MARION,,25-Sep-14,3
513 MILL,MARION,,25-Sep-14,3
704 MILL,MARION,,25-Sep-14,3
732 MILL,MARION,,25-Sep-14,3
222 CHURCH,NORTHBRIDGE,,25-Sep-14,3
106 EAST,NORTHBRIDGE,,25-Sep-14,3
70 EAST,NORTHBRIDGE,,25-Sep-14,3
15-17 FOREST,NORTHBRIDGE,,25-Sep-14,3
26-28 FOREST,NORTHBRIDGE,,25-Sep-14,3
35-37 FOREST,NORTHBRIDGE,,25-Sep-14,3
68 JON,NORTHBRIDGE,,25-Sep-14,3
88 BRANDON,WORCESTER,,25-Sep-14,3
12 BRANTWOOD,WORCESTER,,25-Sep-14,3
63 BRANTWOOD,WORCESTER,,25-Sep-14,3
65 BRANTWOOD,WORCESTER,,25-Sep-14,3
16 BRATTLE,WORCESTER,,25-Sep-14,3
97 BRATTLE,WORCESTER,,25-Sep-14,3
34 BRIGHTON,WORCESTER,,25-Sep-14,3
12 BRISTOL,WORCESTER,,25-Sep-14,3
OPP 23 BRISTOL,WORCESTER,,25-Sep-14,3
148 BROOKLINE,WORCESTER,,25-Sep-14,3
5 BROOKMAN,WORCESTER,,25-Sep-14,3
134 MASSASOIT,WORCESTER,,25-Sep-14,3
54 MASSASOIT,WORCESTER,,25-Sep-14,3
76 MASSASOIT,WORCESTER,,25-Sep-14,3
92 MASSASOIT,WORCESTER,,25-Sep-14,3
94 MASSASOIT,WORCESTER,,25-Sep-14,3
MASSASOIT,WORCESTER,,25-Sep-14,3
582 PARK,WORCESTER,,25-Sep-14,3
PARK,WORCESTER,@ BEAVER BROOK PARKWAY,25-Sep-14,3
284 PLANTATION,WORCESTER,,25-Sep-14,3
9 STAFFORD,WORCESTER,,25-Sep-14,3
14-16 N-STONE-MILL,DEDHAM,,26-Sep-14,3
LEWIS,MARION,,26-Sep-14,3
99 MAIN,MARION,,26-Sep-14,3
9 CATHAWAY,MATTAPOISETT,,26-Sep-14,3
19 MAIN,MATTAPOISETT,,26-Sep-14,3
24 MAIN,MATTAPOISETT,,26-Sep-14,3
37 MAIN,MATTAPOISETT,,26-Sep-14,3
40 MAIN,MATTAPOISETT,,26-Sep-14,3
50 MAIN,MATTAPOISETT,,26-Sep-14,3
3 RIVER,MATTAPOISETT,,26-Sep-14,3
294 MILLBURY,MILLBURY,,26-Sep-14,3
FISKE,NATICK,@ POND STREET,26-Sep-14,3
14 SYLVESTER,NATICK,,26-Sep-14,3
76 BROOKS,WORCESTER,,26-Sep-14,3
BROOKS,WORCESTER,,26-Sep-14,3
BROOKS,WORCESTER,,26-Sep-14,3
BROOKS,WORCESTER,,26-Sep-14,3
65 BROWNELL,WORCESTER,,26-Sep-14,3
78 BROWNELL,WORCESTER,,26-Sep-14,3
11 BURNCOAT,WORCESTER,,26-Sep-14,3
198 BURNCOAT,WORCESTER,,26-Sep-14,3
23 BURNCOAT,WORCESTER,,26-Sep-14,3
9 BURNCOAT,WORCESTER,,26-Sep-14,3
GARDNER,WORCESTER,,26-Sep-14,3
23 GRAND,WORCESTER,,26-Sep-14,3
MELVILLE,WORCESTER,@ PAINE STREET,26-Sep-14,3
316 PLANTATION,WORCESTER,,26-Sep-14,3
SARGENT,WORCESTER,,26-Sep-14,3
184 VINCENT,DEDHAM,,29-Sep-14,3
34 VINCENT,DEDHAM,,29-Sep-14,3
90 VINCENT,DEDHAM,,29-Sep-14,3
27 ASH,FAIRHAVEN,,29-Sep-14,3
3 LONG,FAIRHAVEN,,29-Sep-14,3
WESTVIEW,GRAFTON,@ WOODSIDE DRIVE,29-Sep-14,3
71 HAYDEN-ROWE,HOPKINTON,,29-Sep-14,3
80 HAYDEN-ROWE,HOPKINTON,,29-Sep-14,3
87 MAIN,KINGSTON,,29-Sep-14,3
319 WAREHAM,MARION,,29-Sep-14,3
454 WAREHAM,MARION,,29-Sep-14,3
458 WAREHAM,MARION,,29-Sep-14,3
478 NASH,NEW BEDFORD,,29-Sep-14,3
228 BURNCOAT,WORCESTER,,29-Sep-14,3
572 BURNCOAT,WORCESTER,,29-Sep-14,3
BURNCOAT,WORCESTER,,29-Sep-14,3
253 CAMBRIDGE,WORCESTER,,29-Sep-14,3
285 CAMBRIDGE,WORCESTER,,29-Sep-14,3
369 CAMBRIDGE,WORCESTER,,29-Sep-14,3
438 CAMBRIDGE,WORCESTER,,29-Sep-14,3
629 CAMBRIDGE,WORCESTER,,29-Sep-14,3
CAMBRIDGE,WORCESTER,,29-Sep-14,3
25 DUXBURY,WORCESTER,,29-Sep-14,3
FIR,WORCESTER,@ NORFOLK STREET,29-Sep-14,3
136 FREMONT,WORCESTER,,29-Sep-14,3
142 FREMONT,WORCESTER,,29-Sep-14,3
OPP 284 LAKE,WORCESTER,,29-Sep-14,3
118 NORFOLK,WORCESTER,,29-Sep-14,3
SALISBURY,WORCESTER,AT WACHUSETT ST,29-Sep-14,3
34 VIOLET,DEDHAM,,30-Sep-14,3
112 WALNUT,DEDHAM,,30-Sep-14,3
45 WALNUT,DEDHAM,,30-Sep-14,3
74 ELM,FAIRHAVEN,,30-Sep-14,3
15 PLYMOUTH,FAIRHAVEN,,30-Sep-14,3
20 PLYMOUTH,FAIRHAVEN,,30-Sep-14,3
6 COUNTRY,KINGSTON,,30-Sep-14,3
169 LAKE,KINGSTON,,30-Sep-14,3
12 MONTCLAIR,KINGSTON,,30-Sep-14,3
38 NOTTINGHAM,KINGSTON,,30-Sep-14,3
16 SCHOOL,KINGSTON,,30-Sep-14,3
113 SPRING,MARION,,30-Sep-14,3
37 SPRING,MARION,,30-Sep-14,3
31 HASTINGS,MENDON,,30-Sep-14,3
4 MEADE,MILFORD,,30-Sep-14,3
S-MAIN,MILFORD,,30-Sep-14,3
ANNA,WORCESTER,,30-Sep-14,3
8 BUCKINGHAM,WORCESTER,,30-Sep-14,3
5 CAMP,WORCESTER,,30-Sep-14,3
149-151 CANTERBURY,WORCESTER,,30-Sep-14,3
165 CANTERBURY,WORCESTER,,30-Sep-14,3
CHAMBERS,WORCESTER,,30-Sep-14,3
100 CHANDLER,WORCESTER,,30-Sep-14,3
104 CHANDLER,WORCESTER,,30-Sep-14,3
72-80 CHANDLER,WORCESTER,,30-Sep-14,3
73 CHANDLER,WORCESTER,,30-Sep-14,3
64 FLAGG,WORCESTER,,30-Sep-14,3
FLAGG,WORCESTER,,30-Sep-14,3
66 PLANTATION,WORCESTER,,30-Sep-14,3
84 PLANTATION,WORCESTER,,30-Sep-14,3
PLANTATION,WORCESTER,@ HAMILTON STREET,30-Sep-14,3
356 SALISBURY,WORCESTER,,30-Sep-14,3
535 SALISBURY,WORCESTER,,30-Sep-14,3
620 SALISBURY,WORCESTER,,30-Sep-14,3
