ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
LINWOOD,SOMERVILLE,@ 259 MCGRATH HWY,5-Jan-15,2
LINWOOD,SOMERVILLE,@ MCGRATH HWY,5-Jan-15,3
35 NEWTON,FRAMINGHAM,DAY HILL RD,6-Jan-15,2
167 RICHMOND,NEW BEDFORD,TRINITY ST,6-Jan-15,2
365 LAKE,SHREWSBURY,HEMMINGWAY ST,6-Jan-15,2
23 LESLIE,MILLBURY,,7-Jan-15,2
GRANT,FRAMINGHAM,@ DAVIS ST,16-Jan-15,2
236 MAIN,ACUSHNET,LISA AVE,27-Feb-15,3
107 ILLINOIS,WORCESTER,,21-Sep-15,1
52 NEWTON,MARLBORO,,1-Sep-15,1
365 LAKE,SHREWSBURY,HOWE AVE,6-Jan-15,2
39 CHICKERING,DEDHAM,,5-Jan-15,2
146 VINCENT,DEDHAM,,5-Jan-15,2
24 TARALLI,FRAMINGHAM,,5-Jan-15,1
33 SUMMER,KINGSTON,,5-Jan-15,1
108 ELLICOTT,NEEDHAM,,5-Jan-15,2
129 PHEASANT HILL,MARLBORO,FARM ROAD,6-Jan-15,2
106 ELM,MARLBORO,FRANKLIN ST,9-Jan-15,2
HIGHLAND,CAMBRIDGE,@ RESERVOIR ST,15-Jan-15,2
26 STRATTON,HUDSON,STRATTON RD,18-May-15,2
WINDSOR,CAMBRIDGE,@ HARVARD ST,6-Jan-15,1
ASH,HOPKINTON,@ S. MILL ST,6-Jan-15,1
119 MAPLEWOOD,MARLBORO,,6-Jan-15,1
26 TRINITY,MILFORD,,6-Jan-15,1
5 COOLIDGE,NATICK,,6-Jan-15,1
EUNICE,WORCESTER,@ CLARK ST,6-Jan-15,2
WOOD,HOPKINTON,@ WHISPER WAY,19-Jan-15,2
119 NOANETT,NEEDHAM,GARY RD,24-Mar-15,2
678 MASSACHUSETTS,CAMBRIDGE,WESTERN AVE,7-Jan-15,1
51 BEACON,FRAMINGHAM,,7-Jan-15,1
14 MASON,HUDSON,,7-Jan-15,1
406 LINCOLN,MARLBORO,WINTHROP ST,7-Jan-15,1
101 AYLESBURY,WORCESTER,,14-Jan-15,2
BRIMSMEAD,MARLBORO,@ BOLTON ST,16-Jan-15,2
SLOCUM,ACUSHNET,@ BITTEAU ST,18-Feb-15,3
31 WINTER,CAMBRIDGE,SCIARAPPA ST,8-Jan-15,1
WINTHROP,MARLBORO,LINCOLN ST,8-Jan-15,1
50 EMMONS,MILFORD,,8-Jan-15,1
57 BEVERLY,NATICK,OAK ST,8-Jan-15,1
37 CENTRE,NATICK,,8-Jan-15,1
39 CENTRE,NATICK,,8-Jan-15,1
15 PHOEBE,WORCESTER,PELICAN AVE,12-Jan-15,3
119 PECKHAM,ACUSHNET,,9-Jan-15,1
15 WOODWARD,FRAMINGHAM,,9-Jan-15,1
23 HALSEY,HYDE PARK,CRANMORE RD,9-Jan-15,2
37 WALDO,NEW BEDFORD,,9-Jan-15,2
7 SUMMER,SHREWSBURY,,9-Jan-15,1
208 IRVING,FRAMINGHAM,PHIPPS ST,15-Jan-15,2
15 BOUDREAU,MARLBORO,,10-Jan-15,1
12 SANTO,PLYMOUTH,FILMORE ST,12-Jan-15,2
105-107 BURBANK,MILLBURY,,11-Jan-15,1
106 KENBERMA,WORCESTER,,11-Jan-15,1
511 WASHINGTON,AUBURN,,12-Jan-15,1
14 MURDOCK,CAMBRIDGE,HAMPSHIRE ST,12-Jan-15,1
261 HUNTINGTON,HYDE PARK,,12-Jan-15,1
46 ST IVES,MARLBORO,,12-Jan-15,2
8 MERCER,NATICK,DEAN RD,14-Jan-15,2
45-47 MALVERN,WORCESTER,,16-Jan-15,2
906 GAY,WESTWOOD,@ WASHINGTON ST,23-Jan-15,2
70 MILL,ACUSHNET,MAZEPPA ST,12-Feb-15,2
196 BROADWAY,CAMBRIDGE,PORTLAND ST,13-Jan-15,1
3 JANET,GRAFTON,,13-Jan-15,1
166 EAST CENTRAL,NATICK,UNIVERSITY DR,13-Jan-15,1
170 BUCHANAN,NEW BEDFORD,,13-Jan-15,2
4 RUTHEN,SHREWSBURY,,13-Jan-15,1
NEAR 234 FAIRMOUNT,HYDE PARK,HIGHLAND ST,14-Jan-15,1
WOOD,HOPKINTON,@ WHISPER WAY,19-Jan-15,2
BROADWAY,CAMBRIDGE,1 HAMPSHIRE ST,14-Jan-15,1
10 WOODRIDGE,HOLDEN,WINFIELD DR,14-Jan-15,2
22 BENNETT,HUDSON,,14-Jan-15,2
15 MACDONALD,HYDE PARK,,15-Jan-15,2
SPRING,MARLBORO,@ BOUDREAU AVE,15-Jan-15,2
HIGHLAND,MILFORD,@ 140 WEST ST,15-Jan-15,2
225 FAIRMOUNT,HYDE PARK,HIGHLAND ST,16-Jan-15,2
29 GREENLEAF,FRAMINGHAM,OLD CONNECTICUT PATH,20-Jan-15,2
254 STATE,DARTMOUTH,ANDERSON WAY,23-Jan-15,2
208 IRVING,FRAMINGHAM,SUMMIT ST,15-Jan-15,1
29 ALLEN,MARION,,15-Jan-15,1
25 PLEASANT,WORCESTER,,15-Jan-15,1
306 PLANTATION,WORCESTER,ATLANTA ST,19-Jan-15,3
8 MERCER,NATICK,@ DEAN ST,21-Jan-15,3
8 MERCER,NATICK,STRATHMORE RD,21-Jan-15,2
26 BABBITT,NEW BEDFORD,,16-Jan-15,1
LOCUST,NEW BEDFORD,@ 530 COTTAGE ST,26-Feb-15,2
156 BUSSEY,DEDHAM,@ COLBURN ST,20-Jan-15,2
17-19 ARCADE,NORTHBRIDGE,,20-Jan-15,2
BROADWAY,CAMBRIDGE,@ INMAN ST,23-Jan-15,2
STATE,NEW BEDFORD,MAXFIELD ST,18-Jan-15,1
46 STATE,NEW BEDFORD,,18-Jan-15,1
41 MILL,MARION,@ ATLANTIS DR,6-Feb-15,2
138 STATE,NEW BEDFORD,@ FRANKLIN ST,10-Feb-15,2
210 BROOK,NEW BEDFORD,HATHAWAY ST,19-Jan-15,1
8 STEPHEN,NEW BEDFORD,ROCKDALE AVE,19-Jan-15,1
564 LAKE,SHREWSBURY,,19-Jan-15,1
OPP 282 BEACON,SOMERVILLE,SACRAMENTO ST,22-Jan-15,2
12 MILLBURY,GRAFTON,,23-Jan-15,2
117 HATHAWAY,DARTMOUTH,SLOCUM ROAD,19-Feb-15,2
26 ALPINE,AUBURN,BAY RIDGE RD,20-Jan-15,1
163 BELLEVILLE,NEW BEDFORD,,20-Jan-15,2
2711 ACUSHNET,NEW BEDFORD,DEWEY ST,22-Jan-15,2
21 ALPENA,DEDHAM,,21-Jan-15,2
57 HIGH,HUDSON,,21-Jan-15,1
CLARK,NEW BEDFORD,@ PURCHASE ST,21-Jan-15,2
MAPLE,NEW BEDFORD,@ ROUNDS ST,21-Jan-15,2
572 ROCKDALE,NEW BEDFORD,,21-Jan-15,2
DORCHESTER,WORCESTER,@ PLANE ST,21-Jan-15,1
45 PORTER,ACUSHNET,,22-Jan-15,2
329 SINGLETARY,FRAMINGHAM,JODIE RD,23-Jan-15,2
73 BRANSCOMB,NEW BEDFORD,CONDUIT ST,23-Feb-15,2
47-49 PARKDALE,SOMERVILLE,LEWIS ST,29-Jun-15,2
201-203 HOLDEN,CAMBRIDGE,,22-Jan-15,1
AKIN,FAIRHAVEN,@ HUTTLESTON AVE,22-Jan-15,2
14 FORESTVALE,HYDE PARK,,22-Jan-15,2
26 TRINITY,MILFORD,,22-Jan-15,1
189 MERRIMAC,NEW BEDFORD,,22-Jan-15,1
189 MERRIMAC,NEW BEDFORD,,22-Jan-15,2
91 TARRYTOWN,WORCESTER,MOWER/SUSSEX,22-Jan-15,1
730 NORFOLK,HOLLISTON,,23-Jan-15,2
344 EAST BOSTON POST,MARLBORO,VILLAGE DR,23-Jan-15,2
239 WATER,PLYMOUTH,CASWELL LN,23-Jan-15,1
9 JOHN,MILFORD,FREEDOM ST,30-Jan-15,2
51 HACKER,FAIRHAVEN,SEBEC ST,4-Feb-15,2
3 TRADEWIND,DARTMOUTH,WILSON ST,12-Feb-15,2
STEVENS,NEEDHAM,@ HARRIS AVE,9-Mar-15,2
3 MONTCLAIR,KINGSTON,ST. FRANCIS AVE,12-Mar-15,2
1717 HYDE PARK,HYDE PARK,MILTON ST,2-Apr-15,2
61-63 FAYERWEATHER,CAMBRIDGE,,24-Jan-15,1
28 WHITNEY,NORTHBORO,,24-Jan-15,1
379 AMERICA,ASHLAND,,4-Feb-15,2
1093 WEST BOYLSTON,WORCESTER,,26-Jan-15,1
36 SCHOOL,MILFORD,@ SPRUCE ST,4-Mar-15,2
87 PLYMOUTH,NEW BEDFORD,ROCKDALE AVE,4-Jun-15,2
KIDDER,SOMERVILLE,@ HIGHLAND RD,26-Jan-15,1
70-72 HAMILTON,WORCESTER,ALMONT AVE,26-Jan-15,1
1093 WEST BOYLSTON,WORCESTER,,26-Jan-15,1
150 GROVE,WORCESTER,LANCASTER ST,13-Feb-15,2
10 ASHLEY,DARTMOUTH,ROGERS ST,18-Feb-15,2
PHILLIPS BROOKS,WESTWOOD,DOWNEY ST,25-Feb-15,2
226 BELKNAP,FRAMINGHAM,MILL ST,27-Jan-15,1
48 ADAM WHEELER,HOLLISTON,,28-Jan-15,2
32 IRVING,WORCESTER,,28-Jan-15,1
83 AMES,DEDHAM,,29-Jan-15,2
28 ARLINGTON,HYDE PARK,PIERCE ST,29-Jan-15,1
13 VALS,MARLBORO,,29-Jan-15,2
13 STRATFORD,NATICK,,29-Jan-15,1
26 MIDDLE,DARTMOUTH,BRIDGE ST,4-Feb-15,2
982 HILLCREST,NEW BEDFORD,RIDGEWOOD RD,18-Feb-15,2
151 EDGEWATER,FRAMINGHAM,BEXLEY RD,3-Mar-15,2
79 BEACON,FRAMINGHAM,,30-Jan-15,1
46 DELMAR,NORTHBRIDGE,,30-Jan-15,1
309 WOOD,HYDE PARK,,12-Feb-15,2
787 BROADWAY,SOMERVILLE,WARNER ST,24-Mar-15,2
108 WAVERLY,ASHLAND,,1-Apr-15,2
13 METROPOLITAN,ASHLAND,,31-Jan-15,1
121 PLANTATION,WORCESTER,CLARENDON ST,9-Mar-15,2
38-40 MINTHORNE,WORCESTER,CLIVE ST,1-Feb-15,1
MURRAY,WORCESTER,@ DALE ST,2-Feb-15,1
244 PLEASANT,FRAMINGHAM,,3-Feb-15,1
86 HIGHLAND,MILFORD,,3-Feb-15,2
58 DAY,SOMERVILLE,HERBERT ST,3-Feb-15,1
7 JUDSON,WORCESTER,,3-Feb-15,1
35 DAVIS-BROOK,NATICK,WOODLAND RD,17-Mar-15,2
WALDEN,CAMBRIDGE,@ MASS AVE,4-Feb-15,1
72A SECOND,FRAMINGHAM,BEAVER PARK TER,4-Feb-15,1
18 MAIN,FRAMINGHAM,GRANITE ST,4-Feb-15,1
58 DAY,SOMERVILLE,HERBERT ST,4-Feb-15,1
1 NEW BOND,WORCESTER,W. BOYLSTON ST,4-Feb-15,1
1480 CENTRAL,NEEDHAM,MARK TREE RD,18-Feb-15,2
41 WINTHROP,CAMBRIDGE,DUNSTER ST,5-Feb-15,1
DAY,SOMERVILLE,HERBERT ST,5-Feb-15,1
10 MERRIFIELD,WORCESTER,,5-Feb-15,1
27 WABASH,WORCESTER,,5-Feb-15,1
MERRIFIELD,WORCESTER,@ ELLIOTT ST,12-Feb-15,2
166 UNION,ASHLAND,@ COLUMBUS AVE,13-Mar-15,2
108 WAVERLY,ASHLAND,,1-Apr-15,2
308 HURLEY,CAMBRIDGE,,6-Feb-15,1
63-77 CEDAR,DEDHAM,,6-Feb-15,1
14 MAIN,FRAMINGHAM,GRANITE ST,6-Feb-15,2
18 MAIN,FRAMINGHAM,GRANITE ST,6-Feb-15,1
16 BEAVER PARK,FRAMINGHAM,,6-Feb-15,1
492 GEORGETOWN,HYDE PARK,,6-Feb-15,1
1070 BRALEY,NEW BEDFORD,,6-Feb-15,1
11 LATISQUAMA,SOUTHBORO,,6-Feb-15,1
40 BELMONT,WORCESTER,FOUNTAIN ST,6-Feb-15,1
78.5 ELM,WORCESTER,FRUIT ST,6-Feb-15,1
37 WEST WALNUT,MILFORD,,7-Feb-15,1
19-20 MARGIN,HYDE PARK,,7-Feb-15,1
MILL,WORCESTER,@ S. BUFFUM ST,7-Feb-15,1
67 BOWKER,WORCESTER,,7-Feb-15,1
468 FRANKLIN,WORCESTER,NORFOLK STREET,10-Feb-15,2
902 TERRY,NEW BEDFORD,ACUSHNET AVENUE,2-Mar-15,2
85 RUSSELLS MILLS,DARTMOUTH,CHERRY ST,13-Mar-15,2
90 LINCOLN,FRAMINGHAM,HENRY ST,29-Jun-15,2
68 EAST CENTRAL,NATICK,DEWEY ST,8-Feb-15,1
54 GREENBRIER,NEW BEDFORD,,8-Feb-15,1
6 HEMINGWAY,SHREWSBURY,,8-Feb-15,1
CHANDLER,WORCESTER,@ MURRAY AVE,8-Feb-15,1
41 MILL,MARION,WAREHAM RD,9-Feb-15,2
248 WATER,PLYMOUTH,,9-Feb-15,1
PROVIDENCE,WORCESTER,@ MARION AVE,12-Feb-15,2
17 RIVER,MATTAPOISETT,RANDALL LN,19-Feb-15,2
RIDGEWOOD,NEW BEDFORD,@ LITTLE OAK RD,3-Mar-15,2
26 RUSTCRAFT,DEDHAM,,9-Feb-15,1
14 DUGGAN,FRAMINGHAM,,9-Feb-15,2
32 VINAL,HUDSON,TOWER ST,9-Feb-15,1
26 WHIPPOORWILL,SHREWSBURY,FLORAL ST,9-Feb-15,1
40 BELMONT,WORCESTER,FOUNTAIN ST,9-Feb-15,1
21-23 HUNTING,CAMBRIDGE,CAMBRIDGE ST,10-Feb-15,1
SHARP,DARTMOUTH,@ MILTON ST,10-Feb-15,2
83A EAST MAIN,MARLBORO,,10-Feb-15,2
207 NORTH,SHREWSBURY,PROSPECT ST,10-Feb-15,1
64 BEACON,WORCESTER,HERMAN ST,10-Feb-15,1
254 SOUTHWEST,WORCESTER,,10-Feb-15,1
LONG,FRAMINGHAM,@ WINTER ST,11-Feb-15,1
5 BEXLEY,FRAMINGHAM,,11-Feb-15,1
MILTON,DARTMOUTH,MCCABE ST,11-Feb-15,2
106 DONNA,HOLLISTON,,11-Feb-15,1
7 BALIAN,MILFORD,JOHN ST,11-Feb-15,1
27 MOUNT HOPE,DEDHAM,CURVE ST,19-Feb-15,2
119 MAPLEWOOD,MARLBORO,,3-Mar-15,2
13 WILDEWOOD,FRAMINGHAM,LEDGEWOOD RD,2-Mar-15,2
11 SHAW,PLYMOUTH,,13-Feb-15,1
MILL,ACUSHNET,@ MIDDLE RD,19-Feb-15,2
446 FRANKLIN,WORCESTER,NORFOLK ST,14-Feb-15,1
955 HILLCREST,NEW BEDFORD,,18-Feb-15,2
197 WINTER,FRAMINGHAM,MAPLE ST,16-Feb-15,1
CHANDLER,WORCESTER,@ QUEEN ST,16-Feb-15,1
17-27 PLEASANT,WORCESTER,MAIN ST,16-Feb-15,1
621 SUNDERLAND,WORCESTER,IDEAL RD,6-Mar-15,2
112 HOLWORTHY,CAMBRIDGE,,17-Feb-15,1
18 SUNRISE,GRAFTON,,17-Feb-15,2
33 ALLEN,MARION,FRONT ST,17-Feb-15,1
555 MAPLE,MARION,,17-Feb-15,1
64 CHILMARK,WORCESTER,ADAMS ST,17-Feb-15,1
BILLOW,WORCESTER,LAKE AVE,17-Feb-15,1
WHITTIER,CAMBRIDGE,@ UPLAND RD,18-Feb-15,2
21 POMONA,WORCESTER,PLEASANT ST,18-Feb-15,1
29 BEACON,NATICK,ARTHUR ST,3-Mar-15,2
440 WASHINGTON,AUBURN,,18-Feb-15,1
87 TREMONT,CAMBRIDGE,CAMBRIDGE ST,18-Feb-15,2
5 FOCH,CAMBRIDGE,,18-Feb-15,1
231 FAIRMOUNT,HYDE PARK,SUMMIT ST,18-Feb-15,2
146 MAIN,UPTON,,18-Feb-15,1
NORTH CIRCUIT,WORCESTER,@ 45 EAST CIRCUIT AVE,18-Feb-15,1
CARLISLE,WORCESTER,@ LOVELL ST,18-Feb-15,1
547 SOUTHBRIDGE,AUBURN,WATER ST,19-Feb-15,1
110 ALEXANDER,FRAMINGHAM,EAMES ST,19-Feb-15,1
82 CLINTON,FRAMINGHAM,GRANT ST,19-Feb-15,1
85 ADIN,HOPEDALE,STEEL RD,19-Feb-15,2
220 BRATTLE,CAMBRIDGE,FRESH POND PKWY,26-Feb-15,2
20 CETRINA,MARLBORO,,26-Feb-15,2
1461-1463 HYDE PARK,HYDE PARK,WILTON ST,6-Mar-15,2
940 PLEASANT,WORCESTER,FLAGG ST,25-Mar-15,2
14 CALVIN,SOMERVILLE,,14-Jul-15,2
32 OAK TREE,DEDHAM,,19-Feb-15,1
12 PROSPECT,KINGSTON,PROSPECT ST,19-Feb-15,1
16 MICHIGAN,NATICK,,19-Feb-15,1
108 GROVE,WORCESTER,LANCASTER ST,19-Feb-15,1
35 PLEASANT,WORCESTER,MAIN ST,19-Feb-15,1
18 EVERGREEN,FAIRHAVEN,HILL ST,23-Feb-15,2
140 WEST,MILFORD,HIGHLAND ST,23-Feb-15,2
1950 MASSACHUSETTS,CAMBRIDGE,DAVENPORT ST,23-Mar-15,2
20 ELMWOOD,CAMBRIDGE,TRAILL ST,20-Feb-15,2
26 HILL,FAIRHAVEN,,20-Feb-15,1
16 RED BUD,MARLBORO,CEDAR HILL RD,20-Feb-15,2
1540 CAMBRIDGE,CAMBRIDGE,ELLSWORTH AVE,21-Feb-15,1
45 SOL E MAR,DARTMOUTH,,21-Feb-15,1
23 RANLEY,HYDE PARK,,21-Feb-15,1
91 MURRAY,WORCESTER,ETHAN ALLEN ST,21-Feb-15,1
446 FRANKLIN,WORCESTER,NORFOLK ST,26-Feb-15,1
1 CRAIGIE,CAMBRIDGE,CONCORD AVE,22-Feb-15,1
26 ELMWOOD,CAMBRIDGE,,22-Feb-15,1
41 MEADE,MILFORD,COLUMBUS AVE,22-Feb-15,1
34 BERKELEY,SOMERVILLE,HERSEY ST,22-Feb-15,2
42 PRESTON,SOMERVILLE,,22-Feb-15,1
17 RADMORE,WORCESTER,BRANTWOOD RD,22-Feb-15,1
835 MAIN,WORCESTER,MAY ST,22-Feb-15,1
29-31 WALNUT,MILFORD,ON EMMONS ST,25-Feb-15,2
HADWEN,WORCESTER,@ MORNINGSIDE RD,28-Feb-15,1
SIXTH,CAMBRIDGE,@ ROGERS ST,23-Feb-15,1
16 SMITH,DARTMOUTH,,23-Feb-15,1
COCHITUATE,FRAMINGHAM,@ I-90,23-Feb-15,1
18 RED PINE,HYDE PARK,,23-Feb-15,1
35 WARREN,MARLBORO,,23-Feb-15,2
376-390 UNIVERSITY,WESTWOOD,,23-Feb-15,1
550 PARK,WORCESTER,BEAVER BROOK PKWY,23-Feb-15,1
32 SUPERIOR,WORCESTER,HAMILTON ST,23-Feb-15,1
603 WEST BOYLSTON,WORCESTER,RANDALL ST,23-Feb-15,1
560 CAMBRIDGE,WORCESTER,WASHBURN ST,23-Feb-15,1
11 NELSON,NORTHBORO,,24-Feb-15,1
20 COTTAGE,SOMERVILLE,BOWENS AVE,24-Feb-15,1
HUNTER,MARLBORO,@ MONTANARI DR,25-Feb-15,2
18 EVERGREEN,FAIRHAVEN,,3-Mar-15,2
85 WATER,HOLLISTON,,24-Feb-15,1
81 CAUSEWAY,HUDSON,,24-Feb-15,1
49 BRIMSMEAD,MARLBORO,SHORT ST,24-Feb-15,1
159 ARNOLD,NEW BEDFORD,,24-Feb-15,1
GRINNELL,DARTMOUTH,@ 18 HOWLAND ST,25-Feb-15,2
15 FEARING,WESTWOOD,,27-Feb-15,2
HATHAWAY,NEW BEDFORD,@ VALLEY VIEW DR,27-May-15,2
125 OXFORD,CAMBRIDGE,,25-Feb-15,1
26 RUSTCRAFT,DEDHAM,,25-Feb-15,1
CEDAR,WORCESTER,@ RUSSELL ST,25-Feb-15,1
8 NEW BOND,WORCESTER,STORES ST,25-Feb-15,1
151 EDGEWATER,FRAMINGHAM,BEXLEY RD,3-Mar-15,2
43-45 MADEIRA,NEW BEDFORD,HATHAWAY ST,6-Mar-15,2
101-103 SHAW,NEW BEDFORD,CONDUIT ST,10-Mar-15,2
22 SYLVESTER,NATICK,MOORE ST,11-May-15,3
305 WEBSTER,CAMBRIDGE,COLUMBIA ST,26-Feb-15,1
41 HARWOOD,NATICK,,26-Feb-15,1
23 WEST,NEEDHAM,,26-Feb-15,1
211 PROVIDENCE,WORCESTER,@ UPSALA ST,26-Feb-15,1
211 PROVIDENCE,WORCESTER,@ UPSALA ST,26-Feb-15,1
554 PLEASANT,WORCESTER,NORMAN AVE,26-Feb-15,1
23 EVERETT,CAMBRIDGE,,27-Feb-15,1
20-22 HAMLET,FAIRHAVEN,,27-Feb-15,2
31 MAIN,FAIRHAVEN,UNION ST,27-Feb-15,1
PROVIDENCE,WORCESTER,@ UPSALA ST,27-Feb-15,1
1 TIHONET,WORCESTER,COPPERFIELD RD,27-Feb-15,1
SANFORD,HYDE PARK,@ DANNY RD,2-Mar-15,2
20 FORBES,MARLBORO,,2-Mar-15,2
3 GRAY GARDENS EAST,CAMBRIDGE,GARDEN ST,3-Mar-15,2
3 LEE,KINGSTON,MAY ST,3-Mar-15,2
272 RIDGE,HOLLISTON,CHAMBERLAIN ST,4-Mar-15,2
110 ALEXANDER,FRAMINGHAM,@ EAMES ST,11-Mar-15,2
186 ELM,CAMBRIDGE,TENNEY ST,13-Mar-15,2
233 BEVERLY,WORCESTER,DARBY ST,24-Mar-15,2
31 MAIN,FAIRHAVEN,@ UNION ST,28-Feb-15,1
160 ELM,NEW BEDFORD,COUNTY ST,28-Feb-15,1
50 CHERRY,SOMERVILLE,,28-Feb-15,1
52 FISHER,WESTWOOD,,28-Feb-15,1
6 HARRINGTON,WORCESTER,JEANETTE ST,28-Feb-15,1
54 CEDAR,WORCESTER,SEVER ST,28-Feb-15,1
MCGRATH,SOMERVILLE,GREENVILLE ST,2-Mar-15,2
29 GLEASON,FRAMINGHAM,KING ST,1-Mar-15,1
35 COMMONWEALTH,MARLBORO,,1-Mar-15,1
14 FRATERNAL,WORCESTER,HILMA ST,1-Mar-15,1
1 BUCKLEY,WORCESTER,,1-Mar-15,2
26 STRATTON,HUDSON,AVON DR,10-Mar-15,2
1540 CAMBRIDGE,CAMBRIDGE,ELLSWORTH AVE,19-Mar-15,2
UNION,FAIRHAVEN,@ MAIN ST,2-Mar-15,2
309 ALDEN,FAIRHAVEN,QUINCY ST,2-Mar-15,1
110 ADAMS,FAIRHAVEN,,2-Mar-15,1
117 WARREN,MARLBORO,,2-Mar-15,1
22 PRINCETON,MILFORD,,2-Mar-15,2
716 HIGHLAND,NEEDHAM,,2-Mar-15,2
35 FILMORE,PLYMOUTH,,2-Mar-15,1
CASCADE,WORCESTER,@ MONICA RD,2-Mar-15,1
119 MAPLEWOOD,MARLBORO,RUSSELL ST,3-Mar-15,2
506 ASHLEY,NEW BEDFORD,@ CLIFFORD ST,3-Mar-15,2
WEST BOYLSTON,WORCESTER,@ GROVE ST,3-Mar-15,1
21 PEACEDALE,WORCESTER,STEELE ST,3-Mar-15,1
281 CHESTNUT,NEEDHAM,,19-Mar-15,2
277-279 ALLSTON,CAMBRIDGE,KENWOOD ST,3-Mar-15,1
31 MULBERRY,FAIRHAVEN,,3-Mar-15,1
630 MAIN,HOLDEN,SHREWSBURY ST,3-Mar-15,1
410 NORFOLK,HOLLISTON,,3-Mar-15,1
120 WARREN,MARLBORO,,3-Mar-15,1
42 COMMODORE,WORCESTER,COPLEY RD,3-Mar-15,1
DANNY,HYDE PARK,@ SANFORD ST,4-Mar-15,1
8 FORDHAM,MILFORD,,4-Mar-15,2
FRANKLIN,WORCESTER,@ BLOOMINGDALE CT,4-Mar-15,1
446 FRANKLIN,WORCESTER,,4-Mar-15,1
186 ELM,SOMERVILLE,TENNEY ST,13-Mar-15,2
45 HERBERT,FRAMINGHAM,WELLINGTON AVE,19-Mar-15,2
3 NOBEL,DEDHAM,SPRAGUE ST,4-Mar-15,1
41 WATERVILLE,GRAFTON,,4-Mar-15,2
83 SPRAGUE,HYDE PARK,,4-Mar-15,1
400 BOLTON,MARLBORO,,4-Mar-15,2
37 PARKER,NEW BEDFORD,@ CHESTNUT ST,4-Mar-15,1
11 HUNTER,NEW BEDFORD,MIDDLE ST,4-Mar-15,1
348 HAMILTON,WORCESTER,ANDERSON AVE,4-Mar-15,1
33 ELMWOOD,CAMBRIDGE,BRATTLE ST,5-Mar-15,2
8 YALE,MILFORD,,6-Mar-15,2
183 COLUMBIA,CAMBRIDGE,BROADWAY,12-Mar-15,2
5 WALDEN,CAMBRIDGE,MASS AVE,5-Mar-15,1
22 MANNING,HUDSON,CROSS ST,5-Mar-15,1
139 READVILLE,HYDE PARK,,5-Mar-15,1
2 SEARS ISLAND,WORCESTER,HUNTINGTON AVE,5-Mar-15,1
RIDGE,HOLLISTON,@ CHAMBERLIN ST,6-Mar-15,2
QUINCY,FAIRHAVEN,@ ALDEN RD,6-Mar-15,2
72-78 LUBY,MILFORD,,6-Mar-15,1
129 PARKER,NEEDHAM,,6-Mar-15,1
6 CHANDLER,WORCESTER,MURRAY AVE,6-Mar-15,1
18 WELLS,WORCESTER,PLANTATION ST,6-Mar-15,1
