LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
93459,15 WEST ST,,,LEO,,,,,,11/21/1994,3,,,,
93483,15 KENNEDY PK,,LOCUST ST,WOB,,,,,,1/17/1995,3,,,,
93507,LINDEN AV,,CROSSMAN AV,SWA,,,,,,2/17/1995,3,,,,
93524,194 AYER RD,,,LIT,,,,,,4/22/1994,3,,,,
93598,11 DESOTA ST,,PALMETTO ST,SAU,,,,,,5/16/1995,3,,,,
93609,OAK ST,,ADAMS ST,SAU,,,,,,5/23/1995,3,,,,
93664,CUSHING ST,,NORTH ST,SAL,,,,,,6/15/1995,3,,,,
93793,26 OLD TAVERN RD,,BALD ROCK RD,WAY,,,,,,11/7/1995,3,,,,
93818,PARK DR,,BEACON ST,BOS,,,,,,9/16/1985,3,,,,
93831,16 GROVE ST,,101 WEST WATER ST,ROC,,,,,,6/7/1990,3,,,,
93878,588 MARKET ST,,LOU'S AUTO COMPANY ST,ROC,,,,,,5/20/1991,3,,,,
93918,47 W MAIN ST,,,WAR,,,,,,10/1/1991,3,,,,
93970,WHITE ST,,CENTRAL ST,WEY,,,,,,10/8/1992,3,,,,
94007,70 GLENDALE ST,,,WEY,,,,,,6/3/1993,3,,,,
94043 19-21,FARWELL ST,,,WAL,,,,,,8/2/1993,3,,,,
94062,1576 MAIN ST,,,LEI,,,,,,8/13/1993,3,,,,
94174,323 MAIN ST,,,NBR,,,,,,5/27/1994,3,,,,
94180,6-May MAPLE ST,,,LEI,,,,,,5/2/1994,3,,,,
94196,33 CARL ST,,,WAR,,,,,,6/7/1994,3,,,,
94351,384 BROAD ST,,,WEY,,,,,,4/10/1995,3,,,,
94370,72 PINE HAVEN CIR,,,ROC,,,,,,5/9/1995,3,,,,
94376,94 UPLAND RD,,,BRO,,,,,,5/9/1995,3,,,,
94385,109 MSGR PATRICK J LYDON WY,,,DOR,,,,,,5/16/1995,3,,,,
94390,BEECHWOOD ST,,,COH,,,,,,5/17/1995,3,,,,
94414,30 COLELLA RD,,,NEW,,,,,,6/7/1995,3,,,,
94424,55 STUART ST,,,BOS,,,,,,6/12/1995,3,,,,
94509,8 LANE PK,,,BRI,,,,,,7/31/1995,3,,,,
94539,BOSTON POST RD,,,WES,,,,,,8/15/1995,3,,,,
94564,973 BLUE HILL AV,,,DOR,,,,,,8/21/1995,3,,,,
94605,490 WORCESTER TPKE,,,WEL,,,,,,11/29/1993,3,,,,
94636,WOLLASTON TER,,,DOR,,,,,,9/14/1995,3,,,,
95558,137 MAIN ST,,WIGGLESWORTH ST,MAL,,,,,,1/14/1996,3,,,,
96297,84 LYNNFIELD ST,,JOHNSON AV,PEA,,,,,,1/24/1996,3,,,,
96528,377 RALPH TALBOT ST,,,WEY,1,377 RALPH TALBOT ST,,,WEY,12/20/1995,3,10/15/2014 OTHER,,,
97020,10 PEQUOT RD,,,PEA,,,,,,3/4/1996,3,,,,
97390,143 MAIN ST,,,RDG,,,,,,4/17/1996,3,,,,
97810,6 SHACKFORD RD,,,RDG,,,,,,4/30/1996,3,,,,
97813,323 SOUTH ST,,,RDG,,,,,,5/1/1996,3,,,,
97814,362 SOUTH ST,,,RDG,,,,,,5/1/1996,3,,,,
97866,41 PRESCOTT ST,,,RDG,,,,,,5/7/1996,3,,,,
97868,171 PRESCOTT ST,,,RDG,,,,,,5/7/1996,3,,,,
98018,BRIDGE ST,,HARBOR VIEW AV,WEY,,,,,,4/19/1996,3,,,,
98053,591 POND ST,,SEA CAPTAINS WY,WEY,,,,,,4/23/1996,3,,,,
98148,109 BARTLETT ST,,,SOM,,,,,,5/9/1996,3,,,,
98251,246 WOBURN ST,,,RDG,,,,,,5/14/1996,3,,,,
98477,238 LYNNFIELD ST,,,LNN,,,,,,5/15/1996,3,,,,
98553,104 MIDDLE ST,,,LEO,,,,,,5/8/1996,3,,,,
98741,38 ROBINSON AV,,,BRA,,,,,,5/16/1996,3,,,,
98781,20 KINGSBORO PK,,,JPL,,,,,,5/24/1996,3,,,,
