ids_2014,ids_2015
244860,244860
244526,244526
244541,244541
245302,245302
244867,244867
244882,244882
244954,244954
244875,244875
244879,244879
244886,244886
244887,244887
244792,244792
244793,244793
245655,245655
245656,245656
245832,245832
245030,245030
245806,245806
246716,246716
245810,245810
246066,246066
246067,246067
245815,245815
245821,245821
245523,245523
245697,245697
245692,245692
245888,245888
248542,248542
247693,247693
246456,246456
246461,246461
248243,248238
248240,248238
248238,248238
247160,247160
247165,247165
247509,247509
247520,247520
246577,246577
247159,247159
247523,247523
246799,246799
246682,246682
246688,246688
246788,246788
255092,255092
246794,246794
246795,246795
246779,246779
246798,246798
246984,246984
246850,246850
247816,247816
247818,247818
246878,246878
246975,246975
246976,246976
255091,255091
255112,255112
246998,246998
247040,247040
255081,255081
247085,247085
247313,247313
247282,247282
247809,247809
247198,247198
247836,247836
247979,247979
247378,247378
247855,247855
247690,247690
247692,247692
247974,247974
247694,247694
247806,247806
247472,247472
247545,247545
247667,247667
247671,247671
247799,247799
248047,248047
255044,255044
247774,247774
247939,247939
248064,248064
270333,270333
247886,247886
248165,248165
248448,248448
248077,248077
248474,248474
248698,248698
248275,248275
248380,248380
248598,248598
255042,255042
248108,248108
248434,248434
248445,248445
248271,248271
248459,248459
248461,248461
248340,248340
248375,248375
255077,255077
248489,248489
255079,255079
248467,248467
248712,248712
248711,248711
248714,248714
248762,248762
248747,248747
248708,248708
248833,248833
248887,248887
248879,248879
249565,249565
248890,248890
248892,248892
248981,248981
249038,249038
249452,249452
248982,248982
249072,249072
250213,250213
249167,249167
250181,250181
249143,249143
249246,249246
249614,249614
249389,249389
249403,249403
249538,249538
249237,249237
249422,249422
249423,249423
249976,249976
259046,259046
249823,249823
249413,249413
249510,249510
249545,249545
249432,249432
249520,249520
250074,250074
250076,250076
249847,249847
249848,249848
250149,250149
250385,250385
249721,249721
249622,249622
249845,249845
250090,250090
250091,250091
250094,250094
250156,250156
249830,249830
250096,250096
250120,250120
250137,250137
250140,250140
250297,250297
250300,250300
250301,250301
250497,250497
250976,250976
251507,251507
251534,251534
251538,251538
249979,249979
249981,249981
249988,249988
250971,250971
250973,250973
250984,250984
250766,250766
252225,252225
250759,250759
252042,252042
252035,252035
252037,252037
251573,251573
250543,250543
250550,250550
250901,250901
251807,251807
251367,251367
250873,250873
250650,250650
250671,250671
250710,250710
251097,251097
250804,250804
250857,250857
250858,250858
252041,252041
252024,252024
252028,252028
251191,251191
252029,252029
252030,252030
251180,251180
251803,251803
251832,251832
251246,251246
252055,252055
253061,253061
251493,251493
251494,251494
252228,252228
251509,251509
251838,251838
251671,251671
252411,252411
251659,251659
252005,252005
252026,252026
251670,251670
251473,251473
251478,251478
251481,251481
251483,251483
251492,251492
251588,251588
270315,270315
251619,251619
251624,251624
251625,251625
251634,251634
252200,252200
251848,251848
252421,252421
251896,251896
252820,252820
253001,253001
251933,251933
252818,252818
252828,252828
252832,252832
252833,252833
253003,253003
252512,252512
252285,252285
252999,252999
253000,253000
252076,252076
253014,253014
252305,252305
252306,252306
252184,252184
252852,252852
252783,252783
252298,252298
252303,252303
252430,252430
252791,252791
252803,252803
252616,252616
252645,252645
253181,253181
253116,253116
252666,252666
252668,252668
252756,252756
253111,253111
253047,253047
253054,253054
253618,253618
253619,253619
253174,253174
253560,253560
253615,253615
253831,253831
253379,253379
253333,253333
253704,253704
253564,253564
253745,253745
253883,253883
256612,256612
254078,254078
254198,254198
254692,254692
254575,254575
254884,254884
254936,254936
254939,254939
255166,255166
255161,255161
255276,255276
270749,270749
255341,255341
255457,255457
258065,258065
255822,255822
255928,255928
270356,270356
256558,256558
256700,256700
256973,256973
256984,256984
256685,256685
256686,256686
256688,256688
256689,256689
256987,256987
260159,260159
256980,256980
257319,257319
256939,256939
257201,257201
258085,258085
260157,260157
257751,257751
257752,257752
257753,257753
257811,257811
258088,258088
258079,258079
258152,258152
257766,257766
257771,257771
257768,257768
270357,270357
258142,258142
258205,258205
258270,258270
258835,258835
258665,258665
270373,270373
259391,259391
259264,259264
259387,259387
258869,258869
270391,270391
270393,270393
259402,259402
259255,259255
270389,270389
270390,270390
260084,260084
260080,260080
260117,260117
270381,270381
270388,270388
260079,260079
260088,260088
260090,260090
259169,259169
259171,259171
260838,260838
