ids_2014,ids_2015
255276,255276
255341,255341
255822,255822
255928,255928
270356,270356
256973,256973
256984,256984
256685,256685
256686,256686
256688,256688
256987,256987
260159,260159
256980,256980
257319,257319
256939,256939
257201,257201
260157,260157
257751,257751
257752,257752
257753,257753
257811,257811
258088,258088
257766,257766
257771,257771
257768,257768
270357,270357
258142,258142
258835,258835
259391,259391
259264,259264
259387,259387
260084,260084
260080,260080
260117,260117
260079,260079
260088,260088
260090,260090
260074,260074
260072,260072
260083,260083
260094,260094
261449,261449
261607,261607
259638,259638
259639,259639
259640,259640
261402,261402
261557,261557
259865,259865
261404,261404
261522,261522
261535,261535
261623,261623
261555,261555
261629,261629
261631,261631
261405,261405
261529,261529
260210,260210
260211,260211
261418,261418
261590,261590
260203,260203
261414,261414
260261,260261
261579,261579
261609,261609
261614,261614
261354,261354
261408,261408
261409,261409
261524,261524
261581,261581
261200,261200
261622,261622
261637,261637
261240,261240
261256,261256
260816,260816
261268,261268
261647,261647
261648,261648
261148,261148
261322,261322
261323,261323
261410,261410
261149,261149
261530,261530
261634,261634
261518,261518
261406,261406
262639,262639
262638,262638
262644,262644
261793,261793
261784,261784
261625,261625
262645,262645
262239,262239
262651,262651
262964,262964
262969,262969
262745,262745
263683,263683
262719,262719
262767,262767
262768,262768
262723,262723
262988,262988
263136,263136
263495,263495
263131,263131
270612,270612
263736,263736
264053,264053
264054,264054
264421,264421
264721,264721
264598,264598
264900,264900
264637,264637
265644,265644
265206,265206
265209,265209
265620,265620
264894,264894
265008,265008
265469,265469
265205,265205
265225,265225
265219,265219
270762,270762
265653,265653
265137,265137
265718,265714
265717,265714
265715,265714
265714,265714
265718,265715
265717,265715
265715,265715
265714,265715
265718,265717
265717,265717
265715,265717
265714,265717
265718,265718
265717,265718
265715,265718
265714,265718
265711,265711
265643,265643
266229,266229
266583,266583
267267,267267
267332,267332
266953,266953
267260,267260
268075,268075
267990,267990
268275,268275
268274,268274
268657,268657
268714,268714
269334,269334
268931,268931
268932,268932
269302,269302
269331,269331
269347,269347
269436,269436
270224,270224
271284,271284
271286,271286
271705,271705
271180,271180
271472,271472
271995,271995
272230,272230
272470,272470
272501,272501
272668,272668
272927,272927
272865,272865
273207,273207
272934,272934
273136,273136
273152,273152
273426,273426
273445,273445
273521,273521
273489,273489
273508,273508
274022,274022
273821,273821
274250,274250
274921,274921
274716,274716
275377,275377
274948,274948
275580,275580
275613,275613
275909,275909
276186,276186
276647,276647
276279,276279
276281,276281
276487,276487
276483,276483
278308,278308
294357,294357
277379,277379
276736,276736
276810,276810
276883,276883
277377,277377
277339,277339
277342,277342
277416,277416
277425,277425
277426,277426
277423,277423
277539,277539
277773,277773
277654,277654
277823,277823
277824,277824
277761,277761
278001,278001
278058,278058
278059,278059
278639,278639
278570,278570
278270,278270
278341,278341
278354,278354
278562,278562
278449,278449
278493,278493
278501,278501
278503,278503
278589,278589
278593,278593
278656,278656
279024,279024
279026,279026
279027,279027
279034,279034
279076,279076
279098,279098
279104,279104
279106,279106
279112,279112
279190,279190
279193,279193
279208,279208
279268,279268
279276,279276
279277,279277
279330,279330
279346,279346
279348,279348
279404,279404
279415,279415
279421,279421
279427,279427
279487,279487
279489,279489
279518,279518
279529,279529
279580,279580
279583,279583
279586,279586
279588,279588
279589,279589
279716,279716
279757,279757
279765,279765
279774,279774
279837,279837
279838,279838
279882,279882
279975,279975
280143,280143
280141,280141
280093,280093
280095,280095
280150,280150
280151,280151
280153,280153
280155,280155
280219,280219
280375,280375
280376,280376
280333,280333
280371,280371
282466,282466
280402,280402
280942,280942
281609,281609
284055,284055
280986,280986
280983,280983
281641,281641
281807,281807
284243,284243
281097,281097
281174,281174
281226,281226
281243,281243
284062,284062
281180,281180
285458,285458
281409,281409
281758,281758
282528,282528
282588,282588
282662,282662
282822,282822
282986,282986
285455,285455
282998,282998
283122,283122
283598,283598
283315,283315
284246,284246
283460,283460
283220,283220
284249,284249
283420,283420
283689,283689
284617,284617
284618,284618
284039,284039
284063,284063
284320,284320
285471,285471
284375,284375
284363,284363
285495,285495
285505,285505
285506,285506
285436,285436
285817,285817
285669,285669
285944,285944
289442,289442
286932,286932
286740,286740
286715,286715
286787,286787
288250,288250
286883,286883
286984,286984
287398,287398
287399,287399
287621,287621
287619,287619
287462,287462
288241,288241
287869,287869
288053,288053
288077,288077
288079,288079
288300,288300
288047,288047
288075,288075
288346,288346
288348,288348
288611,288611
288612,288612
288351,288351
288602,288602
288413,288413
288424,288424
288425,288425
288428,288428
289431,289431
288616,288616
288527,288527
288597,288597
288742,288742
288747,288747
288748,288748
288969,288969
288970,288970
288974,288974
288975,288975
288965,288965
288966,288966
288962,288962
289000,289000
289144,289144
289435,289435
289077,289077
289079,289079
289284,289284
289300,289300
290494,290494
289410,289410
289398,289398
289493,289493
290500,290500
289672,289672
290452,290452
290020,290020
290206,290206
290276,290276
290448,290448
290580,290580
290592,290592
290428,290428
290807,290807
290671,290671
290723,290723
291481,291481
290892,290892
291212,291212
291102,291102
319400,319400
291131,291131
291519,291519
293181,293181
291506,291506
291505,291505
291662,291662
291664,291664
291501,291501
293735,293735
293730,293730
291943,291943
293729,293729
291881,291881
292023,292023
292042,292042
293012,293012
292348,292348
293717,293717
293017,293017
293691,293691
292650,292650
293072,293072
292768,292768
293098,293098
293373,293373
293836,293836
293331,293331
293304,293304
293421,293421
293590,293590
294270,294270
293878,293878
293835,293835
293946,293946
293885,293885
295054,295054
294413,294413
294573,294573
294810,294810
294936,294936
295362,295362
295249,295249
295138,295124
295124,295124
295138,295138
295124,295138
295218,295218
295240,295240
295371,295371
295375,295375
295635,295635
295709,295709
295708,295708
295927,295927
295834,295834
295917,295917
295798,295798
295951,295951
296073,296073
296927,296927
297003,297003
298159,298159
298162,298162
298161,298161
297751,297751
298173,298173
297893,297893
298234,298234
298719,298719
298748,298748
298846,298846
298977,298977
298981,298981
299218,299218
299222,299222
299105,299105
299259,299259
299815,299815
299435,299435
299429,299429
299457,299457
299568,299568
299651,299651
299682,299682
299677,299677
299671,299671
300309,300309
299848,299848
300034,300034
300017,300017
300886,300886
299943,299943
300016,300016
300294,300294
300796,300796
300312,300312
300316,300316
300317,300317
300318,300318
300584,300584
300505,300505
300961,300961
300962,300962
300978,300978
300987,300987
300600,300600
301114,301114
300857,300857
301285,301285
301283,301283
301008,301008
301123,301123
301493,301493
301311,301311
301561,301561
301457,301457
301912,301912
301928,301928
301999,301999
301970,301970
302939,302939
302959,302959
302271,302271
302485,302485
303052,303052
302949,302947
302947,302947
302949,302949
302947,302949
302951,302951
302099,302099
302239,302239
302878,302878
302817,302817
302573,302573
302819,302819
305354,305354
302828,302828
305351,305351
302906,302906
303009,303009
302985,302985
303010,303010
303774,303774
303293,303293
303224,303224
303742,303742
303502,303502
303725,303725
305365,305365
304862,304862
303551,303551
303810,303810
303936,303936
303776,303776
307224,307224
303829,303829
304762,304762
303892,303892
303907,303907
307227,307227
304915,304915
305109,305109
305112,305112
305116,305116
304221,304221
304222,304222
304275,304275
304274,304274
307997,307997
304471,304471
304902,304902
305063,305063
308815,308815
304906,304906
304710,304710
304732,304732
304739,304739
305000,305000
304908,304908
305081,305081
305269,305269
305095,305095
308051,308051
305558,305558
305648,305648
305584,305584
305752,305752
305810,305810
306016,306016
306068,306068
